"Gene","Rank"
"AT1G34120",320
"AT5G21040",321
"AT3G02065",322
"AT4G32120",323
"AT4G05000",324
"AT2G38630",325
"AT3G55270",326
"AT2G45160",327
"AT3G24040",328
"AT5G51230",329
"AT1G34320",330
"AT1G17280",331
"AT1G63430",332
"AT5G46630",333
"AT2G03690",334
"AT1G55300",335
"AT2G38020",336
"AT1G09230",337
"AT4G10130",338
"AT4G24290",339
"AT2G20790",340
"AT5G06600",341
"AT3G03740",342
"AT1G68720",343
"AT5G46560",344
"AT4G30000",345
"AT5G04920",346
"AT5G24830",347
"AT5G17360",348
"AT1G49710",349
"AT5G27830",350
"AT1G66340",351
"AT4G04885",352
"AT1G28420",353
"AT2G01060",354
"AT1G78800",355
"AT1G68185",356
"AT4G20280",357
"AT5G12370",358
"AT1G04140",359
"AT3G46790",360
"AT5G61510",361
"AT2G36360",362
"AT3G10650",363
"AT5G16280",364
"AT5G19000",365
"AT4G27630",366
"AT2G40060",367
"AT4G31200",368
"AT1G24120",369
"AT4G27120",370
"AT2G41020",371
"AT1G76850",372
"AT2G20330",373
"AT5G38560",374
"AT3G26640",375
"AT5G04510",376
"AT4G38600",377
"AT1G07910",378
"AT3G21295",379
"AT3G26990",380
"AT5G58020",381
"AT1G80930",382
"AT2G19600",383
"AT2G27600",384
"AT5G48610",385
"AT1G51965",386
"AT1G05860",387
"AT3G17740",388
"AT5G62610",389
"AT4G00990",390
"AT5G61150",391
"AT1G03560",392
"AT2G21470",393
"AT3G51610",394
"AT2G19340",395
"AT3G26020",396
"AT1G28200",397
"AT4G25520",398
"AT3G11590",399
"AT5G19840",400
"AT3G26670",401
"AT1G44910",402
"AT5G64960",403
"AT1G04080",404
"AT1G71900",405
"AT3G47910",406
"AT2G39760",407
"AT3G10390",408
"AT5G01290",409
"AT3G06180",410
"AT1G66740",411
"AT5G22010",412
"AT2G32900",413
"AT5G12310",414
"AT2G17510",415
"AT1G23780",416
"AT4G01370",417
"AT1G13780",418
"AT2G02090",419
"AT5G25510",420
"AT2G26100",421
"AT4G16144",422
"AT4G17410",423
"AT3G12350",424
"AT1G32260",425
"AT3G03340",426
"AT3G04970",427
"AT5G01980",428
"AT1G51600",429
"AT1G04830",430
"AT5G02910",431
"AT4G13730",432
"AT5G14850",433
"AT1G56590",434
"AT5G09680",435
"AT5G58003",436
"AT1G49950",437
"AT4G12770",438
"AT1G29220",439
"AT5G13260",440
"AT4G35540",441
"AT4G11670",442
"AT2G05755",443
"AT5G66820",444
"AT4G38040",445
"AT3G12480",446
"AT5G27970",447
"AT5G52530",448
"AT3G48120",449
"AT4G16100",450
"AT5G40600",451
"AT1G62860",452
"AT5G47580",453
"AT3G50860",454
"AT1G20760",455
"AT3G07300",456
"AT1G69340",457
"AT5G48970",458
"AT4G23460",459
"AT2G17530",460
"AT1G48110",461
"AT2G20830",462
"AT5G65940",463
"AT4G30890",464
"AT2G13560",465
"AT3G09560",466
"AT3G06620",467
"AT4G30780",468
"AT2G43260",469
"AT2G33290",470
"AT1G14510",471
"AT3G63180",472
"AT1G53165",473
"AT3G29130",474
"AT5G43130",475
"AT1G80790",476
"AT3G26935",477
"AT3G12590",478
"AT2G16090",479
"AT2G27110",480
"AT4G02570",481
"AT2G22910",482
"AT3G17715",483
"AT1G80350",484
"AT2G19950",485
"AT4G27910",486
"AT3G11240",487
"AT1G18335",488
"AT4G15420",489
"AT4G02720",490
"AT1G05500",491
"AT2G48110",492
"AT4G16845",493
"AT1G51450",494
"AT4G00840",495
"AT5G04410",496
"AT5G59710",497
"AT3G06240",498
"AT5G35930",499
"AT5G25760",500
"AT2G41620",501
"AT2G23780",502
"AT1G61960",503
"AT1G78810",504
"AT5G40520",505
"AT3G63270",506
"AT3G02860",507
"AT5G52630",508
"AT5G59950",509
"AT5G65760",510
"AT5G19660",511
"AT1G25682",512
"AT5G18410",513
"AT5G08630",514
"AT5G19900",515
"AT2G39970",516
"AT3G20650",517
"AT1G02420",518
"AT5G08290",519
"AT1G15220",520
"AT2G25760",521
"AT1G61030",522
"AT5G65180",523
"AT5G65780",524
"AT1G15490",525
"AT2G47980",526
"AT5G03070",527
"AT3G59500",528
"AT1G16210",529
"AT2G42520",530
"AT1G58060",531
"AT3G03360",532
"AT1G50500",533
"AT5G41220",534
"AT3G08780",535
"AT4G02195",536
"AT3G62240",537
"AT3G10330",538
"AT2G42450",539
"AT4G15415",540
"AT1G72880",541
"AT2G36060",542
"AT3G07220",543
"AT2G41350",544
"AT3G12140",545
"AT1G80680",546
"AT3G48810",547
"AT5G65290",548
"AT5G10560",549
"AT5G49830",550
"AT3G46200",551
"AT1G28490",552
"AT1G09020",553
"AT1G32130",554
"AT1G60220",555
"AT4G01210",556
"AT5G56900",557
"AT2G42670",558
"AT4G27020",559
"AT3G54010",560
"AT1G21700",561
"AT2G27285",562
"AT1G68370",563
"AT3G04460",564
"AT5G23520",565
"AT1G54150",566
"AT4G26610",567
"AT5G10710",568
"AT1G21170",569
"AT3G03860",570
"AT1G56420",571
"AT3G03750",572
"AT2G10950",573
"AT2G32170",574
"AT4G13970",575
"AT3G05240",576
"AT3G01150",577
"AT5G26990",578
"AT5G49530",579
"AT3G28670",580
"AT3G12940",581
"AT2G35510",582
"AT3G21215",583
"AT4G05420",584
"AT2G18245",585
"AT1G11900",586
"AT4G35220",587
"AT4G29860",588
"AT3G59520",589
"AT1G03750",590
"AT1G69640",591
"AT1G77300",592
"AT3G13200",593
"AT4G13870",594
"AT1G08420",595
"AT2G41900",596
"AT1G13770",597
"AT3G23540",598
"AT5G08190",599
"AT3G12100",600
"AT4G00500",601
"AT5G63610",602
"AT5G61060",603
"AT4G14340",604
"AT5G46400",605
"AT4G12790",606
"AT1G73100",607
"AT2G05170",608
"AT4G11270",609
"AT3G21290",610
"AT5G65460",611
"AT5G48655",612
"AT2G27210",613
"AT3G45750",614
"AT1G75660",615
"AT2G17970",616
"AT1G01290",617
"AT4G04720",618
"AT3G61570",619
"AT1G29710",620
"AT3G21350",621
"AT1G27595",622
"AT4G40050",623
"AT1G26120",624
"AT5G40190",625
"AT4G26000",626
"AT3G26400",627
"AT1G80860",628
"AT2G45700",629
"AT5G43320",630
"AT1G71860",631
"AT1G22200",632
"AT1G79570",633
"AT1G65020",634
"AT3G57570",635
"AT5G36230",636
"AT5G42220",637
"AT3G17205",638
"AT1G54370",639
"AT5G08335",640
"AT3G50690",641
"AT1G33990",642
"AT3G62970",643
"AT5G13310",644
"AT5G25150",645
"AT5G35570",646
"AT2G20495",647
"AT5G32470",648
"AT5G60820",649
"AT2G22120",650
"AT1G74120",651
"AT5G26760",652
"AT2G30470",653
"AT3G17310",654
"AT5G15710",655
"AT2G25350",656
"AT1G18950",657
"AT1G17730",658
"AT5G50970",659
"AT3G28970",660
"AT4G01040",661
"AT3G43590",662
"AT2G06005",663
"AT5G16640",664
"AT5G09350",665
"AT5G55310",666
"AT5G48520",667
"AT4G39680",668
"AT3G47890",669
"AT4G17910",670
"AT2G21600",671
"AT1G79090",672
"AT1G55150",673
"AT5G20010",674
"AT2G23080",675
"AT4G01290",676
"AT3G15410",677
"AT4G12710",678
"AT1G26110",679
"AT1G69290",680
"AT2G45320",681
"AT3G08800",682
"AT5G38470",683
"AT2G42700",684
"AT2G19470",685
"AT4G09340",686
"AT1G13320",687
"AT3G07530",688
"AT5G60620",689
"AT5G04070",690
"AT3G52220",691
"AT4G21660",692
"AT1G04790",693
"AT3G52260",694
"AT4G25515",695
"AT1G31360",696
"AT1G77220",697
"AT4G09720",698
"AT1G21480",699
"AT5G66060",700
"AT3G52660",701
"AT1G76185",702
"AT3G61050",703
"AT1G08750",704
"AT4G32680",705
"AT5G21900",706
"AT1G48970",707
"AT3G49050",708
"AT3G21175",709
"AT4G30750",710
"AT1G19170",711
"AT5G53440",712
"AT2G35900",713
"AT2G14740",714
"AT5G43940",715
"AT5G07120",716
"AT3G06250",717
"AT3G26920",718
"AT3G54480",719
"AT1G27840",720
"AT2G22090",721
"AT5G19450",722
"AT1G17680",723
"AT5G47480",724
"AT1G09730",725
"AT5G22760",726
"AT3G48750",727
"AT2G19390",728
"AT1G51740",729
"AT3G14910",730
"AT3G05100",731
"AT2G04560",732
"AT3G53710",733
"AT1G79810",734
"AT4G35740",735
"AT5G05970",736
"AT2G05590",737
"AT2G37585",738
"AT4G29810",739
"AT1G10350",740
"AT1G11630",741
"AT5G04540",742
"AT5G55060",743
"AT2G17200",744
"AT3G20800",745
"AT1G78910",746
"AT1G61150",747
"AT4G39920",748
"AT3G14400",749
"AT1G64385",750
"AT4G23895",751
"AT1G25380",752
"AT1G52620",753
"AT2G16405",754
"AT1G08660",755
"AT4G32960",756
"AT4G16800",757
"AT5G27720",758
"AT3G10210",759
"AT4G08350",760
"AT1G24706",761
"AT3G11960",762
"AT1G03960",763
"AT5G63280",764
"AT2G20190",765
"AT3G21280",766
"AT5G04240",767
"AT3G59640",768
"AT1G26830",769
"AT1G47900",770
"AT3G53090",771
"AT1G31175",772
"AT3G49600",773
"AT5G01310",774
"AT5G15440",775
"AT4G28980",776
"AT2G38560",777
"AT5G51300",778
"AT5G43710",779
"AT5G37370",780
"AT1G72990",781
"AT1G59830",782
"AT3G33530",783
"AT3G49730",784
"AT3G21865",785
"AT3G55140",786
"AT1G13120",787
"AT3G02740",788
"AT2G42640",789
"AT1G59820",790
"AT5G01010",791
"AT5G19670",792
"AT1G02260",793
"AT3G55050",794
"AT3G19280",795
"AT2G47830",796
"AT2G30120",797
"AT5G24340",798
