"GSM1359146" "GSM1359147" "GSM1359148" "GSM1359149" "GSM1359150" "GSM1359151" "GSM1359152" "GSM1359153"
"AT1G01010" 480 412 759 1150 509 371 546 532
"AT1G01020" 547 560 665 639 503 389 514 383
"AT1G01030" 444 382 183 232 185 5362 8932 11930
"AT1G01040" 3656 3056 2328 3096 2208 2908 4227 2454
"AT1G01046" 75 55 49 77 44 76 85 35
"AT1G01050" 2672 2575 2687 3552 2743 1759 2169 2607
"AT1G01060" 85 95 80 17315 90 46 163 155
"AT1G01070" 15 9 6 6 70 4 13 7
"AT1G01073" 0 0 0 0 0 0 1 0
"AT1G01080" 2157 1756 1098 1303 1209 1055 1516 1137
"AT1G01090" 8300 6631 6494 8703 4910 5173 7196 6641
"AT1G01100" 24043 20567 19181 24383 18798 13189 18429 20431
"AT1G01110" 1731 1530 1921 2100 1143 999 1203 1000
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 4546 4716 3071 3253 2606 2376 5393 3914
"AT1G01130" 270 317 226 221 125 186 357 186
"AT1G01140" 3586 3240 3908 4239 2608 3428 4661 3001
"AT1G01150" 9 23 21 15 13 11 7 6
"AT1G01160" 2848 2323 2931 3994 2438 2064 2508 2429
"AT1G01170" 924 976 1857 2540 1446 705 920 1480
"AT1G01180" 8 3 7 14 14 5 11 14
"AT1G01183" 0 0 0 1 0 0 0 2
"AT1G01190" 12 2 5 9 18 7 5 15
"AT1G01200" 16 12 8 3 9 8 22 26
"AT1G01210" 720 624 725 874 581 418 678 416
"AT1G01220" 1490 1225 1054 1203 877 804 1121 1401
"AT1G01225" 305 245 207 251 181 149 220 162
"AT1G01230" 813 741 815 1145 756 650 931 913
"AT1G01240" 741 519 1135 1673 800 896 883 1215
"AT1G01250" 235 187 63 52 84 58 147 141
"AT1G01260" 1581 1494 1494 1672 1233 981 1266 1053
"AT1G01270" 0 0 0 0 0 0 0 0
"AT1G01280" 177 6 9 34 1 15 19 2
"AT1G01290" 767 719 846 1040 899 672 805 792
"AT1G01300" 13773 12421 7410 7181 5391 6358 10293 8972
"AT1G01305" 46 40 43 61 94 93 101 129
"AT1G01310" 58 161 337 245 202 110 407 636
"AT1G01320" 9604 8359 6959 7952 6753 4642 6850 7894
"AT1G01340" 35 21 24 22 30 20 25 39
"AT1G01350" 1196 1185 1296 1512 1151 906 1182 1175
"AT1G01355" 2 0 5 21 6 3 9 2
"AT1G01360" 613 488 1397 1985 783 811 703 707
"AT1G01370" 1127 1105 540 657 572 511 739 682
"AT1G01380" 11 14 18 35 2 3 2 4
"AT1G01390" 3 12 8 23 2 7 8 7
"AT1G01400" 2 0 2 3 0 0 1 1
"AT1G01410" 0 0 0 0 0 0 0 0
"AT1G01420" 4 8 5 4 2 3 4 1
"AT1G01430" 1296 1077 889 1043 921 828 1176 1598
"AT1G01440" 855 821 773 1066 564 584 772 732
"AT1G01448" 340 248 503 579 371 284 309 342
"AT1G01450" 1 0 2 3 1 0 2 1
"AT1G01453" 0 0 0 0 0 0 0 0
"AT1G01460" 38 77 219 138 93 60 190 279
"AT1G01470" 96 131 200 134 83 153 498 236
"AT1G01471" 0 0 0 0 0 0 0 0
"AT1G01480" 3 15 3 6 9 4 6 73
"AT1G01490" 1473 1482 1190 2258 1682 1327 1558 1893
"AT1G01500" 568 568 664 620 440 348 647 750
"AT1G01510" 4236 3576 4097 5581 3038 2755 3190 3661
"AT1G01520" 19 23 52 122 11 16 50 24
"AT1G01530" 3 0 2 5 3 2 1 2
"AT1G01540" 3334 3377 2090 3103 2369 2140 3404 2678
"AT1G01550" 5983 7739 5454 6555 3846 5722 7925 5574
"AT1G01560" 55 76 39 68 26 89 139 54
"AT1G01570" 524 433 375 333 248 560 495 518
"AT1G01580" 1 1 0 2 2 2 0 2
"AT1G01590" 22 19 2 3 6 5 10 12
"AT1G01600" 481 490 66 60 61 362 1215 485
"AT1G01610" 4594 4290 3399 4258 2319 3003 5608 3600
"AT1G01620" 20350 15869 24035 44374 19980 16943 15996 25673
"AT1G01630" 1922 1864 713 706 840 700 1431 1245
"AT1G01640" 45 31 57 69 41 29 52 47
"AT1G01650" 3446 2994 3912 5578 2697 2729 3829 3909
"AT1G01660" 136 147 203 184 184 148 212 135
"AT1G01670" 186 162 276 362 243 140 192 219
"AT1G01680" 2 7 7 8 5 6 7 6
"AT1G01690" 1053 978 670 649 635 564 675 737
"AT1G01695" 68 63 46 41 39 66 49 58
"AT1G01700" 217 200 245 232 255 200 235 196
"AT1G01710" 1997 1790 2287 2965 1759 1414 1650 1917
"AT1G01720" 1617 2203 3207 5389 1232 1381 1492 3360
"AT1G01725" 411 319 746 1273 448 335 456 341
"AT1G01730" 1796 1482 1458 1882 986 1030 1457 1393
"AT1G01740" 422 336 239 226 261 211 327 286
"AT1G01750" 85 55 67 42 51 56 63 58
"AT1G01760" 194 170 170 231 187 109 137 170
"AT1G01770" 803 599 987 1234 675 713 907 990
"AT1G01780" 274 280 405 398 265 232 442 592
"AT1G01790" 2145 2109 1402 2226 1383 1181 1836 1487
"AT1G01800" 2105 1731 2502 3440 2193 1741 1909 2283
"AT1G01810" 56 75 61 53 68 31 68 47
"AT1G01820" 2516 2069 3398 4053 2548 2232 2820 2316
