"GSM764077" "GSM764078" "GSM764079" "GSM764080" "GSM764081" "GSM764082"
"AT1G01010" 70 914 188 150 659 126
"AT1G01020" 166 273 184 156 252 158
"AT1G01030" 115 18 108 112 52 157
"AT1G01040" 881 1040 1446 957 1071 1683
"AT1G01046" 2 8 13 6 16 13
"AT1G01050" 926 1654 1266 721 2065 1253
"AT1G01060" 313 56 500 133 62 1071
"AT1G01070" 137 424 287 105 475 326
"AT1G01073" 0 0 0 0 0 1
"AT1G01080" 2969 212 1224 3015 173 1124
"AT1G01090" 5723 5512 7633 5933 5243 7582
"AT1G01100" 10386 10882 11866 8833 11444 9056
"AT1G01110" 35 154 276 32 205 261
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 2020 2664 1291 1522 2168 968
"AT1G01130" 55 63 128 65 56 120
"AT1G01140" 1696 183 1608 2177 266 2358
"AT1G01150" 6 1 25 1 5 19
"AT1G01160" 280 450 498 279 489 505
"AT1G01170" 1835 358 1299 1772 242 869
"AT1G01180" 103 237 23 100 126 20
"AT1G01183" 0 1 0 0 5 0
"AT1G01190" 181 187 7 101 238 5
"AT1G01200" 11 104 29 10 140 35
"AT1G01210" 106 169 114 138 266 139
"AT1G01220" 1512 1130 1144 1281 1301 1050
"AT1G01225" 62 138 68 60 167 67
"AT1G01230" 622 1315 793 707 1456 626
"AT1G01240" 607 460 1287 1091 812 1193
"AT1G01250" 10 0 274 24 0 278
"AT1G01260" 580 919 983 499 578 797
"AT1G01270" 0 2 0 2 1 0
"AT1G01280" 0 0 0 0 0 1
"AT1G01290" 312 488 456 385 585 422
"AT1G01300" 961 1175 2638 2235 2008 4084
"AT1G01305" 0 0 59 0 1 18
"AT1G01310" 4 4 1859 0 8 1547
"AT1G01320" 11340 734 6102 10630 385 5396
"AT1G01340" 46 333 59 131 191 85
"AT1G01350" 722 1151 1023 864 1161 1131
"AT1G01355" 0 0 12 3 0 9
"AT1G01360" 178 437 498 134 458 349
"AT1G01370" 114 152 118 84 100 58
"AT1G01380" 24 78 12 62 82 18
"AT1G01390" 73 3 16 18 4 2
"AT1G01400" 0 0 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 166 219 36 220 234 66
"AT1G01430" 1327 558 799 876 685 550
"AT1G01440" 316 330 257 290 320 209
"AT1G01448" 136 120 125 0 0 2
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 0 71 0 0 53 0
"AT1G01460" 0 0 604 0 1 310
"AT1G01470" 776 5148 430 694 2318 190
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 5 161 30 3 29 14
"AT1G01490" 1552 2747 1465 1095 2636 1380
"AT1G01500" 493 374 1224 497 413 1217
"AT1G01510" 956 1364 1304 697 1257 1208
"AT1G01520" 35 6 35 4 12 52
"AT1G01530" 1 0 1 1 0 1
"AT1G01540" 1438 1217 1350 1294 1163 1260
"AT1G01550" 2997 6104 4336 2964 6859 4202
"AT1G01560" 29 33 28 242 3 88
"AT1G01570" 49 195 260 41 130 247
"AT1G01580" 22 1043 190 22 1503 92
"AT1G01590" 0 0 187 0 0 85
"AT1G01600" 260 497 5433 265 134 5436
"AT1G01610" 1169 1786 2425 1357 1940 2637
"AT1G01620" 4291 7185 6828 3741 6095 3616
"AT1G01630" 1218 2405 3004 1634 1976 2302
"AT1G01640" 11 390 41 8 379 26
"AT1G01650" 326 665 841 391 620 783
"AT1G01660" 18 179 79 70 278 120
"AT1G01670" 41 97 110 136 240 142
"AT1G01680" 52 1 1 69 1 6
"AT1G01690" 246 271 340 256 351 385
"AT1G01695" 20 8 34 9 8 23
"AT1G01700" 63 55 167 74 34 128
"AT1G01710" 528 672 656 584 700 837
"AT1G01720" 227 1053 640 149 799 609
"AT1G01725" 38 99 117 4 9 36
"AT1G01730" 454 1266 778 650 1658 877
"AT1G01740" 147 178 116 196 140 167
"AT1G01750" 9 740 113 8 612 106
"AT1G01760" 74 94 78 58 80 100
"AT1G01770" 491 365 579 584 306 641
"AT1G01780" 169 515 1451 140 444 1906
"AT1G01790" 4620 486 2143 2856 315 1900
"AT1G01800" 1123 2039 1480 1771 2511 1695
"AT1G01810" 23 27 13 16 33 10
"AT1G01820" 2109 2966 2226 2714 2834 1768
"AT1G01830" 638 744 1762 625 899 1483
"AT1G01840" 37 26 34 36 23 30
"AT1G01860" 202 63 112 201 69 131
"AT1G01870" 0 0 0 1 0 0
"AT1G01880" 79 41 225 39 49 259
"AT1G01890" 0 0 0 1 1 0
"AT1G01900" 239 196 414 268 174 290
"AT1G01910" 1258 1730 1668 1439 1439 1396
"AT1G01920" 371 739 771 436 1058 775
"AT1G01930" 250 283 289 246 299 293
"AT1G01940" 139 394 184 188 441 171
"AT1G01950" 583 1119 852 576 1205 879
"AT1G01960" 2420 3698 2353 2801 3602 2561
"AT1G01970" 1399 176 712 1214 183 626
"AT1G01980" 1 0 1891 0 0 1213
"AT1G01990" 162 174 209 147 149 191
"AT1G02000" 167 345 1314 184 388 1438
"AT1G02010" 208 204 871 58 88 1159
"AT1G02020" 300 151 263 234 102 219
"AT1G02030" 1 61 7 1 82 8
"AT1G02040" 0 1 264 0 0 142
"AT1G02050" 94 164 167 79 167 127
"AT1G02060" 204 273 223 232 283 219
"AT1G02065" 33 0 181 28 0 216
"AT1G02070" 0 3 121 3 3 49
"AT1G02074" 0 0 0 1 0 0
"AT1G02080" 1955 3676 2502 2084 3033 2736
"AT1G02090" 447 957 848 425 970 690
"AT1G02100" 524 1073 635 504 1080 586
"AT1G02110" 391 536 343 446 743 458
"AT1G02120" 1350 1985 1451 1619 2192 1368
"AT1G02130" 1811 2561 1942 1318 1608 1321
"AT1G02136" 0 0 0 0 0 0
"AT1G02140" 3023 4908 3933 3095 6182 3570
"AT1G02145" 345 600 464 289 576 433
"AT1G02150" 3657 650 1617 2694 556 1183
"AT1G02160" 494 577 686 510 629 543
"AT1G02170" 226 618 313 324 715 410
"AT1G02180" 187 135 250 136 100 181
"AT1G02190" 6 0 2282 16 0 2805
"AT1G02205" 1177 262 20677 1878 526 21147
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 30 1775 97 236 1118 339
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 28 189 4 277 248 45
"AT1G02250" 0 4 0 17 6 10
"AT1G02260" 108 375 197 80 150 101
"AT1G02270" 661 472 472 762 552 535
"AT1G02280" 5818 1130 2968 4682 1333 2293
"AT1G02290" 238 400 373 311 315 375
"AT1G02300" 790 254 663 4726 2304 2959
"AT1G02305" 1495 3529 2819 1491 1728 2699
"AT1G02310" 2 243 26 16 149 26
"AT1G02320" 0 0 1 2 1 0
"AT1G02330" 1292 1911 1629 624 1222 783
"AT1G02335" 159 537 236 159 561 234
"AT1G02340" 76 244 479 27 88 153
"AT1G02350" 81 27 48 24 15 26
"AT1G02360" 33 2994 0 71 1684 2
"AT1G02370" 429 591 580 559 655 649
"AT1G02380" 85 84 45 60 61 75
"AT1G02390" 32 49 1 37 83 17
"AT1G02391" 0 0 0 0 0 0
"AT1G02400" 32 723 67 33 931 63
"AT1G02405" 6 4 9 1 8 4
"AT1G02410" 343 614 476 410 729 568
"AT1G02420" 186 150 153 179 184 123
"AT1G02430" 14 49 21 23 78 20
"AT1G02440" 1 3 1 5 13 0
"AT1G02450" 36 21 219 272 14 340
"AT1G02460" 27 209 5 64 119 36
"AT1G02470" 9 11 809 23 7 761
"AT1G02475" 484 120 417 566 119 332
"AT1G02480" 0 1 0 0 0 0
"AT1G02490" 7 13 5 5 6 5
"AT1G02500" 4724 19597 6647 5210 23549 6243
"AT1G02510" 0 0 13 0 3 0
"AT1G02520" 14 2041 91 59 1536 306
"AT1G02530" 18 61 95 15 298 182
"AT1G02540" 0 0 0 4 19 0
"AT1G02550" 0 0 0 0 0 0
"AT1G02560" 5488 1228 3667 5289 1212 3358
"AT1G02570" 0 75 0 0 48 2
"AT1G02575" 0 40 7 0 13 0
"AT1G02580" 1 20 52 0 12 11
"AT1G02590" 0 0 0 0 0 2
"AT1G02600" 12 108 11 9 11 1
"AT1G02610" 240 109 312 64 47 135
"AT1G02620" 3 0 0 2 0 1
"AT1G02630" 28 0 129 15 0 129
"AT1G02640" 265 346 342 113 161 247
"AT1G02650" 28 23 31 14 72 33
"AT1G02660" 471 219 1422 221 221 1485
"AT1G02670" 56 65 121 52 80 108
"AT1G02680" 399 479 677 351 449 558
"AT1G02681" 1 1 22 1 0 119
"AT1G02690" 641 1805 582 522 1690 551
"AT1G02700" 27 12 11 11 15 5
"AT1G02710" 12 14 4 18 9 2
"AT1G02720" 206 432 286 268 481 372
"AT1G02730" 2646 2496 1069 2510 2120 1475
"AT1G02740" 375 541 386 416 459 466
"AT1G02750" 182 398 316 172 310 288
"AT1G02760" 0 0 0 0 0 0
"AT1G02770" 5 10 97 339 350 649
"AT1G02780" 32334 44923 34637 22982 33063 21125
"AT1G02790" 0 0 29349 0 0 42501
"AT1G02800" 109 1 464 62 6 851
"AT1G02810" 9 975 184 16 1473 128
