"GSM1252262" "GSM1252263" "GSM1252264" "GSM1252265" "GSM1252266" "GSM1252267" "GSM1252268" "GSM1252269"
"AT1G03457" 824 714 1237 1178 703 611 886 1022
"AT1G03470" 913 1034 1087 1235 1374 1322 1050 1219
"AT1G03475" 2522 2890 2951 2909 3045 2992 2663 3047
"AT1G03490" 2 1 0 0 0 0 0 0
"AT1G03495" 126 161 115 102 166 151 112 143
"AT1G03502" 7 5 6 4 7 1 5 5
"AT1G03506" 8 13 10 9 10 9 1 10
"AT1G03510" 39 46 35 37 47 42 33 51
"AT1G03515" 0 0 0 0 0 0 0 0
"AT1G03520" 448 533 612 582 478 448 372 477
"AT1G03530" 356 404 278 327 312 281 242 307
"AT1G03540" 35 44 33 26 29 24 41 25
"AT1G03545" 1 2 3 2 0 0 2 0
"AT1G03550" 313 387 261 263 320 284 202 220
"AT1G03560" 228 210 204 211 219 210 167 211
"AT1G03570" 0 0 0 0 0 0 0 0
"AT1G03580" 184 178 177 256 469 479 423 473
"AT1G03590" 1425 1616 2584 2795 1528 1414 1579 2141
"AT1G03600" 2528 2783 2789 3011 2847 2797 2122 2227
"AT1G03610" 2965 1878 1805 1998 4896 3791 5233 5973
"AT1G03620" 73 79 101 114 63 61 47 72
"AT1G03630" 298 620 695 571 158 194 135 147
"AT1G03640" 0 0 0 0 0 0 0 0
"AT1G03650" 66 72 78 87 75 96 63 85
"AT1G03660" 5 8 8 8 6 9 5 8
"AT1G03670" 0 0 0 0 0 3 2 4
"AT1G03680" 1196 1496 1416 1537 1265 1330 955 1000
"AT1G03687" 257 294 270 248 174 190 172 164
"AT1G03700" 7 7 10 4 6 13 10 8
"AT1G03710" 1 3 2 1 6 5 4 2
"AT1G03720" 0 0 0 0 0 0 0 0
"AT1G03730" 244 259 215 204 239 266 159 264
"AT1G03740" 1297 1259 982 986 1786 1806 1125 1670
"AT1G03743" 0 0 0 0 0 0 0 0
"AT1G03746" 0 0 0 0 0 0 2 0
"AT1G03750" 216 224 207 172 216 238 172 165
"AT1G03760" 357 364 324 313 308 271 308 319
"AT1G03770" 247 292 324 328 317 298 233 319
"AT1G03780" 52 52 52 40 18 25 20 24
"AT1G03790" 1254 1380 838 927 1359 1479 506 543
"AT1G03800" 76 82 58 75 188 186 78 102
"AT1G03810" 0 0 0 1 0 0 0 0
"AT1G03820" 43 66 49 85 48 51 50 31
"AT1G03830" 205 265 197 207 167 168 121 142
"AT1G03840" 23 39 18 27 21 20 7 11
"AT1G03850" 948 1019 1182 1237 1045 863 930 1261
"AT1G03860" 1616 1834 1368 1359 1580 1461 1375 1507
"AT1G03870" 4444 4059 21650 20824 4699 4307 4315 4535
"AT1G03880" 100 8 109 30 2 2 7 107
"AT1G03890" 0 0 6 3 1 1 1 11
"AT1G03900" 3829 3989 3849 3913 4106 3881 3538 3996
"AT1G03905" 157 122 128 157 217 206 138 221
"AT1G03910" 2267 2308 2434 2417 2296 2064 2073 2340
"AT1G03920" 164 185 38 37 50 51 40 29
"AT1G03930" 620 680 1177 1136 627 676 490 532
"AT1G03935" 34 33 29 25 34 25 28 30
"AT1G03940" 108 140 104 102 128 150 81 96
"AT1G03950" 286 321 305 315 342 340 252 289
"AT1G03960" 351 450 357 321 368 329 260 296
"AT1G03970" 241 246 224 216 241 217 202 252
"AT1G03980" 4 21 5 12 16 9 13 14
"AT1G03982" 0 0 0 0 0 0 0 1
"AT1G03990" 151 160 170 178 173 199 143 165
"AT1G04000" 143 200 275 304 167 205 104 130
"AT1G04010" 330 363 408 394 315 316 294 336
"AT1G04020" 41 55 69 62 39 29 29 31
"AT1G04030" 81 112 77 66 45 55 28 50
"AT1G04040" 3030 2078 3459 3470 3228 2560 4199 5340
"AT1G04050" 100 131 91 81 74 86 54 73
"AT1G04070" 102 101 76 91 122 92 74 88
"AT1G04080" 4040 3882 3677 3665 4867 4015 5766 6255
"AT1G04090" 12 18 25 12 10 14 2 7
"AT1G04100" 135 158 99 107 130 169 53 72
"AT1G04110" 19 22 27 12 3 9 7 6
"AT1G04120" 2685 2991 2472 2243 2978 2887 1877 2281
"AT1G04130" 201 222 209 198 116 106 116 127
"AT1G04140" 4010 4120 4609 4001 4079 3669 3456 4144
"AT1G04150" 9 10 5 2 5 0 2 2
"AT1G04160" 208 254 439 368 309 315 279 349
"AT1G04170" 1953 2255 1786 1945 2143 1990 1786 1975
"AT1G04171" 0 0 0 0 0 0 0 0
"AT1G04180" 10 13 13 12 5 6 2 2
"AT1G04190" 642 714 594 608 528 571 490 493
"AT1G04200" 825 915 1015 972 1207 1112 1123 1409
"AT1G04210" 1432 1588 1548 1405 1693 1552 1337 1486
"AT1G04220" 593 966 537 481 713 1099 260 469
"AT1G04230" 282 296 231 244 270 253 240 279
"AT1G04240" 1032 1159 3029 2874 318 251 211 271
"AT1G04250" 2055 2219 4069 3830 364 405 363 471
"AT1G04260" 326 354 319 355 339 301 241 263
"AT1G04270" 3977 4482 3799 4196 3810 3710 3320 3550
"AT1G04280" 1493 1840 1786 1671 1874 1998 1049 1253
"AT1G04290" 18 21 25 32 26 31 18 8
"AT1G04295" 0 0 0 0 0 0 0 0
"AT1G04300" 6136 5827 5526 5215 5927 5217 4894 5414
"AT1G04310" 1877 1979 1373 1370 1934 1948 978 1087
"AT1G04320" 0 0 0 0 0 0 0 0
"AT1G04330" 9 8 4 7 4 5 6 4
"AT1G04340" 305 354 370 379 371 361 291 315
"AT1G04350" 176 153 124 133 261 215 267 295
"AT1G04360" 72 77 66 72 161 171 126 199
"AT1G04370" 6 4 1 1 3 2 1 1
"AT1G04380" 1 3 2 2 0 1 1 1
"AT1G04390" 510 500 448 417 506 405 384 473
"AT1G04400" 8680 9166 9368 9884 10419 9399 7812 9561
"AT1G04410" 17465 20643 18399 18983 18848 19199 15259 16559
"AT1G04420" 1187 1376 1580 1733 1072 1071 1101 1039
"AT1G04425" 6 16 13 14 10 12 6 11
"AT1G04430" 4827 4850 5319 5626 6352 5380 5765 6748
"AT1G04440" 2972 3264 3406 3345 3838 3541 2787 3498
"AT1G04445" 2 2 5 2 4 7 5 2
"AT1G04450" 0 0 0 0 0 0 0 0
"AT1G04457" 11 16 8 11 6 11 8 10
"AT1G04470" 0 0 1 0 0 0 0 0
"AT1G04480" 1415 1539 1335 1356 1382 1387 1105 1181
"AT1G04490" 8 18 21 6 4 5 3 9
"AT1G04500" 8 4 2 5 23 15 10 5
"AT1G04501" 0 0 0 0 0 0 0 0
"AT1G04510" 1479 1550 1275 1442 1436 1418 1266 1371
"AT1G04520" 147 159 202 142 48 46 48 55
"AT1G04530" 1051 1162 1119 1156 1085 941 818 1122
"AT1G04540" 92 91 37 39 34 21 18 32
"AT1G04550" 367 403 366 365 217 268 195 266
"AT1G04555" 145 162 202 195 241 216 158 228
"AT1G04560" 96 31 107 95 10 5 10 41
"AT1G04570" 17 25 10 14 12 15 20 27
"AT1G04580" 3 0 1 1 2 3 0 1
"AT1G04590" 390 399 380 360 323 311 237 251
"AT1G04600" 10 22 14 15 14 9 1 7
"AT1G04610" 53 59 234 290 21 27 136 92
"AT1G04620" 905 1042 930 979 848 805 650 764
"AT1G04625" 0 1 0 0 0 0 0 0
"AT1G04630" 410 469 375 385 383 397 325 316
"AT1G04635" 17 15 18 17 19 20 12 9
"AT1G04640" 97 165 131 154 104 132 88 106
"AT1G04645" 0 0 0 0 0 0 0 0
"AT1G04650" 15 17 15 23 13 6 17 12
"AT1G04660" 1 2 65 72 3 0 1 0
"AT1G04670" 0 2 2 1 0 0 0 0
"AT1G04680" 1544 1673 4318 4089 1264 1329 1771 2488
"AT1G04684" 0 0 0 0 0 0 0 0
"AT1G04690" 1579 1880 1745 1869 1814 1927 1404 1692
"AT1G04700" 46 62 56 51 51 57 39 50
"AT1G04710" 193 206 236 201 144 149 93 132
"AT1G04720" 0 0 0 0 0 0 0 0
"AT1G04730" 72 77 98 86 58 41 47 63
"AT1G04750" 2139 2495 2515 2714 2424 2462 1961 2350
"AT1G04760" 9 17 12 10 1 3 6 5
"AT1G04770" 257 226 113 147 333 339 276 337
"AT1G04778" 7 6 11 9 4 2 3 1
"AT1G04780" 1890 2019 1796 1801 2217 2029 1591 1976
"AT1G04790" 783 835 821 784 851 811 632 817
"AT1G04800" 1113 1368 1310 1508 900 931 638 684
"AT1G04810" 2478 2710 2480 2229 2280 2033 1820 2142
"AT1G04820" 10546 13039 19017 18684 9523 9595 8452 10242
"AT1G04830" 708 763 1034 996 728 726 574 725
"AT1G04840" 31 25 31 21 36 36 31 25
"AT1G04850" 2886 3357 2642 2825 2801 2802 2254 2516
"AT1G04860" 952 928 917 839 860 845 725 802
"AT1G04870" 411 497 453 441 448 462 323 379
"AT1G04880" 6 6 13 9 7 6 4 6
"AT1G04890" 0 0 1 1 0 0 0 0
"AT1G04900" 140 192 155 166 109 88 101 105
"AT1G04910" 985 1132 1249 1167 1030 1046 792 873
"AT1G04920" 43 38 50 54 33 29 30 26
"AT1G04930" 96 130 96 96 106 104 82 81
"AT1G04940" 31 41 37 39 38 29 25 33
"AT1G04945" 151 172 116 112 172 190 111 135
"AT1G04950" 1007 1074 893 804 888 807 703 769
"AT1G04960" 621 634 775 755 829 759 530 674
"AT1G04970" 1315 1615 1394 1568 1657 1708 920 1119
"AT1G04980" 460 571 619 671 1175 1178 707 1035
"AT1G04985" 936 991 1027 1118 1075 1106 825 971
"AT1G04990" 546 710 565 544 299 357 214 254
"AT1G05000" 267 443 372 396 364 360 249 285
"AT1G05010" 13671 15407 7334 8147 20664 19122 10691 12320
"AT1G05020" 230 239 156 174 368 312 220 250
"AT1G05030" 272 365 306 285 327 301 185 227
"AT1G05040" 0 0 0 0 0 0 0 1
"AT1G05055" 175 221 210 218 221 209 142 166
"AT1G05060" 379 446 378 354 412 384 266 328
"AT1G05061" 7 12 13 9 18 13 3 11
"AT1G05065" 14 10 17 15 3 11 6 7
"AT1G05070" 667 790 595 676 700 678 539 669
"AT1G05080" 0 0 0 0 0 0 0 0
"AT1G05085" 0 0 0 0 1 0 0 0
"AT1G05090" 86 101 84 84 64 78 55 60
"AT1G05100" 6 8 51 49 12 6 8 6
"AT1G05120" 843 1032 916 831 873 813 579 658
"AT1G05135" 2402 2332 2948 2617 2994 3303 3132 4744
"AT1G05136" 1 4 4 2 2 4 3 3
"AT1G05140" 676 901 873 911 786 689 575 625
"AT1G05150" 1306 1491 2070 1902 1111 1134 833 880
"AT1G05160" 498 469 369 449 431 387 335 378
"AT1G05170" 202 240 391 391 140 160 149 186
"AT1G05180" 876 964 912 880 937 965 869 925
"AT1G05190" 3916 5057 4864 4812 4447 4495 3530 3834
"AT1G05200" 557 605 442 439 626 630 464 564
"AT1G05205" 274 326 249 269 245 245 216 194
"AT1G05210" 39 66 65 62 35 37 32 43
"AT1G05220" 32 36 34 46 25 26 28 20
"AT1G05230" 464 441 440 434 391 383 349 468
"AT1G05240" 56 37 48 54 69 55 49 56
"AT1G05250" 48 72 46 59 61 57 41 57
"AT1G05260" 1526 2208 1854 1938 933 744 712 754
"AT1G05270" 1524 1607 1410 1615 1495 1413 1263 1432
"AT1G05280" 24 24 35 40 18 11 16 19
"AT1G05290" 0 0 0 0 0 0 0 0
"AT1G05291" 0 0 1 0 0 0 0 0
"AT1G05300" 218 194 172 189 332 345 427 482
"AT1G05310" 32 56 22 9 8 6 3 2
"AT1G05320" 482 589 514 536 501 512 449 489
"AT1G05330" 2 1 15 9 4 6 1 7
"AT1G05340" 615 763 936 1001 938 907 595 760
"AT1G05350" 729 909 886 973 927 949 875 1041
"AT1G05360" 361 552 463 483 248 223 170 197
"AT1G05370" 27 26 28 20 28 27 25 33
"AT1G05380" 2530 2576 2472 2198 2290 2054 1932 2240
"AT1G05385" 467 436 426 516 440 370 449 427
"AT1G05390" 0 0 0 0 0 0 0 0
"AT1G05400" 33 48 32 36 35 28 23 25
"AT1G05410" 400 445 399 436 378 335 314 345
"AT1G05420" 4 15 83 93 9 6 10 11
"AT1G05430" 483 568 529 568 597 550 377 426
"AT1G05440" 3 6 5 2 2 0 2 0
"AT1G05450" 2 3 5 6 7 6 3 8
"AT1G05460" 214 238 178 161 150 144 113 97
"AT1G05470" 224 288 287 255 194 197 174 172
"AT1G05490" 187 261 173 131 82 75 38 45
"AT1G05500" 994 1262 1165 1110 1098 1142 810 1002
"AT1G05510" 54 12 38 25 0 2 9 24
"AT1G05520" 1391 1647 1279 1206 1334 1291 1065 1286
"AT1G05530" 11 10 7 18 4 4 4 2
"AT1G05540" 3 7 6 5 0 2 3 0
"AT1G05550" 7 9 13 9 2 1 1 1
"AT1G05560" 78 105 75 69 79 90 28 33
"AT1G05562" 0 0 1 0 0 0 0 0
"AT1G05570" 2837 2457 3552 2772 3230 2769 3740 4212
"AT1G05575" 102 75 104 135 180 212 215 321
"AT1G05577" 5 6 2 2 3 3 1 1
"AT1G05580" 0 0 0 0 1 0 0 0
"AT1G05590" 310 361 359 349 233 280 178 242
"AT1G05600" 294 324 260 234 211 200 159 118
