"GSM1252262" "GSM1252263" "GSM1252264" "GSM1252265" "GSM1252266" "GSM1252267" "GSM1252268" "GSM1252269"
"AT1G01010" 632 704 452 500 625 576 497 619
"AT1G01020" 556 556 504 565 539 566 498 556
"AT1G01030" 136 128 133 151 112 105 151 135
"AT1G01040" 2078 2063 1814 1689 1819 1741 1378 1561
"AT1G01046" 28 26 27 26 36 19 23 19
"AT1G01050" 1657 1815 1481 1590 1196 1178 956 1071
"AT1G01060" 379 323 308 243 158 126 145 140
"AT1G01070" 137 187 230 245 150 127 126 112
"AT1G01073" 0 0 0 0 0 0 0 0
"AT1G01080" 894 1026 941 936 795 829 655 787
"AT1G01090" 2490 3535 3680 3316 2415 2635 1846 2086
"AT1G01100" 2785 3239 2666 2970 2763 2942 2234 2516
"AT1G01110" 204 219 198 179 88 114 78 94
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 2826 3790 5893 5879 2142 2569 1537 2368
"AT1G01130" 27 38 47 67 23 35 18 33
"AT1G01140" 1614 1781 1983 1857 2391 2376 2477 2855
"AT1G01150" 0 1 2 3 3 0 0 0
"AT1G01160" 1156 1296 1209 1302 1137 1202 950 1105
"AT1G01170" 1331 1473 1391 1591 1931 1721 1480 1680
"AT1G01180" 397 389 351 336 495 494 373 466
"AT1G01183" 0 0 2 2 1 0 2 1
"AT1G01190" 22 30 18 21 27 28 11 18
"AT1G01200" 34 23 86 94 12 18 9 5
"AT1G01210" 189 209 157 178 152 143 115 137
"AT1G01220" 430 500 433 373 464 457 306 358
"AT1G01225" 37 69 50 48 37 33 22 28
"AT1G01230" 823 935 882 865 816 843 661 731
"AT1G01240" 775 959 942 991 915 913 565 620
"AT1G01250" 0 3 5 4 0 0 1 0
"AT1G01260" 657 706 777 722 632 654 475 688
"AT1G01270" 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0 0 0
"AT1G01290" 455 444 346 331 383 345 280 288
"AT1G01300" 1995 2111 1774 1746 2009 1939 1610 1907
"AT1G01305" 0 0 0 0 0 0 0 0
"AT1G01310" 2 6 4 6 2 4 0 2
"AT1G01320" 11198 11183 10522 9014 9606 9032 7328 8223
"AT1G01340" 629 514 508 576 973 904 788 956
"AT1G01350" 598 695 639 668 713 643 561 658
"AT1G01355" 7 6 3 8 3 9 1 5
"AT1G01360" 449 466 621 684 455 493 384 530
"AT1G01370" 24 31 48 36 28 27 21 27
"AT1G01380" 27 24 41 28 18 19 12 13
"AT1G01390" 508 647 608 668 509 521 304 332
"AT1G01400" 0 0 1 0 0 0 1 0
"AT1G01410" 0 0 0 0 0 0 0 0
"AT1G01420" 77 75 61 85 115 112 122 140
"AT1G01430" 1643 1856 1600 1517 1651 1495 1470 1705
"AT1G01440" 660 765 746 716 771 627 589 688
"AT1G01448" 487 518 523 507 460 474 351 404
"AT1G01450" 0 0 0 0 0 0 0 0
"AT1G01453" 1 6 8 7 5 9 5 7
"AT1G01460" 0 0 0 0 0 0 0 1
"AT1G01470" 1881 2301 2047 2133 1560 1498 987 1422
"AT1G01471" 0 0 0 0 0 0 0 0
"AT1G01480" 96 109 63 70 197 215 145 180
"AT1G01490" 2240 2491 1631 1727 3019 2989 1531 1895
"AT1G01500" 191 236 132 138 194 194 96 116
"AT1G01510" 1062 1227 1074 1021 949 958 780 863
"AT1G01520" 23 8 6 11 2 2 3 3
"AT1G01530" 0 0 0 0 0 0 0 0
"AT1G01540" 2482 2492 3577 3554 2718 2274 2739 3298
"AT1G01550" 4691 5073 4855 5007 5619 5703 4496 5703
"AT1G01560" 13 8 1 9 34 28 48 111
"AT1G01570" 47 40 36 41 21 28 27 27
"AT1G01580" 32 28 30 27 16 17 9 10
"AT1G01590" 3 3 1 3 0 1 1 0
"AT1G01600" 83 100 640 677 90 161 108 249
"AT1G01610" 852 999 1209 1266 659 788 766 1055
"AT1G01620" 13795 14855 68880 64216 10467 10098 10869 11565
"AT1G01630" 619 715 1007 1042 611 622 427 584
"AT1G01640" 335 380 264 272 221 220 148 155
"AT1G01650" 1783 2142 1828 1691 2914 3042 1842 2238
"AT1G01660" 17 17 22 22 14 11 13 22
"AT1G01670" 15 17 15 10 7 13 9 10
"AT1G01680" 2 7 9 4 14 16 20 41
"AT1G01690" 78 86 70 84 74 88 44 55
"AT1G01695" 6 10 3 3 14 3 3 2
"AT1G01700" 99 90 61 54 69 63 41 50
"AT1G01710" 1067 1165 1066 1029 1076 1052 779 970
"AT1G01720" 1689 1809 1469 1684 1774 1748 1704 2210
"AT1G01725" 391 422 366 370 428 317 250 286
"AT1G01730" 884 976 799 848 955 957 698 791
"AT1G01740" 112 107 131 134 110 104 65 84
"AT1G01750" 153 153 116 145 144 198 124 207
"AT1G01760" 159 156 145 107 163 170 117 138
"AT1G01770" 1663 1785 1569 1370 2407 2205 1475 1730
"AT1G01780" 1214 1611 1340 1418 1254 1281 811 941
"AT1G01790" 1158 1489 1374 1168 788 850 622 749
"AT1G01800" 1645 1695 1434 1461 1636 1517 1222 1424
"AT1G01810" 4 4 16 7 5 5 4 8
"AT1G01820" 2209 2290 2169 2286 2605 2465 2062 2355
"AT1G01830" 419 477 374 363 383 445 318 384
"AT1G01840" 7 14 7 5 4 5 3 4
"AT1G01860" 244 309 264 312 323 320 231 249
"AT1G01870" 0 0 0 0 0 0 0 0
"AT1G01880" 22 35 42 33 34 40 31 36
"AT1G01890" 0 0 0 0 0 0 0 0
"AT1G01900" 68 152 289 322 28 49 36 64
"AT1G01910" 843 1014 957 965 1170 1108 841 1030
"AT1G01920" 691 817 642 644 670 646 607 691
"AT1G01930" 579 635 668 691 604 568 458 549
"AT1G01940" 210 255 217 226 221 212 183 220
"AT1G01950" 797 850 847 824 979 882 939 1056
"AT1G01960" 3595 3730 3296 2877 3964 3527 3107 3675
"AT1G01970" 476 487 575 568 427 436 366 386
"AT1G01980" 0 0 0 0 0 0 0 0
"AT1G01990" 591 571 554 590 686 556 649 768
"AT1G02000" 210 252 245 264 173 194 101 148
"AT1G02010" 690 696 541 547 422 410 263 269
"AT1G02020" 372 424 375 349 321 303 231 222
"AT1G02030" 12 9 3 2 6 11 6 6
"AT1G02040" 1 0 0 0 0 1 1 0
"AT1G02050" 283 322 230 269 235 227 158 166
"AT1G02060" 301 338 257 226 247 246 176 173
"AT1G02065" 44 47 22 30 32 23 19 19
"AT1G02070" 21 33 4 4 1 2 0 0
"AT1G02074" 3 0 1 2 0 0 0 2
"AT1G02080" 5074 5610 5117 3889 5154 4737 4126 4673
"AT1G02090" 627 874 720 733 659 695 475 582
"AT1G02100" 1854 2066 1850 1873 1784 1672 1460 1571
"AT1G02110" 716 802 547 514 527 570 407 428
"AT1G02120" 2500 2661 2267 2287 2841 2704 2266 2825
"AT1G02130" 872 1137 942 1047 875 905 589 668
"AT1G02136" 0 0 0 0 0 0 0 0
"AT1G02140" 2067 2194 2132 2222 1920 1788 1614 1874
"AT1G02145" 680 765 585 568 638 601 457 536
"AT1G02150" 2205 2688 2405 2505 2309 2299 1787 1809
"AT1G02160" 391 465 415 468 397 355 252 330
"AT1G02170" 984 966 798 984 1030 1061 858 962
"AT1G02180" 68 87 80 97 51 49 39 26
"AT1G02190" 1 2 2 7 0 1 0 0
"AT1G02205" 893 1626 1516 1429 295 451 133 180
"AT1G02210" 0 0 0 0 0 0 0 0
"AT1G02220" 346 329 225 212 264 262 122 117
"AT1G02228" 0 0 0 0 0 0 0 0
"AT1G02230" 9 10 14 10 10 13 3 7
"AT1G02250" 1 0 1 2 0 0 0 1
"AT1G02260" 596 601 445 399 406 420 284 312
"AT1G02270" 358 477 521 495 445 462 356 427
"AT1G02280" 2981 3311 3289 3612 2757 2698 2335 2432
"AT1G02290" 274 291 202 230 217 198 164 194
"AT1G02300" 1082 1077 799 869 1087 975 778 928
"AT1G02305" 4704 4918 5035 5176 4218 4193 3177 3532
"AT1G02310" 8 17 11 17 14 12 11 4
"AT1G02320" 0 0 0 2 0 0 0 0
"AT1G02330" 621 635 636 692 672 608 584 630
"AT1G02335" 148 203 127 117 39 45 28 22
"AT1G02340" 1913 2220 2628 2537 1788 1734 1311 1405
"AT1G02350" 26 26 26 37 8 10 7 6
"AT1G02360" 787 935 620 685 1419 1363 1092 1199
"AT1G02370" 134 136 99 97 109 85 91 96
"AT1G02380" 54 50 58 64 80 72 106 102
"AT1G02390" 6 15 22 12 1 1 8 5
"AT1G02391" 0 0 0 0 0 0 0 0
"AT1G02400" 516 619 1611 1813 790 829 751 1050
"AT1G02405" 3 1 1 1 2 1 1 0
"AT1G02410" 343 356 381 379 379 361 304 349
"AT1G02420" 67 94 66 63 75 57 51 53
"AT1G02430" 68 77 52 81 48 64 66 86
"AT1G02440" 9 8 12 21 16 12 23 22
"AT1G02450" 0 0 0 1 0 2 0 1
"AT1G02460" 80 79 69 78 139 154 54 69
"AT1G02470" 85 124 37 52 94 121 27 48
"AT1G02475" 385 511 424 414 490 565 304 398
"AT1G02480" 0 0 0 0 0 0 0 0
"AT1G02490" 0 0 0 0 0 0 0 0
"AT1G02500" 9469 11758 9049 8822 10474 11144 7367 8243
"AT1G02510" 0 0 0 0 0 0 0 0
"AT1G02520" 529 655 457 474 592 498 427 511
"AT1G02530" 2 4 2 4 5 4 2 6
"AT1G02540" 0 0 0 0 0 0 0 0
"AT1G02550" 0 0 0 0 0 0 0 0
"AT1G02560" 2230 2894 2687 2756 2364 2443 1860 2120
"AT1G02570" 10 15 13 13 16 16 16 14
"AT1G02575" 4 9 19 10 14 27 17 31
"AT1G02580" 35 37 41 47 42 58 35 35
"AT1G02590" 0 0 0 0 0 0 0 0
"AT1G02600" 0 0 0 0 0 0 0 0
"AT1G02610" 467 465 693 751 835 856 707 782
"AT1G02620" 121 124 157 173 197 183 157 160
"AT1G02630" 19 21 22 24 14 14 10 13
"AT1G02640" 3811 3882 8059 8308 4823 4985 3353 3817
"AT1G02650" 24 16 188 224 24 31 38 39
"AT1G02660" 815 1097 3960 3732 2137 2430 1274 1763
"AT1G02670" 32 64 170 145 111 110 46 75
"AT1G02680" 337 377 364 461 422 383 349 395
"AT1G02681" 1 2 1 1 1 1 0 0
"AT1G02690" 139 161 134 146 143 150 120 111
"AT1G02700" 64 46 76 86 30 34 30 35
"AT1G02710" 53 47 17 23 25 17 6 14
"AT1G02720" 164 156 168 174 129 143 95 146
"AT1G02730" 81 122 73 65 32 52 34 41
"AT1G02740" 140 232 187 192 142 143 60 92
"AT1G02750" 426 427 406 492 454 387 439 443
"AT1G02760" 0 0 0 0 0 0 0 1
"AT1G02770" 28 34 40 39 19 30 13 15
"AT1G02780" 6288 7770 6642 7199 6098 6411 5105 5826
"AT1G02790" 0 0 0 0 0 0 2 0
"AT1G02800" 86 161 183 159 17 32 24 23
"AT1G02810" 314 349 623 665 400 411 402 474
"AT1G02813" 0 0 0 0 0 0 0 0
"AT1G02816" 781 876 561 614 869 927 410 543
"AT1G02820" 14 9 4 11 4 1 2 2
"AT1G02830" 0 0 0 0 0 0 0 0
"AT1G02840" 8895 8361 6974 7656 7868 7005 6619 7040
"AT1G02850" 1991 2374 1417 1366 2445 2617 1317 1487
"AT1G02860" 1197 1337 1714 1664 1136 1137 1075 1241
"AT1G02870" 320 373 269 294 299 290 267 322
"AT1G02880" 306 380 334 353 312 343 257 354
"AT1G02890" 4871 4941 4899 4527 5685 5046 4986 6212
"AT1G02900" 923 1005 566 634 600 573 476 504
"AT1G02910" 971 1112 1058 1054 1013 976 876 1015
"AT1G02920" 6705 5966 3911 4056 13943 13422 8440 10861
"AT1G02930" 3644 3315 2677 2520 15896 15819 12870 18863
"AT1G02940" 0 2 1 2 6 4 10 12
"AT1G02950" 89 78 60 85 41 46 33 34
"AT1G02952" 0 0 0 0 0 0 0 0
"AT1G02960" 1057 1082 862 998 968 841 816 863
"AT1G02965" 0 0 0 0 0 0 0 0
"AT1G02970" 12 18 22 11 9 12 10 11
"AT1G02980" 2 5 1 1 4 1 5 2
"AT1G02990" 608 692 622 591 689 664 474 588
"AT1G03000" 968 1064 904 888 903 946 676 783
"AT1G03010" 67 68 60 57 58 53 20 30
"AT1G03020" 0 0 0 1 0 0 0 1
"AT1G03022" 0 0 0 0 0 0 0 0
"AT1G03030" 386 494 336 359 471 538 343 395
"AT1G03040" 1341 1431 1115 1174 1529 1544 1114 1358
"AT1G03050" 0 0 0 0 0 0 0 0
"AT1G03055" 0 3 1 0 0 1 0 0
"AT1G03060" 2319 2290 2328 1624 2457 2127 2249 2590
"AT1G03070" 12 18 14 27 20 16 131 147
"AT1G03080" 4316 4807 6205 5555 5210 5040 4161 5217
"AT1G03090" 20331 23766 34526 32649 33815 31321 30706 34936
"AT1G03100" 53 70 104 95 73 86 74 79
"AT1G03103" 1 0 0 0 0 0 0 0
"AT1G03106" 183 56 199 121 20 11 31 52
"AT1G03110" 156 200 174 173 126 132 75 91
"AT1G03120" 20 33 37 33 24 19 10 17
"AT1G03130" 2970 3734 4070 4450 3526 3571 2714 2979
"AT1G03140" 2293 2460 2400 2519 2494 2096 2057 2212
"AT1G03150" 348 429 403 447 467 423 302 317
"AT1G03160" 1330 1401 1422 1413 1344 1267 1145 1372
"AT1G03170" 43 48 34 37 4 2 3 5
"AT1G03180" 44 60 66 82 35 59 29 39
"AT1G03190" 350 361 272 293 329 337 235 269
"AT1G03200" 76 85 85 67 77 100 64 85
"AT1G03210" 906 981 741 749 924 999 731 801
"AT1G03220" 7500 5533 3606 3339 11996 11672 8477 11717
"AT1G03230" 961 1159 693 717 1277 1629 907 1352
"AT1G03240" 13 12 11 11 17 8 12 15
"AT1G03250" 322 397 325 385 434 385 266 352
"AT1G03260" 253 288 298 286 249 267 233 269
"AT1G03270" 50 61 76 71 52 61 30 38
"AT1G03280" 1349 1526 1509 1597 1610 1625 1150 1433
"AT1G03290" 1705 2033 1974 2025 2604 2387 2083 2343
"AT1G03300" 165 167 130 123 123 134 71 100
"AT1G03310" 180 248 157 153 145 156 97 80
"AT1G03320" 8 8 11 8 8 7 5 6
"AT1G03330" 420 523 541 606 525 471 367 390
"AT1G03340" 43 81 51 44 33 37 32 17
"AT1G03350" 1102 1154 1088 1117 1134 1132 880 1121
"AT1G03360" 194 254 176 161 128 151 142 166
"AT1G03365" 683 663 658 556 657 641 633 684
"AT1G03370" 941 1088 1456 1317 1470 1360 1371 1915
"AT1G03380" 2177 2480 2556 2372 2883 2568 2184 2549
"AT1G03390" 2 3 4 5 1 2 5 2
"AT1G03400" 82 112 141 154 153 227 174 215
"AT1G03410" 341 353 330 379 311 346 244 297
"AT1G03420" 0 0 0 0 0 0 0 0
"AT1G03430" 464 552 541 524 558 588 426 516
"AT1G03440" 252 284 292 268 226 245 185 203
"AT1G03445" 2 3 23 21 5 2 4 6
