"GSM897684" "GSM897685" "GSM897686" "GSM897687"
"AT1G01010" 584 165 455 144
"AT1G01020" 310 558 336 526
"AT1G01030" 312 155 309 165
"AT1G01040" 2419 2386 2496 2214
"AT1G01046" 39 27 22 41
"AT1G01050" 1308 1943 1442 2154
"AT1G01060" 3060 3709 5392 5870
"AT1G01070" 67 432 86 461
"AT1G01073" 0 0 0 0
"AT1G01080" 789 1205 801 1461
"AT1G01090" 8785 8287 8926 9295
"AT1G01100" 3967 15337 4210 17840
"AT1G01110" 151 430 222 475
"AT1G01115" 0 0 0 0
"AT1G01120" 7820 586 7240 700
"AT1G01130" 33 53 20 26
"AT1G01140" 2678 1702 3301 1732
"AT1G01150" 1 10 0 6
"AT1G01160" 816 1571 917 1651
"AT1G01170" 1078 2365 1412 1967
"AT1G01180" 706 187 884 208
"AT1G01183" 0 1 0 1
"AT1G01190" 44 143 33 110
"AT1G01200" 7 18 6 19
"AT1G01210" 130 274 189 281
"AT1G01220" 692 1322 559 1158
"AT1G01225" 68 126 69 134
"AT1G01230" 665 693 673 760
"AT1G01240" 1811 1425 1784 1290
"AT1G01250" 44 15 61 13
"AT1G01260" 526 830 562 1006
"AT1G01270" 0 0 0 0
"AT1G01280" 0 0 0 0
"AT1G01290" 247 405 265 410
"AT1G01300" 860 2483 922 2462
"AT1G01305" 0 0 0 1
"AT1G01310" 5 4 9 4
"AT1G01320" 14284 18742 12381 18452
"AT1G01340" 187 136 349 229
"AT1G01350" 414 744 501 798
"AT1G01355" 2 2 14 7
"AT1G01360" 407 341 553 393
"AT1G01370" 17 128 35 127
"AT1G01380" 9 72 4 59
"AT1G01390" 133 7 164 9
"AT1G01400" 2 0 0 0
"AT1G01410" 0 0 0 0
"AT1G01420" 425 122 497 127
"AT1G01430" 1697 1268 1715 1111
"AT1G01440" 734 717 815 641
"AT1G01448" 303 441 344 390
"AT1G01450" 0 1 0 0
"AT1G01453" 0 0 1 0
"AT1G01460" 1 1 0 0
"AT1G01470" 16951 2151 18651 1586
"AT1G01471" 0 0 0 0
"AT1G01480" 285 41 136 30
"AT1G01490" 2663 1858 2634 1849
"AT1G01500" 1098 660 1050 824
"AT1G01510" 1111 3394 1122 3558
"AT1G01520" 107 90 245 134
"AT1G01530" 0 0 1 0
"AT1G01540" 1123 2451 1555 2187
"AT1G01550" 5587 3482 5565 3351
"AT1G01560" 152 93 132 121
"AT1G01570" 59 80 74 103
"AT1G01580" 55 151 91 125
"AT1G01590" 12 2 7 3
"AT1G01600" 128 231 49 278
"AT1G01610" 6286 2973 4842 3086
"AT1G01620" 31675 26700 30747 25314
"AT1G01630" 1016 654 1083 764
"AT1G01640" 110 135 101 78
"AT1G01650" 1804 2273 1890 2352
"AT1G01660" 41 65 41 64
"AT1G01670" 69 180 68 145
"AT1G01680" 49 23 9 20
"AT1G01690" 54 218 49 237
"AT1G01695" 4 10 6 4
"AT1G01700" 46 114 52 117
"AT1G01710" 1141 1591 1301 1704
"AT1G01720" 4194 1353 5002 1563
"AT1G01725" 351 477 353 491
"AT1G01730" 1040 1117 1031 1194
"AT1G01740" 163 216 138 205
"AT1G01750" 39 81 49 61
"AT1G01760" 136 264 127 258
"AT1G01770" 1495 1740 1468 1485
"AT1G01780" 509 470 495 371
"AT1G01790" 3869 3966 3994 3439
"AT1G01800" 1374 2540 1674 2766
"AT1G01810" 4 4 2 6
"AT1G01820" 1976 2574 2310 2588
"AT1G01830" 1009 768 916 683
"AT1G01840" 12 50 12 47
"AT1G01860" 307 400 235 425
"AT1G01870" 0 0 0 0
"AT1G01880" 68 141 51 144
"AT1G01890" 0 0 0 0
"AT1G01900" 666 479 164 380
"AT1G01910" 1047 1628 1033 1676
"AT1G01920" 268 1086 301 1139
"AT1G01930" 507 752 536 738
"AT1G01940" 198 364 201 377
"AT1G01950" 534 1112 698 1147
"AT1G01960" 3773 6960 3722 7034
"AT1G01970" 606 984 561 878
"AT1G01980" 0 6 0 2
"AT1G01990" 764 629 860 720
"AT1G02000" 432 230 394 272
"AT1G02010" 291 772 316 651
"AT1G02020" 911 707 869 766
"AT1G02030" 4 26 1 17
"AT1G02040" 0 0 0 2
"AT1G02050" 353 853 451 929
"AT1G02060" 413 846 464 966
"AT1G02065" 1 361 2 525
"AT1G02070" 1 79 1 74
"AT1G02074" 6 8 3 6
"AT1G02080" 5079 9248 4810 9000
"AT1G02090" 599 910 646 923
"AT1G02100" 1594 2255 1920 2183
"AT1G02110" 1467 3612 2020 4120
"AT1G02120" 3439 4449 4139 4427
"AT1G02130" 873 1290 920 1330
"AT1G02136" 0 3 1 2
"AT1G02140" 1644 2514 1900 2315
"AT1G02145" 494 1130 627 1102
"AT1G02150" 2745 4501 3119 4883
"AT1G02160" 421 815 538 953
"AT1G02170" 1460 1393 1544 1589
"AT1G02180" 73 307 87 304
"AT1G02190" 8 29 8 20
"AT1G02205" 4246 3721 1437 2820
"AT1G02210" 0 0 0 0
"AT1G02220" 87 77 89 62
"AT1G02228" 0 0 0 0
"AT1G02230" 16 25 17 13
"AT1G02250" 3 4 3 4
"AT1G02260" 515 991 613 1016
"AT1G02270" 463 417 401 408
"AT1G02280" 1381 5108 1672 5547
"AT1G02290" 159 466 139 494
"AT1G02300" 735 1572 574 1295
"AT1G02305" 3418 5019 3887 4667
"AT1G02310" 8 10 3 2
"AT1G02320" 0 0 0 0
"AT1G02330" 447 806 491 887
"AT1G02335" 190 522 140 374
"AT1G02340" 540 92 700 104
"AT1G02350" 21 62 14 74
"AT1G02360" 613 63 541 130
"AT1G02370" 54 162 71 253
"AT1G02380" 49 48 41 50
"AT1G02390" 127 25 109 28
"AT1G02391" 0 0 0 0
"AT1G02400" 1704 252 1628 287
"AT1G02405" 42 9 40 10
"AT1G02410" 438 844 527 784
"AT1G02420" 108 158 114 168
"AT1G02430" 35 49 51 57
"AT1G02440" 2 1 2 5
"AT1G02450" 2 5 0 6
"AT1G02460" 581 135 550 114
"AT1G02470" 338 26 137 21
"AT1G02475" 1232 442 1063 459
"AT1G02480" 0 0 0 0
"AT1G02490" 0 6 0 9
"AT1G02500" 13444 11611 12358 13465
"AT1G02510" 1 0 1 0
"AT1G02520" 44 99 27 75
"AT1G02530" 1 7 1 11
"AT1G02540" 0 0 0 0
"AT1G02550" 0 0 0 0
"AT1G02560" 7081 5626 5804 5738
"AT1G02570" 2 1 1 0
"AT1G02575" 0 0 0 0
"AT1G02580" 15 3 2 3
"AT1G02590" 0 0 1 0
"AT1G02600" 0 0 0 0
"AT1G02610" 733 416 497 291
"AT1G02620" 401 167 411 214
"AT1G02630" 27 282 18 221
"AT1G02640" 1088 5678 1514 6291
"AT1G02650" 78 85 59 66
"AT1G02660" 2657 1299 2696 1231
"AT1G02670" 95 80 59 67
"AT1G02680" 274 622 305 590
"AT1G02681" 0 0 0 2
"AT1G02690" 152 1063 148 1133
"AT1G02700" 19 11 24 3
"AT1G02710" 33 18 62 16
"AT1G02720" 123 331 160 438
"AT1G02730" 94 2741 123 2683
"AT1G02740" 204 355 200 369
"AT1G02750" 370 581 396 619
"AT1G02760" 1 1 0 0
"AT1G02770" 15 9 25 6
"AT1G02780" 8838 26547 8858 30119
"AT1G02790" 0 1 0 0
"AT1G02800" 3 261 2 266
"AT1G02810" 3 34 8 29
"AT1G02813" 0 1 0 0
"AT1G02816" 532 199 422 203
"AT1G02820" 116 15 152 18
"AT1G02830" 0 0 1 0
"AT1G02840" 6113 14027 7521 15364
"AT1G02850" 760 427 451 206
"AT1G02860" 1012 488 967 433
"AT1G02870" 241 814 313 1087
"AT1G02880" 433 472 462 550
"AT1G02890" 3681 3873 3916 3867
"AT1G02900" 100 68 57 60
"AT1G02910" 1172 1543 1356 1432
"AT1G02920" 2810 2770 4574 3533
"AT1G02930" 4917 3543 6191 4845
"AT1G02940" 2 25 3 13
"AT1G02950" 48 65 63 69
"AT1G02952" 0 0 1 0
"AT1G02960" 600 1074 679 872
"AT1G02965" 0 0 0 0
"AT1G02970" 5 69 27 51
"AT1G02980" 0 1 0 1
"AT1G02990" 803 782 733 709
"AT1G03000" 898 1653 866 1378
"AT1G03010" 16 26 23 30
"AT1G03020" 21 9 36 20
"AT1G03022" 0 0 0 0
"AT1G03030" 309 427 386 467
"AT1G03040" 920 1329 878 1425
"AT1G03050" 1 1 1 0
"AT1G03055" 57 39 94 41
"AT1G03060" 3180 6059 3490 6212
"AT1G03070" 27 18 16 20
"AT1G03080" 7393 6529 8293 6376
"AT1G03090" 23289 29129 26537 31355
"AT1G03100" 68 92 125 94
"AT1G03103" 2 0 1 0
"AT1G03106" 49 10 10 3
"AT1G03110" 164 363 156 375
"AT1G03120" 48 94 21 77
"AT1G03130" 28702 19998 26219 15867
"AT1G03140" 2215 4400 2679 4253
"AT1G03150" 713 731 605 719
