"GSM1276497" "GSM1276498" "GSM1276499" "GSM1276500" "GSM1276501" "GSM1276502" "GSM1276503" "GSM1276504" "GSM1276505" "GSM1276506"
"AT1G01010" 74 108 65 81 101 17 119 110 158 36
"AT1G01020" 590 195 538 249 672 175 989 254 87 60
"AT1G01030" 139 1 212 2 216 1 281 6 0 19
"AT1G01040" 3028 3301 1587 1614 1796 478 2453 2011 3702 780
"AT1G01046" 21 14 19 15 15 3 36 13 4 0
"AT1G01050" 2186 2993 1744 2916 1936 1574 3462 2843 3584 143
"AT1G01060" 1988 2243 182 202 212 33 271 359 1459 56
"AT1G01070" 0 34 2 81 11 35 7 78 34 23
"AT1G01073" 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 3226 1493 1900 706 2501 567 5382 2052 1527 261
"AT1G01090" 53657 49485 68015 56064 71993 35517 136574 67924 124849 7238
"AT1G01100" 35328 13133 29688 14495 35917 9225 77000 33354 20653 2547
"AT1G01110" 1450 4 1177 14 1166 4 1770 232 8 102
"AT1G01115" 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 2550 283 3032 401 3232 245 8867 1040 541 68
"AT1G01130" 276 473 411 805 463 512 792 1078 1293 32
"AT1G01140" 2868 9869 2734 15817 3298 5848 9084 16287 18453 738
"AT1G01150" 35 27 30 20 37 27 31 40 30 14
"AT1G01160" 2417 1346 2518 1613 2572 652 4805 3032 4408 1220
"AT1G01170" 809 268 976 610 1330 495 2815 1744 874 143
"AT1G01180" 5 76 18 32 3 40 16 20 99 4
"AT1G01183" 14 0 1 0 0 0 8 1 0 0
"AT1G01190" 0 3 1 0 3 0 3 3 0 0
"AT1G01200" 10 1 8 1 9 0 9 8 0 0
"AT1G01210" 472 97 472 170 481 61 1060 302 233 142
"AT1G01220" 895 510 783 440 993 151 1085 500 497 252
"AT1G01225" 417 966 365 1633 509 835 1144 2083 1353 89
"AT1G01230" 397 1711 428 1939 611 943 1236 1657 1777 403
"AT1G01240" 35 145 127 599 149 204 304 470 257 598
"AT1G01250" 9 6 17 39 34 17 381 234 30 3
"AT1G01260" 1823 2491 1695 2547 2040 813 3245 2398 2974 480
"AT1G01270" 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 1 0 0 2 0 0 2
"AT1G01290" 784 543 617 531 659 220 1020 609 681 188
"AT1G01300" 6330 2344 8572 3338 9111 2533 18683 7510 10115 403
"AT1G01305" 6 0 1 0 2 0 10 2 0 0
"AT1G01310" 6 22 13 11 24 5 20 45 48 2
"AT1G01320" 29464 5049 20780 2900 21206 619 22128 5742 7486 2185
"AT1G01340" 19 450 14 696 32 403 34 955 836 138
"AT1G01350" 1092 793 912 600 958 245 1281 728 945 559
"AT1G01355" 0 24 0 13 1 20 5 45 78 7
"AT1G01360" 176 195 230 251 413 158 671 310 161 82
"AT1G01370" 1240 389 1229 316 1254 239 2205 807 660 100
"AT1G01380" 55 7 32 7 32 2 71 10 8 25
"AT1G01390" 1 2 1 0 0 1 0 9 9 3
"AT1G01400" 2 0 0 0 0 0 3 0 16 4
"AT1G01410" 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 2 130 3 23 4 56 23 158 113 4
"AT1G01430" 779 2172 1025 2024 1227 1190 2551 1728 4078 195
"AT1G01440" 743 526 564 323 587 192 950 413 757 190
"AT1G01448" 238 234 243 252 284 72 443 338 397 59
"AT1G01450" 3 0 0 0 3 1 7 0 0 0
"AT1G01453" 0 0 0 0 0 0 1 0 0 0
"AT1G01460" 0 4 0 3 0 0 0 0 16 2
"AT1G01470" 13 327 23 202 41 774 550 2958 1003 135
"AT1G01471" 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 1 5 10 4 15 10 49 25 11 5
"AT1G01490" 741 134 1069 150 1345 97 2267 591 268 381
"AT1G01500" 206 1190 255 1182 302 844 671 1047 2307 147
"AT1G01510" 3699 2375 3385 2269 3739 1074 5601 2407 4693 551
"AT1G01520" 23 25 31 14 56 7 76 22 44 10
"AT1G01530" 2 34 0 11 1 6 0 11 1 0
"AT1G01540" 2198 1508 2470 1382 2427 917 4487 2251 3702 1099
"AT1G01550" 3145 4610 4140 3795 4654 2802 10594 4934 7472 904
"AT1G01560" 0 1 2 1 3 3 22 3 1 2
"AT1G01570" 77 37 117 43 102 45 301 122 99 0
"AT1G01580" 5 3 7 12 5 0 17 6 0 10
"AT1G01590" 3 15 0 3 1 4 7 3 0 12
"AT1G01600" 339 137 392 157 570 97 1513 304 881 36
"AT1G01610" 413 2181 182 691 307 422 624 540 4701 954
"AT1G01620" 20161 16042 19592 14465 19538 10313 46334 30010 35812 995
"AT1G01630" 101 442 130 594 102 265 90 610 1868 719
"AT1G01640" 13 74 15 81 6 36 6 85 248 109
"AT1G01650" 882 1082 863 906 1208 641 2503 1408 1935 353
"AT1G01660" 49 26 5 14 5 6 29 36 77 34
"AT1G01670" 72 81 12 34 3 13 59 54 109 76
"AT1G01680" 0 7 2 2 0 0 3 3 3 0
"AT1G01690" 1128 731 1103 472 1097 280 1419 850 1179 175
"AT1G01695" 28 336 55 75 53 31 45 71 50 9
"AT1G01700" 40 2 100 2 138 0 188 14 13 2
"AT1G01710" 1293 1433 1109 1120 1307 696 2146 1553 2452 754
"AT1G01720" 1405 1090 2219 1151 3475 1462 12105 5626 5299 145
"AT1G01725" 139 370 117 351 79 161 326 573 538 68
"AT1G01730" 920 1483 1033 1183 934 908 1812 1815 3447 242
"AT1G01740" 423 112 316 63 295 57 485 171 100 20
"AT1G01750" 93 45 71 35 88 18 121 61 53 17
"AT1G01760" 285 128 262 116 218 62 327 120 210 14
"AT1G01770" 1248 1151 853 949 910 416 1322 1290 1406 97
"AT1G01780" 329 235 299 239 317 91 528 616 619 157
"AT1G01790" 3261 1414 2387 1143 2208 591 4042 1750 1838 79
"AT1G01800" 891 413 1177 1296 1270 521 2481 1089 1593 162
"AT1G01810" 59 60 34 65 45 12 88 108 58 37
"AT1G01820" 1167 1112 1287 1398 1432 868 2543 1819 2335 473
"AT1G01830" 1266 2032 1803 2488 1681 1347 2827 2945 5658 390
"AT1G01840" 210 83 166 73 183 41 362 222 188 31
"AT1G01860" 795 540 618 559 708 241 1247 779 993 86
"AT1G01870" 0 0 1 1 0 0 0 0 0 0
