"GSM1017156" "GSM1017157" "GSM1017158" "GSM1017159" "GSM1017160" "GSM1017161" "GSM1017162" "GSM1017163" "GSM1017164" "GSM1017165" "GSM1017166" "GSM1017167"
"AT1G01010" 525 415 539 1043 766 314 323 375 438 1555 1228 219
"AT1G01020" 564 1396 769 1980 716 563 535 845 739 976 1254 518
"AT1G01030" 207 171 109 40 191 50 331 221 330 39 407 56
"AT1G01040" 2046 2689 1559 1199 4087 968 2841 2661 2779 3079 2782 1060
"AT1G01046" 11 33 3 1 23 2 19 25 14 8 15 7
"AT1G01050" 3580 2926 2824 2178 2478 577 3174 3255 3420 1982 1589 580
"AT1G01060" 6813 2327 3124 5012 2854 6827 5471 7281 10552 5057 5616 4941
"AT1G01070" 432 300 408 201 214 5 247 292 185 427 119 22
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 3309 2801 2834 944 486 727 3453 3144 3285 697 2415 464
"AT1G01090" 7006 7190 5723 1816 7275 1708 8892 7458 8076 2318 6213 756
"AT1G01100" 5293 4627 4334 5874 3749 272 5571 4017 4353 3084 7011 245
"AT1G01110" 250 290 207 8 165 685 181 257 130 21 180 503
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 2209 4247 5713 388 13121 12946 2290 2650 3972 676 8432 16729
"AT1G01130" 85 75 150 63 103 834 38 43 52 49 120 1372
"AT1G01140" 1486 2231 2863 1801 1830 6342 2220 1511 2901 1743 2194 8126
"AT1G01150" 3 4 4 0 5 1 6 2 5 2 2 0
"AT1G01160" 851 1389 1128 818 1464 508 1093 1164 1139 901 1187 497
"AT1G01170" 1822 2397 3241 702 599 80 2424 1977 2751 514 667 45
"AT1G01180" 175 332 488 225 55 72 351 356 475 180 328 23
"AT1G01183" 2 4 1 0 0 0 2 0 0 0 0 0
"AT1G01190" 71 49 17 94 67 14 104 96 63 385 29 68
"AT1G01200" 78 55 79 63 29 8 50 78 29 75 38 9
"AT1G01210" 382 452 512 641 367 229 439 450 461 325 937 254
"AT1G01220" 1683 1967 1576 2407 1276 454 1666 1974 1998 3047 1095 365
"AT1G01225" 125 152 99 33 36 84 110 196 111 38 116 98
"AT1G01230" 827 1299 1084 1318 2142 300 714 942 927 1012 770 242
"AT1G01240" 524 2230 1161 1319 1184 103 926 1390 1691 1757 180 47
"AT1G01250" 42 28 102 1 17 17 91 99 98 8 33 54
"AT1G01260" 683 987 714 837 2798 3192 816 870 839 1041 2099 2967
"AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 1 0 0 0 0 0 0 4
"AT1G01290" 565 808 736 1081 462 356 530 665 704 690 744 368
"AT1G01300" 1985 2261 2046 1254 2549 989 1982 1929 1291 957 2649 1395
"AT1G01305" 0 0 0 0 0 0 0 1 0 0 0 0
"AT1G01310" 1 1 2 11 7 3 4 1 11 7 0 4
"AT1G01320" 28436 16914 14279 4749 4873 3783 45174 31435 38672 9973 15138 2347
"AT1G01340" 271 176 236 2204 336 4283 223 181 368 3300 1829 3174
"AT1G01350" 1023 1205 1206 1260 1420 1002 989 979 1077 1061 1750 762
"AT1G01355" 0 5 11 22 0 30 5 5 15 23 6 150
"AT1G01360" 458 683 539 292 369 365 511 604 656 279 349 238
"AT1G01370" 135 115 129 127 69 42 122 160 107 128 91 58
"AT1G01380" 47 64 118 10 31 9 45 61 33 3 37 34
"AT1G01390" 95 18 27 2 17 13 214 236 193 4 58 26
"AT1G01400" 1 0 2 1 0 4 0 0 0 0 0 8
"AT1G01410" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 347 197 286 33 163 13 318 299 398 57 218 11
"AT1G01430" 2767 4839 3683 1150 1567 204 3355 3317 5076 876 1679 87
"AT1G01440" 915 1231 1043 700 947 956 1081 1001 1304 1336 1082 650
"AT1G01448" 219 848 441 396 154 308 315 605 659 477 265 256
"AT1G01450" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01453" 21 23 30 9 0 12 5 13 5 9 29 4
"AT1G01460" 0 0 0 0 4 3 2 1 0 0 1 4
"AT1G01470" 1553 1743 2334 6532 9716 6810 1404 2308 1359 4947 2101 3581
"AT1G01471" 0 0 0 0 0 1 0 0 0 0 0 2
"AT1G01480" 102 42 122 1587 87 38329 60 48 71 2747 5805 29365
"AT1G01490" 2524 3936 3702 5098 5169 1142 2588 2360 3130 2984 4567 847
"AT1G01500" 393 547 603 762 749 650 475 350 568 730 1380 332
"AT1G01510" 1689 2025 1319 1106 2131 1341 1507 1747 1628 1410 1773 1236
"AT1G01520" 237 47 50 99 51 12 400 371 488 375 58 56
"AT1G01530" 4 0 5 16 0 1 0 0 2 5 6 2
"AT1G01540" 2912 6775 4198 2183 5792 4953 3287 4143 4542 2001 3910 4402
"AT1G01550" 6501 7195 7821 10006 12850 21312 5973 5517 7102 13306 17098 24866
"AT1G01560" 93 11 211 1899 44 4664 191 19 178 2442 1387 7915
"AT1G01570" 121 109 93 40 31 224 73 125 92 95 73 295
"AT1G01580" 2262 861 102 31 17 32 598 757 354 105 29 42
"AT1G01590" 5 14 3 2 0 5 17 17 19 3 7 12
"AT1G01600" 516 279 406 54 379 15 318 407 274 51 635 46
"AT1G01610" 2190 3161 2780 327 5816 243 2838 2610 3196 419 3133 253
"AT1G01620" 6178 20580 9258 770 9667 1833 11917 11102 12448 1585 3861 523
"AT1G01630" 2161 2628 3886 4534 1876 241 1769 2102 2402 3381 2084 202
"AT1G01640" 242 232 308 240 79 21 128 307 170 385 67 24
"AT1G01650" 1268 2380 1669 4785 1953 2947 1600 1994 1720 5487 2239 3251
"AT1G01660" 42 44 51 94 14 11 29 41 25 84 37 31
"AT1G01670" 37 99 238 522 21 103 41 130 58 615 57 213
"AT1G01680" 84 7 101 4007 47 2963 80 19 121 4335 97 3086
"AT1G01690" 301 320 214 199 557 76 284 352 213 320 195 98
"AT1G01695" 34 65 49 77 91 15 26 41 35 84 8 37
"AT1G01700" 97 143 69 40 285 21 63 124 80 51 59 17
"AT1G01710" 1352 1810 1999 3215 1501 2860 1437 1861 1633 3287 1525 5531
"AT1G01720" 1355 901 1321 2451 2115 6648 2899 1757 2547 4937 3543 9585
"AT1G01725" 150 280 269 722 298 213 233 273 301 372 228 367
"AT1G01730" 745 734 644 1351 1517 103 829 626 813 1127 1164 124
"AT1G01740" 350 648 639 489 286 234 378 591 614 583 562 318
"AT1G01750" 395 476 363 54 85 55 113 301 170 111 113 57
"AT1G01760" 171 372 197 156 120 343 186 302 251 272 174 239
"AT1G01770" 826 2255 1372 1864 1284 592 1327 1735 1757 3335 879 401
"AT1G01780" 421 957 589 923 474 373 452 616 591 952 304 267
"AT1G01790" 7365 5143 4143 940 3931 3524 10643 11501 11451 1813 3458 1956
"AT1G01800" 2600 3495 3987 5121 1262 1031 2565 3465 3321 4159 1732 969
"AT1G01810" 23 17 23 100 12 12 18 25 27 50 153 47
"AT1G01820" 1725 2995 2880 2973 1634 1066 2656 2756 3280 3178 2991 1062
"AT1G01830" 788 468 749 323 676 178 819 769 1026 421 535 106
"AT1G01840" 35 20 53 19 8 29 61 81 52 11 28 34
"AT1G01860" 431 1235 1334 595 105 562 622 1390 1625 588 497 470
"AT1G01870" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01880" 128 177 88 66 83 142 151 129 121 70 134 140
"AT1G01890" 0 0 0 0 1 0 2 1 0 0 0 0
"AT1G01900" 451 170 196 56 388 106 393 470 241 53 214 74
"AT1G01910" 1780 2214 1886 2682 2580 1105 1963 1897 2392 2934 2965 1189
"AT1G01920" 832 1940 1205 2351 986 913 754 1341 768 2033 1182 1089
"AT1G01930" 616 802 634 720 746 660 797 738 851 892 1060 505
"AT1G01940" 437 581 524 1002 1285 116 452 424 392 480 962 121
"AT1G01950" 1178 1519 1442 756 2395 5663 1184 1371 1200 1216 1511 5825
"AT1G01960" 6247 8594 4285 3390 10490 2134 6064 6909 6265 7783 5279 1647
"AT1G01970" 1379 1068 1184 318 652 412 1900 1631 1973 312 1382 319
"AT1G01980" 1 1 1 0 2 2 4 0 3 0 2 1
"AT1G01990" 749 1145 869 755 670 381 960 922 1202 588 1102 362
"AT1G02000" 453 573 529 532 745 189 570 565 699 767 632 190
"AT1G02010" 452 1616 1305 1277 498 557 729 2392 1539 2109 313 464
"AT1G02020" 664 1147 1060 952 799 865 958 1246 1418 1286 662 798
"AT1G02030" 28 24 36 43 18 44 15 39 24 43 37 101
"AT1G02040" 0 0 2 8 1 0 2 1 1 7 1 10
"AT1G02050" 229 718 590 839 216 295 378 716 683 980 439 310
"AT1G02060" 496 1156 765 710 385 417 601 1042 957 1198 568 361
"AT1G02065" 37 100 75 5 86 205 80 86 64 7 130 309
"AT1G02070" 9 18 5 1 1 5 11 8 1 2 8 5
"AT1G02074" 1 2 1 0 1 0 1 2 0 0 0 0
"AT1G02080" 8046 8278 4345 3687 16880 6327 9451 9179 8738 12202 9821 6028
"AT1G02090" 1255 1160 1350 1412 2210 813 1463 1473 1420 1752 2253 929
"AT1G02100" 1416 3436 4385 8031 1778 2619 1541 3131 2934 8106 1872 2838
"AT1G02110" 920 1325 959 540 1027 607 1131 1458 1272 901 1021 492
"AT1G02120" 2758 3931 3515 4145 2761 1439 3357 4051 4139 5532 3540 1667
"AT1G02130" 1619 1889 1602 1529 2412 698 1682 1789 1831 1537 1444 644
"AT1G02136" 0 0 0 0 2 0 0 0 0 1 1 0
"AT1G02140" 3265 3350 4064 4003 3411 1067 3703 3323 3888 2878 4279 1410
"AT1G02145" 966 1816 1304 1488 890 605 952 1302 1126 1464 869 485
"AT1G02150" 4767 4185 3625 1193 1070 1100 6449 4847 5881 1053 4753 653
"AT1G02160" 480 712 691 721 299 163 472 518 544 465 520 154
"AT1G02170" 857 1188 1070 1906 1252 2416 912 950 991 2199 2487 2532
"AT1G02180" 181 180 159 67 124 118 181 208 138 67 132 77
"AT1G02190" 20 24 12 0 35 1 54 51 49 1 39 16
"AT1G02205" 2817 3552 2979 429 3416 223 3365 4820 3262 237 2017 296
"AT1G02210" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02220" 805 970 1743 15102 169 49 443 487 792 15911 643 79
"AT1G02228" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02230" 76 50 99 947 1 14 37 35 127 1824 27 101
"AT1G02250" 16 2 5 41 9 14 3 2 5 38 2 32
"AT1G02260" 629 958 756 701 731 505 672 824 901 792 578 591
