"GSM1017156" "GSM1017157" "GSM1017158" "GSM1017159" "GSM1017160" "GSM1017161" "GSM1017162" "GSM1017163" "GSM1017164" "GSM1017165" "GSM1017166" "GSM1017167"
"AT1G02270" 1018 1121 1527 1216 1864 5816 960 975 1239 1197 1323 8143
"AT1G02280" 3428 3895 2757 1287 1843 554 3715 2650 3175 1021 2881 236
"AT1G02290" 596 845 542 377 820 188 548 835 548 498 408 174
"AT1G02300" 577 3533 2389 4501 171 345 748 1740 1273 3243 348 87
"AT1G02305" 3884 4756 5334 7599 1855 1026 3828 4084 4716 8240 1931 614
"AT1G02310" 49 21 75 859 184 82 33 47 21 2248 101 515
"AT1G02320" 0 2 1 1 0 0 0 1 0 2 1 1
"AT1G02330" 943 982 919 1218 1406 565 956 977 1015 1182 1771 503
"AT1G02335" 432 177 144 4 297 29 396 383 257 20 240 19
"AT1G02340" 190 355 410 120 802 78 213 401 441 254 184 26
"AT1G02350" 53 249 193 147 71 95 79 205 138 109 84 72
"AT1G02360" 414 583 723 3730 520 847 80 312 182 4637 693 669
"AT1G02370" 385 579 396 662 444 536 381 420 318 537 1196 524
"AT1G02380" 280 554 570 190 572 381 106 166 249 130 180 190
"AT1G02390" 301 89 542 664 75 258 83 198 197 1627 225 1297
"AT1G02391" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02400" 155 246 441 2113 2351 940 99 188 181 2513 3559 583
"AT1G02405" 3 2 11 16 15 50 1 2 2 17 96 142
"AT1G02410" 969 974 1153 2530 630 1250 831 864 1011 1590 1190 930
"AT1G02420" 193 214 188 120 196 140 181 308 282 205 463 185
"AT1G02430" 90 81 61 160 85 118 81 82 86 106 214 228
"AT1G02440" 6 5 3 72 24 103 5 2 12 82 44 336
"AT1G02450" 44 3 48 682 0 103 28 7 57 631 23 380
"AT1G02460" 159 49 63 73 44 21 89 126 62 88 230 19
"AT1G02470" 144 169 307 1258 535 17 79 97 129 767 479 16
"AT1G02475" 2429 2588 2886 1708 1745 961 3233 2800 3857 1209 1714 482
"AT1G02480" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02490" 5 5 1 0 0 2 3 6 3 0 0 1
"AT1G02500" 17892 14328 13558 33657 23134 1465 18705 16493 17522 24597 16526 1126
"AT1G02510" 0 0 0 1 0 1 0 0 0 5 0 7
"AT1G02520" 608 639 440 4104 795 5510 218 953 303 7690 13733 5120
"AT1G02530" 42 64 62 31 5 48 20 132 33 61 37 31
"AT1G02540" 0 0 0 0 0 4 0 0 0 0 1 28
"AT1G02550" 0 0 0 1 0 0 0 0 0 1 0 0
"AT1G02560" 10876 9232 10284 3509 12438 6273 15573 10596 16449 3348 7847 4709
"AT1G02570" 24 36 27 3 2 0 6 26 10 1 19 5
"AT1G02575" 2 6 1 2 2 4 3 5 4 0 5 5
"AT1G02580" 16 8 12 371 13 20 8 6 17 380 33 15
"AT1G02590" 0 0 0 1 0 0 0 0 0 1 0 0
"AT1G02600" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02610" 84 900 552 371 131 620 204 135 316 237 112 305
"AT1G02620" 5 37 4 0 8 7 20 7 45 2 5 0
"AT1G02630" 6 38 8 0 2 0 27 24 21 1 0 0
"AT1G02640" 488 3234 883 100 297 387 845 643 915 288 584 250
"AT1G02650" 39 90 96 31 46 793 42 33 40 24 74 370
"AT1G02660" 842 3319 3436 470 2382 18831 606 283 800 1924 1539 9906
"AT1G02670" 59 210 74 95 160 451 76 79 67 123 76 594
"AT1G02680" 370 584 533 693 373 408 413 446 464 492 507 415
"AT1G02681" 1 3 6 9 8 2 0 0 5 7 1 2
"AT1G02690" 851 594 411 258 552 66 645 895 412 395 1185 63
"AT1G02700" 60 59 46 104 118 108 56 142 78 618 169 264
"AT1G02710" 45 35 28 2 116 144 46 41 48 4 203 179
"AT1G02720" 635 706 613 382 313 874 601 758 675 343 450 870
"AT1G02730" 3477 1447 1085 136 1497 580 2622 3292 1771 620 1184 756
"AT1G02740" 387 740 605 998 501 2037 463 439 497 790 804 2138
"AT1G02750" 449 728 800 1237 1815 1452 478 489 612 906 2117 1087
"AT1G02760" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02770" 27 17 60 64 24 20 32 15 25 143 24 12
"AT1G02780" 21181 16613 19035 16938 15114 1566 24748 17473 20000 12367 33791 1742
"AT1G02790" 0 0 0 8 1 0 15 4 0 1 0 1
"AT1G02800" 251 173 57 0 7 6 219 222 108 6 153 12
"AT1G02810" 446 449 451 162 112 378 144 514 261 244 243 922
"AT1G02813" 1 2 4 1 2 0 3 2 0 2 0 3
"AT1G02816" 733 978 985 2729 1184 287 797 711 1153 2058 891 256
"AT1G02820" 343 58 248 69 132 17 1256 1021 1521 51 314 10
"AT1G02830" 1 0 0 0 0 0 2 1 2 0 21 0
"AT1G02840" 2446 4578 3104 2758 3707 1040 3593 3568 3532 2227 4556 1185
"AT1G02850" 3813 2629 4208 17240 12050 631 5451 1281 5354 13268 14302 887
"AT1G02860" 510 1260 1010 1207 1071 1517 588 581 797 1451 1524 2001
"AT1G02870" 723 707 669 657 645 283 693 567 562 519 2096 407
"AT1G02880" 912 1414 1559 5153 638 4128 704 1344 1053 5229 1669 4182
"AT1G02890" 5123 6160 4082 2925 7604 3737 5302 5631 5450 6123 8232 4728
"AT1G02900" 486 897 1131 368 439 278 244 583 372 452 836 670
"AT1G02910" 2073 3088 3238 2657 1223 1952 3704 4722 5110 2744 2105 1742
"AT1G02920" 4059 1354 6788 165329 3116 5708 1381 1355 2099 131619 18887 2064
"AT1G02930" 9084 726 8369 110915 4913 4817 2276 2092 3440 78268 29542 3009
"AT1G02940" 155 31 120 115 0 12 17 87 49 63 30 21
"AT1G02950" 91 64 41 12 135 33 85 97 65 37 72 20
"AT1G02952" 0 1 0 0 1 0 0 0 0 0 0 0
"AT1G02960" 784 1954 1122 897 795 587 705 1184 817 933 583 427
"AT1G02965" 0 1 0 0 0 1 1 1 0 2 0 1
"AT1G02970" 212 129 124 78 96 26 128 148 110 68 101 25
"AT1G02980" 10 4 28 2 23 3 5 5 9 7 26 7
"AT1G02990" 1539 1672 1081 814 2851 1089 1634 1686 1928 2086 1609 1014
"AT1G03000" 1283 3255 1685 1785 1058 1493 1523 2936 2123 2878 1138 780
"AT1G03010" 73 95 33 15 109 2 31 45 31 2 23 6
"AT1G03020" 75 13 42 3 42 113 32 43 23 3 41 75
"AT1G03022" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03030" 840 876 1065 2725 857 1031 725 845 808 1944 758 706
"AT1G03040" 1527 1690 1469 1995 2341 1007 1933 1782 1822 2074 3232 987
"AT1G03050" 1 1 4 145 0 19 14 1 13 526 12 63
"AT1G03055" 424 200 284 125 17 41 639 589 671 187 105 66
"AT1G03060" 5092 4586 3039 2182 6406 3030 5395 6433 6314 8746 4233 2513
"AT1G03070" 69 41 23 18 102 35 40 86 36 31 58 52
"AT1G03080" 7192 5960 4818 5353 10241 3776 5268 5506 5158 12987 13585 3360
"AT1G03090" 1156 8868 1753 4606 1782 940 2655 2012 2545 5115 645 322
"AT1G03100" 259 419 349 333 241 97 268 386 348 443 411 103
"AT1G03103" 0 0 0 0 7 0 0 0 1 0 0 0
"AT1G03106" 3 22 8 125 8 0 15 70 63 635 0 1
"AT1G03110" 667 547 549 441 495 165 628 650 551 532 1929 131
"AT1G03120" 6 20 4 28 5 2 21 25 23 180 9 2
"AT1G03130" 19623 30710 26416 1655 2651 1618 21626 44104 38132 1402 8524 407
"AT1G03140" 1534 2668 1772 2196 1849 514 1580 1792 1889 2163 1921 356
"AT1G03150" 566 890 553 1024 767 271 522 605 594 676 710 265
"AT1G03160" 2914 3769 2698 1869 1472 1165 3579 5522 3612 2505 1888 526
"AT1G03170" 34 16 23 7 42 367 21 24 14 18 150 1022
"AT1G03180" 172 252 230 321 149 77 99 197 136 311 133 64
"AT1G03190" 515 1103 643 1666 953 823 656 1120 782 2300 969 936
"AT1G03200" 38 92 82 301 53 16 30 38 48 294 39 12
"AT1G03210" 541 671 760 1864 186 232 364 560 499 1583 420 139
"AT1G03220" 5206 6844 9958 32984 7822 2221 3694 3816 4288 48465 6014 1022
"AT1G03230" 1160 1012 1452 1107 1461 533 1076 792 895 1374 1601 234
"AT1G03240" 7 9 16 34 13 5 7 2 6 28 6 9
"AT1G03250" 986 1066 1657 1969 1261 1413 1021 1155 1296 1716 1576 1589
"AT1G03260" 323 442 368 365 666 452 356 363 408 406 476 592
"AT1G03270" 195 211 157 54 63 267 184 241 183 144 156 784
"AT1G03280" 1457 2298 1910 2335 1750 1871 1819 2268 2281 2731 1797 2348
"AT1G03290" 1660 1797 1719 3678 2387 2193 1656 1651 2177 4965 1639 2232
"AT1G03300" 444 966 756 214 358 691 351 659 511 580 468 448
"AT1G03310" 4976 2404 4025 967 1311 611 3347 4361 4395 1560 1829 491
"AT1G03320" 8 4 6 17 5 4 9 9 11 6 9 4
"AT1G03330" 1058 1304 1526 1625 1172 531 985 993 1123 1017 1041 560
"AT1G03340" 133 174 143 231 27 83 150 176 206 179 166 67
"AT1G03350" 1764 2143 1992 2258 4068 973 1962 2101 2213 3361 2402 816
"AT1G03360" 631 676 517 589 408 226 588 533 524 517 2629 287
"AT1G03365" 1130 1247 804 566 1240 1534 1192 1179 1198 981 1693 1311
"AT1G03370" 1510 1971 2404 2740 2454 9899 1539 1740 2368 4996 4019 8812
"AT1G03380" 2214 3794 2870 3288 2569 1609 2782 3975 4310 5271 1101 1499
"AT1G03390" 2 2 5 12 172 18 8 3 7 15 0 21
"AT1G03400" 544 784 601 1389 221 384 877 779 1417 1370 431 231
"AT1G03410" 163 824 915 346 631 60 470 1090 1091 257 151 68
"AT1G03420" 0 0 0 0 0 0 0 1 0 1 0 0
"AT1G03430" 529 1053 971 825 826 231 624 738 816 465 484 276
"AT1G03440" 901 812 974 306 523 443 1213 1035 1298 216 764 383
"AT1G03445" 24 45 37 5 20 287 17 51 29 9 25 1609
"AT1G03457" 329 803 478 81 381 7488 325 445 421 149 602 8315
"AT1G03470" 421 907 438 207 485 409 330 308 294 256 271 624
"AT1G03475" 7866 5791 6533 2163 3018 2331 9272 7289 9155 2176 6045 1437
"AT1G03490" 0 1 0 0 0 1 1 0 0 1 0 2
"AT1G03495" 1497 552 790 394 375 691 780 698 920 505 1424 1657
"AT1G03502" 4 4 0 3 1 2 6 0 6 1 8 5
"AT1G03506" 7 6 3 5 13 15 10 6 10 3 27 14
"AT1G03510" 80 132 187 268 70 236 89 135 118 215 187 473
"AT1G03515" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03520" 494 997 526 239 1056 865 587 511 720 189 366 920
"AT1G03530" 809 846 553 495 1277 290 966 903 1006 888 4512 376
"AT1G03540" 113 244 169 111 274 115 149 294 219 352 215 155
"AT1G03545" 7 18 6 12 5 9 5 14 11 17 7 7
"AT1G03550" 168 421 308 879 517 78 159 307 261 805 228 75
"AT1G03560" 450 1188 795 862 653 602 492 870 843 894 484 548
"AT1G03570" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03580" 7 247 29 6 29 156 65 25 78 8 25 39
"AT1G03590" 1120 1818 1289 1275 1906 2722 1101 1217 1218 1781 1852 1626
"AT1G03600" 6557 7271 8546 797 2640 658 11685 11225 13867 539 2314 222
"AT1G03610" 1106 1809 1805 1728 1984 3295 1321 1428 1890 1338 597 1894
"AT1G03620" 98 284 185 329 46 109 97 212 102 386 37 172
"AT1G03630" 10641 7513 8325 541 629 1541 11103 11285 11110 1042 3246 958
"AT1G03640" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03650" 75 190 174 615 79 38 110 130 142 370 324 59
"AT1G03660" 31 47 38 256 31 168 39 60 38 296 517 123
"AT1G03670" 2 0 1 2 0 4 2 2 3 4 2 6
"AT1G03680" 7912 8361 8553 980 4410 2067 14321 11980 14452 1136 4235 1199
"AT1G03687" 562 578 507 516 296 620 633 721 576 417 677 495
"AT1G03700" 18 18 30 1 89 5 14 42 30 2 111 2
"AT1G03710" 17 4 41 3 2 3 9 22 6 3 20 5
"AT1G03720" 0 0 6 0 0 0 0 0 0 1 0 0
"AT1G03730" 357 557 894 702 623 2220 253 341 340 544 1019 2540
"AT1G03740" 2094 3517 3775 2678 3225 7756 1763 1797 2515 3957 8448 6975
"AT1G03743" 0 0 0 1 1 0 2 1 0 0 1 0
"AT1G03746" 0 2 0 1 0 0 2 0 0 2 3 0
"AT1G03750" 375 517 345 588 569 514 335 497 382 758 326 591
"AT1G03760" 420 635 475 682 733 632 456 388 408 544 979 721
"AT1G03770" 398 625 372 1462 286 1751 272 372 288 1345 1033 2478
"AT1G03780" 908 522 306 82 348 265 667 752 436 180 392 305
"AT1G03790" 7 35 7 358 48 7 31 67 34 3807 5 29
"AT1G03800" 30 21 63 473 19 63 12 36 26 347 47 179
"AT1G03810" 0 0 0 0 0 0 0 0 0 0 0 5
"AT1G03820" 944 436 773 62 79 18 650 1188 429 115 136 4
"AT1G03830" 746 1002 560 595 939 730 689 1024 567 1090 910 749
"AT1G03840" 136 115 65 15 40 69 62 123 32 95 154 72
"AT1G03850" 342 729 731 6234 125 137 185 348 384 5482 231 284
"AT1G03860" 3305 3409 4332 7441 4421 1315 3021 2718 3678 4874 7180 1245
"AT1G03870" 5331 12636 9631 923 7441 18352 3110 2370 3850 774 5864 10270
"AT1G03880" 0 0 0 0 0 2 0 46 0 185 0 0
"AT1G03890" 0 0 0 0 0 4 0 0 1 3 2 104
"AT1G03900" 2308 2965 3976 4576 4530 661 2655 2748 3020 4374 2498 741
"AT1G03905" 152 392 383 4184 162 305 109 386 154 3293 347 413
"AT1G03910" 2377 2432 1957 2711 3016 2347 2770 2747 2858 3945 3666 2312
"AT1G03920" 134 161 113 14 44 20 89 176 72 24 60 23
"AT1G03930" 1529 2130 1756 1455 1542 666 1743 2068 2145 1540 1202 576
"AT1G03935" 28 45 34 20 26 26 48 24 42 9 49 15
"AT1G03940" 1141 430 612 273 371 123 580 588 651 640 1101 396
"AT1G03950" 579 621 997 1628 715 504 537 625 692 1093 407 437
"AT1G03960" 545 1261 732 950 641 845 632 866 732 1323 569 761
"AT1G03970" 334 295 476 510 256 1543 325 336 402 823 353 1661
"AT1G03980" 37 45 33 21 31 280 13 23 14 28 51 282
"AT1G03982" 0 0 0 4 0 0 0 0 2 2 0 0
"AT1G03990" 143 593 351 361 342 212 205 557 519 832 103 253
"AT1G04000" 254 453 278 305 630 284 509 550 592 267 367 263
"AT1G04010" 433 774 649 466 234 674 418 898 499 756 568 891
"AT1G04020" 738 315 368 177 322 158 512 556 412 260 372 195
"AT1G04030" 365 362 299 188 204 196 232 319 313 225 180 214
"AT1G04040" 4715 5793 4792 1630 4845 350 1646 1835 1868 600 4412 463
"AT1G04050" 212 300 194 75 84 320 206 255 187 134 221 366
"AT1G04070" 133 156 162 282 193 58 161 160 151 205 453 66
"AT1G04080" 4496 6017 4102 4773 6368 4849 5324 5452 5105 6652 7003 5997
"AT1G04090" 21 67 22 46 71 33 21 57 33 44 48 28
"AT1G04100" 158 294 180 332 298 252 193 245 256 298 1029 273
"AT1G04110" 378 290 108 0 248 66 330 283 221 17 206 33
"AT1G04120" 7900 5866 4741 8476 8427 1519 5458 6761 5681 15846 6415 1501
"AT1G04130" 468 261 391 519 511 619 411 387 300 489 561 594
"AT1G04140" 4207 6841 4815 4813 7800 2264 4607 6053 6410 8560 5188 2383
"AT1G04150" 8 4 5 1 11 65 15 12 6 1 13 323
"AT1G04160" 652 874 598 121 815 6915 536 1026 528 433 1074 13569
"AT1G04170" 5178 4247 3648 3555 4808 2506 4790 4220 4458 3958 11243 2225
"AT1G04171" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G04180" 118 66 275 10 145 36 16 85 43 53 69 46
"AT1G04190" 1532 1448 1728 1530 1368 661 1342 1549 1275 1423 2373 667
"AT1G04200" 1417 1985 1500 1904 3589 4338 1015 1447 1178 2965 1706 5003
"AT1G04210" 3714 4071 2731 2476 4346 2865 3999 3750 4119 4370 6748 2925
"AT1G04220" 570 610 662 293 2765 65 354 837 510 364 798 42
"AT1G04230" 511 645 654 1215 660 1594 419 603 527 1219 685 1869
"AT1G04240" 1342 7400 5258 303 3814 17158 803 2352 2477 231 1779 14610
"AT1G04250" 1745 1609 2046 74 431 1304 924 2097 1613 160 982 882
"AT1G04260" 379 449 374 750 424 307 457 452 543 542 674 318
"AT1G04270" 10024 8059 8494 9906 6124 1237 10420 8456 9380 6354 16742 1255
"AT1G04280" 1187 2813 1817 1911 308 255 1493 1600 2147 2357 873 200
"AT1G04290" 104 141 226 232 61 39 92 92 156 76 47 37
"AT1G04295" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G04300" 3317 5147 3286 3123 5274 3891 3681 3947 4135 5927 4172 3134
"AT1G04310" 590 946 340 155 913 357 689 409 479 338 674 549
"AT1G04320" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G04330" 29 50 16 12 70 66 46 53 28 11 35 49
"AT1G04340" 775 958 946 1010 1256 295 908 880 895 860 942 326
"AT1G04350" 2881 2255 2695 2300 486 256 4090 4013 5034 2525 715 188
"AT1G04360" 136 151 166 51 195 260 130 188 165 70 302 154
"AT1G04370" 1 0 0 1 9 49 0 1 0 3 9 46
