"GSM1390693" "GSM1390694" "GSM1390695" "GSM1390696" "GSM1390697" "GSM1390698"
"AT1G01010" 105 70 93 78 77 119
"AT1G01020" 129 208 209 142 215 183
"AT1G01030" 87 111 128 67 101 100
"AT1G01040" 745 895 1182 744 840 992
"AT1G01046" 8 15 5 7 16 7
"AT1G01050" 635 891 977 595 1065 1228
"AT1G01060" 2361 2676 2431 1695 2383 1659
"AT1G01070" 81 101 83 85 87 141
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 1239 1631 1702 867 1221 1328
"AT1G01090" 5554 5852 7764 5898 8382 7669
"AT1G01100" 9128 9008 14583 5852 10299 8178
"AT1G01110" 141 148 185 133 150 178
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 2603 2455 2840 1973 2305 2872
"AT1G01130" 20 28 47 37 46 36
"AT1G01140" 1000 1060 1357 979 1153 1329
"AT1G01150" 0 1 3 2 0 2
"AT1G01160" 590 592 761 449 667 686
"AT1G01170" 397 583 787 508 727 811
"AT1G01180" 418 315 546 430 396 418
"AT1G01183" 0 0 0 0 0 0
"AT1G01190" 121 108 87 22 16 31
"AT1G01200" 66 39 66 36 50 65
"AT1G01210" 141 191 227 86 151 129
"AT1G01220" 492 585 710 446 550 796
"AT1G01225" 37 47 84 40 46 52
"AT1G01230" 247 339 515 345 386 552
"AT1G01240" 237 204 346 290 337 407
"AT1G01250" 104 54 123 70 63 110
"AT1G01260" 308 294 271 245 257 335
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0
"AT1G01290" 187 165 212 132 167 219
"AT1G01300" 3650 2826 4185 2408 3109 2991
"AT1G01305" 0 0 1 1 0 0
"AT1G01310" 1 1 2 0 1 1
"AT1G01320" 6878 8436 9699 5308 7486 9351
"AT1G01340" 93 88 121 120 143 136
"AT1G01350" 279 205 285 249 283 353
"AT1G01355" 0 0 2 1 0 3
"AT1G01360" 145 126 221 136 191 209
"AT1G01370" 61 62 102 52 53 78
"AT1G01380" 19 26 26 15 9 30
"AT1G01390" 72 68 132 125 256 199
"AT1G01400" 0 0 1 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 194 233 337 168 281 289
"AT1G01430" 2159 2191 2892 1892 2558 2878
"AT1G01440" 364 342 421 333 360 420
"AT1G01448" 90 109 131 103 130 143
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 50 8 17 38 41 27
"AT1G01460" 0 0 0 0 0 0
"AT1G01470" 1092 742 1071 737 831 909
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 14 23 19 21 27 26
"AT1G01490" 1423 1337 1685 1137 1594 1516
"AT1G01500" 317 351 554 270 264 369
"AT1G01510" 799 847 1226 902 1059 1284
"AT1G01520" 29 23 20 21 14 24
"AT1G01530" 0 0 0 0 0 0
"AT1G01540" 1700 1577 2119 1843 1980 2229
"AT1G01550" 1504 1625 2074 1617 1891 2464
"AT1G01560" 7 1 4 4 10 6
"AT1G01570" 54 30 58 50 56 54
"AT1G01580" 397 346 409 90 66 135
"AT1G01590" 0 5 3 3 0 4
"AT1G01600" 86 81 148 99 116 129
"AT1G01610" 2474 2028 2773 1765 2100 2298
"AT1G01620" 18526 14787 21670 19195 23447 20660
"AT1G01630" 817 951 1180 652 706 1141
"AT1G01640" 56 40 74 79 64 101
"AT1G01650" 503 607 807 723 1079 1093
"AT1G01660" 14 12 21 37 33 46
"AT1G01670" 6 10 10 10 23 15
"AT1G01680" 1 3 1 15 0 0
"AT1G01690" 67 78 113 60 92 96
"AT1G01695" 1 4 5 1 1 2
"AT1G01700" 18 24 24 17 26 27
"AT1G01710" 502 472 639 405 461 595
"AT1G01720" 896 636 953 1207 1441 1460
"AT1G01725" 73 78 151 78 148 111
"AT1G01730" 493 370 586 433 693 672
"AT1G01740" 54 75 114 36 24 64
"AT1G01750" 83 86 70 144 105 111
"AT1G01760" 47 58 72 37 44 82
"AT1G01770" 352 379 472 385 590 545
"AT1G01780" 321 179 355 313 383 367
"AT1G01790" 2867 3479 4163 1942 1932 3100
"AT1G01800" 711 725 918 696 1010 1244
"AT1G01810" 8 7 7 7 11 11
"AT1G01820" 514 701 952 580 708 977
"AT1G01830" 422 327 523 399 491 485
"AT1G01840" 28 17 31 19 21 15
"AT1G01860" 174 136 243 99 112 188
"AT1G01870" 0 0 0 0 0 0
"AT1G01880" 45 41 51 23 21 39
"AT1G01890" 0 0 0 0 0 0
"AT1G01900" 438 311 471 344 444 418
"AT1G01910" 785 748 1070 732 897 1206
"AT1G01920" 221 285 381 198 280 366
"AT1G01930" 218 236 318 243 244 287
"AT1G01940" 188 216 351 151 215 245
"AT1G01950" 450 467 699 465 596 671
"AT1G01960" 1616 1777 2580 2042 2230 2870
"AT1G01970" 318 460 553 357 502 637
"AT1G01980" 4 6 6 0 0 0
"AT1G01990" 477 491 695 453 594 535
"AT1G02000" 381 343 428 310 309 396
"AT1G02010" 125 159 227 182 209 275
"AT1G02020" 491 445 627 352 510 479
"AT1G02030" 8 4 7 11 19 10
"AT1G02040" 0 0 1 0 0 1
"AT1G02050" 247 179 297 208 252 248
"AT1G02060" 150 141 175 135 191 181
"AT1G02065" 48 19 69 37 39 41
"AT1G02070" 12 1 2 0 0 3
"AT1G02074" 0 2 0 0 1 2
"AT1G02080" 1598 1718 2354 1735 2101 2740
"AT1G02090" 798 717 981 572 701 753
"AT1G02100" 545 573 612 479 585 696
"AT1G02110" 1372 1078 1635 1028 1350 1196
"AT1G02120" 1446 1564 2223 1496 1940 1971
"AT1G02130" 790 728 942 636 818 785
"AT1G02136" 0 2 2 0 0 0
"AT1G02140" 2179 2237 2731 1666 2037 2147
"AT1G02145" 243 279 318 246 307 339
"AT1G02150" 2813 2953 3811 2147 3475 3121
"AT1G02160" 359 358 471 267 292 292
"AT1G02170" 695 661 949 704 985 948
"AT1G02180" 126 114 152 69 52 88
"AT1G02190" 9 11 27 6 10 6
"AT1G02205" 434 362 625 145 272 313
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 32 15 39 39 51 81
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 4 1 5 2 1 2
"AT1G02250" 0 1 0 0 0 1
"AT1G02260" 287 233 433 273 267 383
"AT1G02270" 149 189 224 169 283 324
"AT1G02280" 1063 1185 1479 827 1276 1347
"AT1G02290" 160 124 141 105 139 202
"AT1G02300" 213 281 470 217 248 360
"AT1G02305" 1013 1130 1513 1116 1640 1917
"AT1G02310" 2 8 15 4 8 7
"AT1G02320" 0 0 0 0 0 0
"AT1G02330" 286 321 346 272 366 405
"AT1G02335" 217 98 169 145 120 167
"AT1G02340" 122 63 123 79 50 76
"AT1G02350" 14 28 44 13 31 26
"AT1G02360" 232 108 124 178 230 237
"AT1G02370" 110 123 148 76 65 114
"AT1G02380" 29 27 22 19 22 37
"AT1G02390" 12 14 11 16 13 12
"AT1G02391" 0 0 0 0 0 0
"AT1G02400" 60 51 107 111 176 152
"AT1G02405" 7 0 12 4 2 5
"AT1G02410" 221 238 287 141 238 259
"AT1G02420" 49 67 70 53 44 75
"AT1G02430" 12 14 19 18 22 33
"AT1G02440" 0 0 0 2 2 1
"AT1G02450" 2 1 2 0 0 2
"AT1G02460" 17 25 29 19 51 19
"AT1G02470" 12 8 10 21 42 26
"AT1G02475" 485 581 623 457 695 823
"AT1G02480" 0 0 0 0 0 0
"AT1G02490" 1 1 2 1 1 1
"AT1G02500" 11418 9105 13330 13993 19259 17776
"AT1G02510" 0 0 0 0 0 0
"AT1G02520" 127 63 78 146 154 144
"AT1G02530" 7 2 2 4 4 6
"AT1G02540" 0 0 0 0 0 0
"AT1G02550" 0 0 0 0 0 0
"AT1G02560" 3177 4412 5640 3032 4756 5249
"AT1G02570" 22 8 8 24 10 19
"AT1G02575" 3 1 1 4 5 6
"AT1G02580" 2 0 2 3 1 2
"AT1G02590" 0 0 0 0 0 0
"AT1G02600" 0 0 0 0 0 0
"AT1G02610" 31 15 29 80 73 54
"AT1G02620" 3 4 6 13 2 10
"AT1G02630" 4 4 3 1 3 1
"AT1G02640" 1293 948 1738 2281 3073 2543
"AT1G02650" 64 55 56 65 92 77
"AT1G02660" 338 296 494 528 604 691
"AT1G02670" 22 48 67 29 26 52
"AT1G02680" 127 135 178 124 171 152
"AT1G02681" 0 0 0 0 0 0
"AT1G02690" 350 363 462 292 315 417
"AT1G02700" 80 61 59 97 72 86
"AT1G02710" 293 258 297 146 212 201
"AT1G02720" 286 216 272 199 210 273
"AT1G02730" 1069 1098 1549 896 843 1177
"AT1G02740" 75 100 124 75 72 102
"AT1G02750" 112 142 130 88 151 161
"AT1G02760" 0 0 0 0 0 0
"AT1G02770" 11 12 21 26 34 21
"AT1G02780" 15808 16815 22527 10776 17006 15527
"AT1G02790" 0 0 0 0 0 0
"AT1G02800" 86 68 124 41 54 65
"AT1G02810" 283 80 95 115 118 127
"AT1G02813" 3 0 1 1 0 1
"AT1G02816" 233 229 265 332 463 448
"AT1G02820" 92 112 118 110 88 90
"AT1G02830" 0 0 0 1 1 0
"AT1G02840" 2992 2867 4074 2938 3498 3350
"AT1G02850" 369 287 423 859 1119 1259
"AT1G02860" 126 135 165 149 197 253
"AT1G02870" 230 362 458 169 277 320
"AT1G02880" 140 154 175 139 157 201
"AT1G02890" 1295 1193 1727 1358 1513 2185
"AT1G02900" 305 135 224 204 247 233
"AT1G02910" 1050 1170 1415 783 1445 1374
"AT1G02920" 120 108 161 151 272 369
"AT1G02930" 300 248 365 506 1118 1314
"AT1G02940" 1 2 2 4 8 8
"AT1G02950" 92 82 113 42 22 72
"AT1G02952" 0 0 0 0 0 0
"AT1G02960" 191 204 246 201 233 269
"AT1G02965" 6 0 0 0 0 0
"AT1G02970" 40 79 97 49 49 71
"AT1G02980" 0 0 1 1 0 1
"AT1G02990" 218 272 315 198 310 319
"AT1G03000" 425 445 610 385 434 608
"AT1G03010" 6 4 9 19 22 14
"AT1G03020" 33 40 70 21 16 17
"AT1G03022" 0 0 0 0 0 0
"AT1G03030" 194 206 262 212 316 389
"AT1G03040" 670 668 918 576 737 852
"AT1G03050" 1 0 0 0 0 1
"AT1G03055" 27 38 31 26 28 42
"AT1G03060" 1056 1085 1429 1107 1451 1574
"AT1G03070" 43 31 11 28 11 18
"AT1G03080" 993 895 1181 1015 1231 1408
"AT1G03090" 814 799 1399 2945 3160 3782
"AT1G03100" 68 57 67 32 78 58
"AT1G03103" 1 0 0 0 0 0
"AT1G03106" 8 0 6 6 2 11
"AT1G03110" 325 290 347 186 179 303
"AT1G03120" 38 19 28 27 35 25
"AT1G03130" 23441 20566 26429 16848 16201 13558
"AT1G03140" 707 619 1035 742 1183 959
"AT1G03150" 156 180 292 159 256 254
"AT1G03160" 715 838 1112 654 863 1080
"AT1G03170" 2 9 13 2 5 4
"AT1G03180" 31 37 43 28 31 51
"AT1G03190" 241 180 273 146 177 273
"AT1G03200" 3 8 4 4 5 8
"AT1G03210" 236 191 298 258 368 410
"AT1G03220" 3849 2397 3660 3252 4055 4355
"AT1G03230" 1600 1052 1635 1655 2048 1874
"AT1G03240" 0 1 1 0 0 0
"AT1G03250" 383 427 518 328 367 415
"AT1G03260" 196 214 274 206 229 264
"AT1G03270" 64 61 69 26 71 59
"AT1G03280" 657 641 910 591 836 900
"AT1G03290" 266 187 197 228 275 277
"AT1G03300" 100 99 168 85 57 143
"AT1G03310" 638 725 825 496 562 932
"AT1G03320" 5 1 19 7 7 4
"AT1G03330" 263 309 324 208 262 327
"AT1G03340" 34 20 33 18 40 18
