"GSM1017156" "GSM1017157" "GSM1017158" "GSM1017159" "GSM1017160" "GSM1017161" "GSM1017162" "GSM1017163" "GSM1017164" "GSM1017165" "GSM1017166" "GSM1017167"
"AT1G01500" 272 483 546 688 684 555 459 333 548 708 1335 321
"AT1G01510" 1117 1802 1216 1004 1961 1195 1447 1687 1567 1360 1713 1207
"AT1G01520" 158 41 49 89 46 12 384 352 461 360 58 53
"AT1G01530" 1 0 5 14 0 1 0 0 2 5 5 1
"AT1G01540" 1803 5787 3682 1905 5084 4295 2950 3807 4110 1839 3600 4045
"AT1G01550" 4242 6383 7252 9055 11761 19185 5706 5284 6767 12786 16443 24127
"AT1G01560" 62 11 201 1763 37 4275 188 19 174 2373 1344 7748
"AT1G01570" 75 98 86 37 27 197 67 121 90 90 69 289
"AT1G01580" 1516 775 96 28 15 30 574 723 333 95 29 42
"AT1G01590" 3 7 3 2 0 3 14 17 17 3 7 12
"AT1G01600" 329 240 365 48 341 12 302 387 262 48 615 44
"AT1G01610" 1417 2774 2587 300 5265 219 2713 2509 3037 402 3039 247
"AT1G01620" 3963 17817 8283 702 8711 1640 11251 10563 11840 1518 3717 494
"AT1G01630" 1479 2438 3668 4217 1790 220 1709 2034 2324 3295 2035 199
"AT1G01640" 164 197 278 215 69 17 114 289 159 356 61 23
"AT1G01650" 870 2177 1565 4458 1831 2703 1560 1925 1641 5331 2182 3143
"AT1G01660" 30 37 47 88 12 11 29 40 24 80 37 30
"AT1G01670" 27 91 225 478 19 89 40 119 55 577 54 204
"AT1G01680" 59 7 96 3786 43 2798 77 18 121 4221 93 3043
"AT1G01690" 192 281 198 185 517 69 262 317 197 300 176 94
"AT1G01695" 18 60 48 70 82 14 25 38 35 82 8 36
"AT1G01700" 64 133 62 37 258 21 61 119 79 51 58 17
"AT1G01710" 895 1626 1830 2904 1397 2600 1336 1740 1492 3057 1423 5191
"AT1G01720" 864 795 1188 2113 1913 5805 2769 1673 2410 4730 3384 9274
"AT1G01725" 109 251 258 678 277 202 222 263 289 362 224 358
"AT1G01730" 460 623 567 1181 1322 87 755 578 731 1022 1053 111
"AT1G01740" 236 593 605 449 263 214 366 560 584 552 540 299
"AT1G01750" 269 420 351 49 81 51 109 288 165 107 109 55
"AT1G01760" 119 324 172 144 110 306 169 277 224 254 159 215
"AT1G01770" 534 2021 1247 1700 1182 535 1251 1648 1639 3121 841 383
"AT1G01780" 274 861 551 846 443 344 438 596 574 928 296 263
"AT1G01790" 4688 4536 3809 845 3570 3150 9844 10670 10564 1678 3222 1822
"AT1G01800" 1698 3059 3628 4590 1142 889 2399 3241 3079 3900 1625 913
"AT1G01810" 14 15 23 91 11 11 18 23 26 49 150 46
"AT1G01820" 1036 2505 2449 2383 1369 879 2275 2316 2769 2678 2538 889
"AT1G01830" 508 415 693 292 611 160 788 741 973 405 518 101
"AT1G01840" 22 17 49 17 8 26 56 74 48 11 28 30
"AT1G01860" 266 1120 1251 548 97 507 590 1329 1547 550 473 450
"AT1G01870" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01880" 79 167 85 62 77 127 143 124 118 68 128 137
"AT1G01890" 0 0 0 0 1 0 2 1 0 0 0 0
"AT1G01900" 275 150 179 48 347 99 373 446 231 52 201 72
"AT1G01910" 1117 1963 1727 2434 2343 991 1840 1800 2276 2790 2810 1124
"AT1G01920" 564 1764 1134 2178 931 838 726 1284 732 1940 1133 1051
"AT1G01930" 401 714 592 660 687 591 769 708 800 853 1020 491
"AT1G01940" 301 546 493 937 1215 104 431 413 376 464 935 118
"AT1G01950" 786 1385 1330 697 2207 5104 1125 1299 1129 1147 1436 5548
"AT1G01960" 4121 7576 3968 3082 9622 1927 5824 6602 5992 7427 5077 1598
"AT1G01970" 901 956 1110 287 608 373 1832 1571 1900 306 1345 313
"AT1G01980" 0 1 0 0 2 2 4 0 3 0 2 1
"AT1G01990" 465 982 788 684 612 332 926 876 1141 563 1069 349
"AT1G02000" 286 493 490 470 658 168 539 549 657 734 614 181
"AT1G02010" 285 1455 1197 1153 458 498 689 2262 1434 2004 299 445
"AT1G02020" 423 1011 969 849 720 761 903 1194 1353 1225 634 774
"AT1G02030" 18 21 34 42 17 40 15 37 24 39 36 100
"AT1G02040" 0 0 2 8 1 0 2 1 1 7 1 10
"AT1G02050" 154 637 527 720 200 255 366 694 651 938 408 305
"AT1G02060" 329 1024 703 647 365 379 586 1009 912 1160 554 348
"AT1G02065" 16 89 66 5 75 163 76 79 60 5 122 285
"AT1G02070" 8 15 4 1 1 4 10 8 1 2 8 5
"AT1G02074" 1 2 0 0 1 0 1 2 0 0 0 0
"AT1G02080" 5381 7547 4040 3411 15571 5752 8969 8711 8237 11623 9320 5774
"AT1G02090" 814 989 1213 1229 1937 734 1333 1338 1291 1596 2062 855
"AT1G02100" 825 2835 3676 6626 1486 2155 1306 2679 2493 6915 1594 2405
"AT1G02110" 589 1131 849 476 916 538 1078 1391 1206 854 971 476
"AT1G02120" 1745 3472 3179 3725 2477 1258 3097 3757 3836 5129 3314 1557
"AT1G02130" 1004 1651 1449 1321 2121 615 1506 1625 1632 1382 1313 563
"AT1G02136" 0 0 0 0 2 0 0 0 0 1 1 0
"AT1G02140" 2154 2994 3766 3627 3143 960 3545 3198 3701 2765 4122 1358
"AT1G02145" 630 1662 1183 1376 819 551 886 1197 1029 1366 797 445
"AT1G02150" 3001 3676 3357 1071 985 966 6187 4668 5600 1021 4589 638
"AT1G02160" 338 667 644 674 280 160 464 509 530 455 510 153
"AT1G02170" 561 1041 974 1705 1133 2163 871 906 935 2064 2394 2453
"AT1G02180" 119 164 143 61 108 105 171 200 130 63 128 75
"AT1G02190" 14 22 12 0 30 1 52 49 48 1 38 15
"AT1G02205" 1825 3153 2756 393 3116 202 3183 4572 3067 218 1925 275
"AT1G02210" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02220" 538 894 1632 13974 153 43 433 469 762 15420 627 77
"AT1G02228" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02230" 58 44 95 871 1 14 34 35 124 1778 27 100
"AT1G02250" 9 2 5 31 7 11 3 2 5 34 2 31
"AT1G02260" 410 828 717 635 658 467 636 794 846 761 554 572
"AT1G02270" 664 1042 1423 1132 1735 5356 927 938 1186 1140 1281 7884
"AT1G02280" 2209 3479 2548 1182 1714 510 3464 2459 2917 947 2694 221
"AT1G02290" 392 764 502 338 767 171 533 810 529 477 398 171
"AT1G02300" 364 3044 2105 3892 152 312 656 1530 1135 2916 311 82
"AT1G02305" 2556 4381 5014 7095 1748 939 3641 3922 4502 7891 1854 589
"AT1G02310" 36 15 66 766 169 68 33 43 21 2044 91 498
"AT1G02320" 0 2 1 0 0 0 0 0 0 2 1 1
"AT1G02330" 666 916 878 1137 1332 523 929 948 987 1154 1727 492
"AT1G02335" 297 155 134 4 269 27 377 367 236 19 226 18
"AT1G02340" 110 306 356 97 697 56 194 360 394 232 164 25
"AT1G02350" 36 218 185 127 67 84 73 199 134 102 83 66
"AT1G02360" 262 470 623 3194 460 752 73 290 162 4261 643 624
"AT1G02370" 253 509 368 611 407 482 364 408 300 514 1153 498
"AT1G02380" 173 490 506 173 519 328 104 157 227 123 167 175
"AT1G02390" 188 75 497 605 68 225 78 179 186 1524 217 1226
"AT1G02391" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02400" 92 206 387 1825 2057 795 88 177 163 2284 3157 536
"AT1G02405" 2 2 8 13 11 43 1 2 2 15 93 134
"AT1G02410" 641 914 1094 2390 595 1160 806 834 980 1546 1155 912
"AT1G02420" 123 191 172 107 185 126 170 296 275 194 450 174
"AT1G02430" 63 71 55 141 80 112 78 80 82 104 210 224
"AT1G02440" 4 5 2 68 22 98 4 2 10 79 44 331
"AT1G02450" 29 3 45 608 0 93 28 7 54 594 23 367
"AT1G02460" 114 47 58 63 37 21 86 122 54 82 220 16
"AT1G02470" 97 161 298 1197 499 13 75 97 125 745 466 15
"AT1G02475" 1680 2458 2768 1610 1675 904 3112 2716 3755 1176 1650 473
"AT1G02480" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02490" 4 5 1 0 0 2 3 6 3 0 0 1
"AT1G02500" 11332 12327 12257 29412 20574 1309 17693 15644 16470 23213 15685 1081
"AT1G02510" 0 0 0 1 0 1 0 0 0 5 0 6
"AT1G02520" 379 547 410 3649 708 4897 205 912 283 7306 13066 4883
"AT1G02530" 24 55 57 16 3 28 19 128 32 50 29 23
"AT1G02540" 0 0 0 0 0 3 0 0 0 0 1 26
"AT1G02550" 0 0 0 1 0 0 0 0 0 1 0 0
"AT1G02560" 7182 8434 9719 3228 11618 5809 15020 10273 15790 3234 7620 4561
"AT1G02570" 18 30 25 3 2 0 6 25 10 1 17 5
"AT1G02575" 1 6 1 2 2 4 2 4 4 0 5 4
"AT1G02580" 10 8 9 338 13 18 7 5 15 359 29 15
"AT1G02590" 0 0 0 1 0 0 0 0 0 1 0 0
"AT1G02600" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02610" 61 821 522 348 119 581 196 131 306 227 106 296
"AT1G02620" 3 30 4 0 7 6 20 7 43 2 5 0
"AT1G02630" 5 31 8 0 2 0 25 23 19 1 0 0
"AT1G02640" 315 2776 811 91 268 330 810 612 873 279 553 236
"AT1G02650" 25 76 86 28 42 685 38 30 36 24 70 357
"AT1G02660" 558 2992 3187 436 2212 17027 583 276 767 1837 1486 9640
"AT1G02670" 39 179 65 87 149 390 67 73 59 112 71 545
"AT1G02680" 248 525 499 647 356 376 388 423 439 466 481 393
"AT1G02681" 1 2 6 7 7 1 0 0 4 6 1 2
"AT1G02690" 589 543 385 240 514 58 611 856 389 373 1140 59
"AT1G02700" 43 51 36 87 104 96 54 136 74 594 162 250
"AT1G02710" 20 25 21 2 95 116 43 39 44 3 177 161
"AT1G02720" 414 625 544 339 277 741 563 700 642 322 427 809
"AT1G02730" 2256 1273 1001 121 1382 527 2526 3185 1720 598 1147 728
"AT1G02740" 255 689 576 933 476 1896 450 426 480 771 786 2070
"AT1G02750" 299 656 750 1142 1708 1351 467 470 590 877 2073 1062
"AT1G02760" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G02770" 22 15 54 55 24 19 32 15 25 140 24 12
"AT1G02780" 13955 14851 17645 15523 13805 1427 23780 16853 19079 11900 32588 1696
"AT1G02790" 0 0 0 7 1 0 15 4 0 1 0 1
"AT1G02800" 166 145 53 0 7 5 210 217 103 6 145 12
"AT1G02810" 272 392 395 149 100 318 136 487 244 227 226 888
"AT1G02813" 1 2 4 1 2 0 3 2 0 2 0 3
"AT1G02816" 475 867 897 2445 1084 257 772 675 1096 1953 850 244
"AT1G02820" 215 50 232 61 126 14 1203 992 1455 48 308 10
"AT1G02830" 0 0 0 0 0 0 2 1 2 0 20 0
"AT1G02840" 1648 4159 2882 2489 3398 961 3433 3405 3358 2132 4360 1130
"AT1G02850" 2573 2407 3976 15878 11336 578 5169 1232 5129 12691 13807 860
"AT1G02860" 312 1093 903 1069 961 1336 544 533 722 1347 1399 1867
"AT1G02870" 474 640 630 613 613 260 670 552 539 496 2040 399
"AT1G02880" 594 1212 1443 4674 576 3727 648 1250 984 4911 1565 3937
"AT1G02890" 3285 5402 3662 2576 6805 3318 4817 5209 5037 5678 7606 4390
"AT1G02900" 324 787 1034 336 392 256 232 559 351 432 798 651
"AT1G02910" 1339 2760 3007 2413 1123 1769 3494 4441 4787 2606 1981 1670
"AT1G02920" 2513 1146 5994 141028 2765 4884 1265 1267 1919 121423 17434 1927
"AT1G02930" 5963 654 7818 100863 4541 4372 2192 2031 3289 75381 28633 2944
"AT1G02940" 96 23 105 101 0 10 15 82 45 58 29 19
"AT1G02950" 57 63 38 9 130 31 82 89 59 34 71 19
"AT1G02952" 0 1 0 0 1 0 0 0 0 0 0 0
"AT1G02960" 515 1762 1036 821 728 549 658 1102 756 872 558 407
"AT1G02965" 0 1 0 0 0 1 1 1 0 2 0 1
"AT1G02970" 155 118 120 74 91 25 121 144 106 68 98 24
"AT1G02980" 4 4 26 2 22 3 5 5 9 6 25 7
"AT1G02990" 996 1513 1022 739 2661 996 1558 1627 1851 2016 1567 991
"AT1G03000" 839 2973 1607 1653 998 1382 1464 2842 2038 2783 1093 754
"AT1G03010" 42 92 29 14 99 2 30 43 31 2 22 6
"AT1G03020" 50 11 40 3 40 99 28 39 22 3 40 72
"AT1G03022" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03030" 583 817 1013 2557 814 975 704 812 779 1879 738 683
"AT1G03040" 998 1494 1341 1810 2133 895 1827 1690 1713 1968 3079 944
"AT1G03050" 1 1 4 130 0 18 13 1 12 508 12 62
"AT1G03055" 286 183 267 118 16 38 620 571 643 174 101 65
"AT1G03060" 3237 4085 2814 1971 5888 2731 5178 6144 5997 8384 4091 2418
"AT1G03070" 33 26 16 15 77 26 32 75 29 26 46 45
"AT1G03080" 4690 5374 4507 4941 9481 3445 5030 5278 4897 12474 13071 3243
"AT1G03090" 766 7986 1650 4175 1642 841 2515 1914 2400 4818 614 309
"AT1G03100" 162 375 331 304 220 84 253 377 328 428 399 100
"AT1G03103" 0 0 0 0 7 0 0 0 1 0 0 0
"AT1G03106" 3 21 8 116 5 0 14 67 61 609 0 1
"AT1G03110" 458 482 511 395 453 144 583 621 508 496 1808 127
"AT1G03120" 4 18 4 23 4 2 20 24 23 172 8 2
"AT1G03130" 12330 26433 23769 1485 2389 1412 20382 41186 35349 1310 8033 381
"AT1G03140" 987 2318 1635 1964 1687 461 1507 1718 1790 2058 1841 343
"AT1G03150" 342 736 454 850 637 221 425 489 497 564 595 216
"AT1G03160" 1851 3277 2408 1628 1333 1030 3319 5215 3361 2347 1766 501
"AT1G03170" 22 16 19 4 36 313 20 21 13 16 139 973
"AT1G03180" 112 230 214 309 143 69 96 195 133 305 129 63
"AT1G03190" 330 977 586 1518 863 734 604 1024 725 2116 911 863
"AT1G03200" 22 72 65 251 37 15 24 35 46 265 30 11
"AT1G03210" 341 598 705 1616 171 201 337 526 454 1453 378 129
"AT1G03220" 3213 5769 8825 28762 6911 1920 3475 3547 3983 45533 5669 947
"AT1G03230" 715 861 1295 960 1302 456 1024 757 850 1308 1537 218
"AT1G03240" 6 9 16 31 12 4 7 2 6 27 6 8
"AT1G03250" 647 961 1538 1812 1143 1280 963 1093 1213 1639 1482 1512
"AT1G03260" 203 398 338 334 604 402 337 340 384 383 455 563
"AT1G03270" 123 187 147 47 62 238 170 223 167 132 144 742
"AT1G03280" 958 2058 1779 2175 1604 1702 1703 2126 2123 2592 1705 2242
"AT1G03290" 1054 1650 1629 3406 2245 1993 1608 1577 2100 4770 1607 2175
"AT1G03300" 276 866 694 196 336 618 331 626 489 565 456 431
"AT1G03310" 3200 2112 3733 893 1189 550 3189 4155 4189 1498 1765 479
"AT1G03320" 6 4 6 14 5 3 9 8 11 6 9 4
"AT1G03330" 765 1227 1462 1521 1105 498 958 968 1085 991 1024 553
"AT1G03340" 99 155 134 213 25 77 143 172 201 176 162 66
"AT1G03350" 1142 1880 1837 2018 3691 882 1886 2015 2098 3189 2311 790
"AT1G03360" 426 612 492 544 378 209 573 515 501 501 2557 274
"AT1G03365" 742 1102 739 514 1136 1402 1147 1131 1156 949 1637 1275
"AT1G03370" 1008 1733 2213 2503 2263 8913 1477 1654 2241 4787 3846 8486
"AT1G03380" 1478 3339 2675 2966 2344 1451 2675 3806 4114 5040 1069 1453
"AT1G03390" 2 2 4 10 160 18 8 3 7 15 0 18
"AT1G03400" 355 678 543 1238 212 342 808 721 1321 1275 390 214
"AT1G03410" 103 711 843 317 558 56 453 1035 1021 242 143 62
"AT1G03420" 0 0 0 0 0 0 0 1 0 0 0 0
"AT1G03430" 317 911 836 703 700 202 548 659 733 417 433 240
"AT1G03440" 569 698 881 266 466 390 1157 988 1242 206 730 368
"AT1G03445" 17 43 36 5 20 273 16 50 28 8 25 1557
"AT1G03457" 236 737 434 69 351 6831 313 426 400 141 570 8054
"AT1G03470" 251 764 385 186 439 359 306 282 274 241 249 565
"AT1G03475" 5139 5171 5957 1959 2734 2077 8656 6774 8515 2022 5683 1354
"AT1G03490" 0 1 0 0 0 1 1 0 0 1 0 2
"AT1G03495" 970 488 711 347 331 623 743 673 883 484 1368 1620
"AT1G03502" 3 3 0 3 1 0 5 0 3 1 5 2
"AT1G03506" 5 4 2 4 12 14 9 6 10 3 27 14
"AT1G03510" 60 117 174 236 62 211 86 133 114 209 179 461
"AT1G03515" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03520" 318 893 479 218 970 783 556 482 690 184 354 884
"AT1G03530" 527 733 496 434 1151 252 916 862 942 835 4263 358
"AT1G03540" 74 210 155 103 256 101 142 284 207 333 206 152
"AT1G03545" 3 17 6 11 5 9 5 14 11 17 7 7
"AT1G03550" 105 370 270 777 452 67 143 283 238 748 209 71
"AT1G03560" 303 1063 746 793 606 550 475 838 814 856 468 536
"AT1G03570" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03580" 5 220 27 4 28 142 60 24 74 8 25 39
"AT1G03590" 726 1570 1180 1126 1710 2410 1036 1146 1117 1679 1752 1527
"AT1G03600" 3995 6115 7625 701 2315 554 11103 10641 13047 511 2201 210
"AT1G03610" 731 1656 1706 1599 1857 3034 1274 1382 1821 1285 576 1866
"AT1G03620" 66 270 175 304 44 100 96 202 98 363 36 165
"AT1G03630" 7017 6775 7833 497 573 1407 10740 10916 10682 1007 3147 934
"AT1G03640" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G03650" 45 171 160 567 76 35 108 126 137 347 315 58
"AT1G03660" 21 45 36 239 29 153 37 60 34 290 501 120
"AT1G03670" 1 0 1 2 0 4 2 2 3 4 2 6
"AT1G03680" 5140 7389 7922 872 4050 1872 13771 11510 13795 1092 4083 1164
"AT1G03687" 367 503 460 467 272 546 584 660 541 392 628 465
"AT1G03700" 13 14 27 1 73 5 12 36 25 2 90 2
"AT1G03710" 11 4 40 3 2 3 9 22 5 4 20 5
"AT1G03720" 0 0 4 0 0 0 0 0 0 1 0 0
"AT1G03730" 218 464 807 617 566 1949 243 315 316 514 958 2421
"AT1G03740" 1375 3139 3512 2466 2972 7072 1700 1713 2398 3800 8124 6709
"AT1G03743" 0 0 0 1 1 0 2 1 0 0 1 0
"AT1G03746" 0 2 0 1 0 0 2 0 0 2 3 0
"AT1G03750" 271 475 326 533 536 460 322 482 362 733 313 569
"AT1G03760" 284 583 444 627 676 569 435 362 378 512 916 675
"AT1G03770" 250 570 352 1354 264 1601 261 357 276 1294 989 2388
"AT1G03780" 602 474 292 74 327 240 644 721 416 172 379 286
"AT1G03790" 2 32 7 317 39 7 30 64 32 3654 5 28
"AT1G03800" 20 19 57 410 18 50 12 35 24 333 46 169
"AT1G03810" 0 0 0 0 0 0 0 0 0 0 0 5
"AT1G03820" 638 386 714 57 77 16 628 1153 411 108 130 4
"AT1G03830" 490 888 514 544 860 670 664 974 536 1050 859 723
"AT1G03840" 80 95 58 14 34 59 57 119 29 92 145 69
"AT1G03850" 221 637 678 5580 117 119 174 335 363 5260 222 273
"AT1G03860" 2184 3050 3987 6775 4018 1202 2811 2543 3441 4604 6769 1183
"AT1G03870" 3379 10974 8741 834 6701 16134 2975 2269 3677 738 5670 9946
"AT1G03880" 0 0 0 0 0 2 0 44 0 175 0 0
"AT1G03890" 0 0 0 0 0 4 0 0 1 3 2 102
"AT1G03900" 1489 2609 3639 4104 4099 587 2528 2645 2860 4202 2388 718
"AT1G03905" 97 349 355 3899 151 273 102 366 150 3204 339 405
"AT1G03910" 1627 2240 1833 2542 2846 2177 2690 2665 2764 3835 3590 2255
"AT1G03920" 86 142 101 12 38 16 85 164 68 20 55 22
"AT1G03930" 973 1906 1602 1320 1422 599 1648 1943 1998 1437 1136 548
"AT1G03935" 19 40 29 17 24 26 47 24 40 9 50 15
"AT1G03940" 691 362 561 240 335 86 552 556 619 607 1061 372
"AT1G03950" 397 581 917 1511 677 461 502 593 645 1031 379 408
"AT1G03960" 362 1136 680 861 598 767 590 819 689 1249 540 721
"AT1G03970" 215 260 436 460 233 1369 312 317 382 795 336 1612
"AT1G03980" 25 40 31 20 30 251 12 21 14 25 51 272
"AT1G03982" 0 0 0 3 0 0 0 0 2 2 0 0
"AT1G03990" 92 526 315 312 303 183 194 523 492 793 97 242
"AT1G04000" 150 346 230 255 513 221 450 474 519 242 316 237
"AT1G04010" 268 685 592 415 218 617 388 824 470 696 532 831
"AT1G04020" 508 296 343 168 311 142 500 533 396 253 363 186
"AT1G04030" 234 323 280 177 190 177 226 306 306 214 176 212
"AT1G04040" 3135 5230 4465 1500 4504 326 1584 1766 1795 582 4291 446
"AT1G04050" 144 269 184 69 81 294 201 248 177 130 217 357
"AT1G04070" 88 131 145 241 170 50 158 151 142 195 437 66
"AT1G04080" 2913 5263 3756 4287 5761 4337 5009 5147 4778 6256 6656 5679
"AT1G04090" 13 61 19 43 68 31 20 54 31 42 46 28
"AT1G04100" 101 270 166 299 279 231 186 238 244 293 1000 266
"AT1G04110" 245 243 97 0 224 62 316 274 210 16 197 32
"AT1G04120" 5175 5304 4467 7846 7868 1386 5273 6530 5480 15359 6242 1456
"AT1G04130" 313 237 343 451 458 557 378 349 276 453 522 553
"AT1G04140" 2783 6130 4495 4393 7223 2056 4398 5826 6112 8216 4967 2300
"AT1G04150" 7 4 5 1 11 58 14 12 5 1 12 314
"AT1G04160" 438 794 561 112 760 6445 513 981 497 421 1032 13074
"AT1G04170" 3340 3737 3320 3186 4313 2238 4449 3937 4128 3656 10480 2099
"AT1G04171" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G04180" 78 52 246 7 123 31 16 76 36 51 67 45
"AT1G04190" 1002 1300 1604 1405 1271 607 1285 1475 1214 1342 2246 633
"AT1G04200" 926 1795 1377 1751 3291 3897 961 1368 1107 2801 1599 4737
"AT1G04210" 2471 3731 2573 2269 4074 2630 3859 3630 3974 4256 6542 2857
"AT1G04220" 361 517 598 250 2449 54 332 791 472 349 746 38
"AT1G04230" 347 597 628 1131 637 1492 404 581 512 1198 668 1834
"AT1G04240" 867 6726 4975 277 3581 15760 784 2288 2396 217 1737 14320
"AT1G04250" 1126 1461 1937 72 412 1211 903 2039 1551 157 957 863
"AT1G04260" 248 380 334 663 391 264 440 422 510 519 645 306
"AT1G04270" 6656 7202 7861 8915 5580 1106 9927 8081 8946 6069 16079 1207
"AT1G04280" 813 2499 1673 1689 274 240 1408 1518 2029 2243 819 186
"AT1G04290" 68 127 210 206 56 37 90 88 148 76 47 37
"AT1G04295" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G04300" 2143 4458 2976 2758 4783 3464 3461 3707 3858 5556 3916 2971
"AT1G04310" 366 817 308 141 829 311 646 394 460 321 647 525
"AT1G04320" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G04330" 18 38 15 12 58 50 44 52 25 11 33 44
"AT1G04340" 526 901 906 945 1181 275 882 858 876 843 926 320
"AT1G04350" 1926 2030 2518 2140 453 226 3969 3886 4823 2443 692 183
"AT1G04360" 89 136 156 40 180 234 124 179 160 68 289 150
"AT1G04370" 1 0 0 1 9 45 0 0 0 3 9 43
"AT1G04380" 8 7 9 4 2 107 7 21 8 6 10 212
"AT1G04390" 290 1268 859 1082 633 913 553 1191 1013 1983 694 914
