"GSM1017156" "GSM1017157" "GSM1017158" "GSM1017159" "GSM1017160" "GSM1017161" "GSM1017162" "GSM1017163" "GSM1017164" "GSM1017165" "GSM1017166" "GSM1017167"
"AT1G01010" 350 375 506 969 718 295 304 363 422 1501 1190 215
"AT1G01020" 346 1144 648 1673 604 454 464 716 624 816 1055 454
"AT1G01030" 131 147 103 35 167 43 314 209 310 37 391 55
"AT1G01040" 1343 2418 1464 1101 3816 900 2714 2560 2669 2951 2678 1030
"AT1G01046" 7 29 3 1 19 2 18 24 13 8 14 7
"AT1G01050" 2373 2696 2625 2010 2301 541 2999 3094 3225 1860 1513 548
"AT1G01060" 4538 2122 2935 4598 2660 6259 5295 7065 10163 4907 5467 4821
"AT1G01070" 262 266 378 185 196 5 231 269 173 388 112 21
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 2206 2553 2654 862 450 664 3337 3045 3179 676 2349 458
"AT1G01090" 4339 6148 5138 1605 6423 1500 8275 6952 7442 2146 5863 712
"AT1G01100" 3345 4023 3880 5144 3312 234 5172 3725 4028 2864 6471 225
"AT1G01110" 147 247 185 7 140 607 166 235 123 20 172 485
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 1396 3716 5245 361 11869 11496 2188 2536 3788 645 8102 16136
"AT1G01130" 51 64 135 55 97 726 36 40 48 47 116 1310
"AT1G01140" 997 2025 2642 1626 1692 5781 2088 1433 2729 1640 2060 7705
"AT1G01150" 2 4 4 0 5 1 6 2 5 2 2 0
"AT1G01160" 577 1270 1062 745 1381 471 1065 1126 1094 876 1155 490
"AT1G01170" 1246 2226 3089 650 571 76 2357 1933 2679 497 654 44
"AT1G01180" 107 267 410 180 47 57 321 343 429 170 287 20
"AT1G01183" 2 4 1 0 0 0 2 0 0 0 0 0
"AT1G01190" 42 38 14 84 60 13 100 95 59 370 26 66
"AT1G01200" 51 52 74 57 26 6 47 74 27 72 36 8
"AT1G01210" 260 398 475 578 343 206 412 426 440 307 895 246
"AT1G01220" 1113 1738 1430 2161 1152 420 1583 1856 1877 2914 1047 359
"AT1G01225" 89 140 95 32 34 72 107 190 109 37 110 96
"AT1G01230" 547 1160 1002 1187 1977 278 679 907 888 970 747 232
"AT1G01240" 350 1974 1101 1184 1107 97 886 1340 1637 1698 175 47
"AT1G01250" 27 22 92 1 15 14 84 90 87 6 33 51
"AT1G01260" 415 881 659 766 2549 2895 788 841 811 1003 2033 2895
"AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 1 0 0 0 0 0 0 4
"AT1G01290" 373 731 687 1014 427 328 510 643 676 662 726 360
"AT1G01300" 1167 1849 1782 1067 2201 821 1834 1809 1184 902 2475 1315
"AT1G01305" 0 0 0 0 0 0 0 1 0 0 0 0
"AT1G01310" 0 1 2 11 7 3 4 1 10 7 0 4
"AT1G01320" 18139 14809 12946 4235 4383 3335 42171 29498 36062 9389 14269 2195
"AT1G01340" 184 153 219 1984 309 3893 216 168 353 3186 1746 3050
"AT1G01350" 668 1031 1106 1133 1284 897 921 928 1008 996 1645 725
"AT1G01355" 0 5 10 19 0 28 4 5 15 21 6 149
"AT1G01360" 284 625 506 269 348 329 492 587 640 274 341 225
"AT1G01370" 93 101 117 112 67 42 117 152 103 121 81 55
"AT1G01380" 34 58 111 10 29 8 44 58 31 3 36 34
"AT1G01390" 59 16 25 2 14 10 198 222 182 4 58 23
"AT1G01400" 0 0 1 1 0 1 0 0 0 0 0 8
"AT1G01410" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 222 167 258 31 155 9 299 281 373 55 206 11
"AT1G01430" 1775 4251 3375 1040 1425 179 3187 3142 4798 848 1604 86
"AT1G01440" 616 1108 966 645 870 863 1024 951 1238 1271 1050 627
"AT1G01448" 138 730 413 352 140 276 289 559 593 441 254 235
"AT1G01450" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01453" 15 19 30 7 0 11 5 13 5 9 29 3
"AT1G01460" 0 0 0 0 4 3 2 0 0 0 1 4
"AT1G01470" 1001 1542 2134 5881 8928 6144 1353 2217 1297 4767 2023 3483
"AT1G01471" 0 0 0 0 0 1 0 0 0 0 0 2
"AT1G01480" 72 39 114 1442 86 34476 58 47 70 2634 5574 28390
"AT1G01490" 1665 3558 3439 4651 4752 1058 2476 2265 2984 2850 4388 812
