"GSM1489632" "GSM1489633" "GSM1489634" "GSM1489635" "GSM1489636" "GSM1489637" "GSM1489638" "GSM1489639" "GSM1489640" "GSM1489641" "GSM1489642" "GSM1489643"
"AT1G01010" 1408 861 1096 477 546 624 578 862 1074 735 368 529
"AT1G01020" 349 124 169 106 200 208 441 442 559 169 117 142
"AT1G01030" 36 57 32 19 25 32 110 166 206 122 123 126
"AT1G01040" 2693 1563 1851 1195 1362 1326 2621 2740 3082 1774 1432 1525
"AT1G01046" 30 19 19 5 8 8 20 19 22 14 14 20
"AT1G01050" 2793 1883 2094 916 1071 1152 3106 4345 4975 2026 1268 1726
"AT1G01060" 2121 1179 1345 466 516 566 5225 7033 8569 4059 2910 1933
"AT1G01070" 781 569 589 240 294 335 443 791 877 399 171 256
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 580 416 482 508 720 780 2076 2280 2868 1511 1099 1292
"AT1G01090" 6318 4375 5398 4536 4365 5322 10556 18136 22505 8966 5899 7290
"AT1G01100" 4427 4546 6038 2056 2921 4352 9524 12632 16402 6338 3974 4795
"AT1G01110" 260 221 266 45 55 67 129 303 382 263 168 259
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 28605 14422 18475 8726 11417 12569 13430 19458 21711 7246 3673 4143
"AT1G01130" 217 64 73 38 65 80 146 219 231 63 36 46
"AT1G01140" 4157 2809 3306 805 964 1090 2844 3696 4559 2526 1781 2055
"AT1G01150" 6 5 3 2 3 9 6 10 9 4 6 5
"AT1G01160" 1449 950 1162 540 712 834 1140 1971 2492 798 524 676
"AT1G01170" 1579 887 1075 403 644 766 3092 3609 4381 810 600 673
"AT1G01180" 2665 1397 1780 922 1171 1388 1486 2739 3126 1015 551 638
"AT1G01183" 2 4 0 0 0 1 3 3 2 0 0 0
"AT1G01190" 32 19 31 8 10 27 47 92 118 74 36 36
"AT1G01200" 276 153 254 47 66 76 134 140 195 123 71 94
"AT1G01210" 384 109 99 85 174 162 447 559 623 158 116 109
"AT1G01220" 757 545 575 544 647 577 990 1362 1546 936 677 732
"AT1G01225" 148 87 87 113 121 164 89 101 118 135 93 97
"AT1G01230" 1903 1049 1275 904 1076 1072 1801 2057 2704 972 546 785
"AT1G01240" 1076 649 816 275 358 374 624 770 955 716 448 542
"AT1G01250" 6 2 8 10 21 10 54 84 77 6 12 9
"AT1G01260" 887 544 792 237 255 320 740 1041 1285 483 346 406
"AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0 0 0 0 0 1 0
"AT1G01290" 462 263 330 149 238 237 500 677 821 316 209 291
"AT1G01300" 4209 3160 4035 1208 1533 1730 2766 5220 6401 3734 2462 2812
"AT1G01305" 0 0 1 0 0 0 0 0 0 0 0 1
"AT1G01310" 7 6 1 3 2 2 8 6 11 1 1 4
"AT1G01320" 5761 4811 5627 9057 9271 9283 12657 14430 17643 11550 9263 9648
"AT1G01340" 198 118 152 237 237 239 272 424 743 369 158 299
"AT1G01350" 647 326 429 281 413 421 785 1002 1281 458 254 362
"AT1G01355" 10 17 9 1 2 6 6 7 16 10 2 8
"AT1G01360" 958 566 630 446 686 686 503 609 796 336 198 245
"AT1G01370" 114 71 92 58 64 71 114 137 152 110 67 101
"AT1G01380" 293 214 250 40 96 101 264 240 283 245 127 197
"AT1G01390" 497 447 583 156 245 241 967 1009 1306 318 276 262
"AT1G01400" 1 0 1 1 1 0 0 1 3 0 0 0
"AT1G01410" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 167 109 110 269 390 482 645 983 1106 120 76 60
"AT1G01430" 5203 3105 3851 2971 3710 4162 7904 10149 11844 5374 3051 3492
"AT1G01440" 1321 798 1053 644 723 723 1156 1737 2130 893 565 645
"AT1G01448" 535 278 411 151 162 150 376 461 581 268 153 230
"AT1G01450" 1 0 0 0 2 0 2 1 2 2 0 0
"AT1G01453" 46 12 34 38 50 25 71 89 97 10 6 5
"AT1G01460" 0 0 0 0 0 0 1 2 0 0 1 0
"AT1G01470" 4984 3370 4515 6527 7463 8930 5330 6479 8166 982 671 771
"AT1G01471" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 193 110 152 151 141 135 113 165 330 103 53 90
"AT1G01490" 6676 3968 4159 1481 2171 2470 5293 6708 9823 2313 1242 1605
"AT1G01500" 559 335 432 248 297 314 780 1444 1592 302 138 228
"AT1G01510" 1746 1327 1680 577 646 734 1600 2750 3350 2409 1433 1694
"AT1G01520" 45 29 21 75 98 81 332 282 309 14 10 7
"AT1G01530" 0 0 0 0 0 0 0 0 1 0 0 0
"AT1G01540" 2892 2053 2641 933 1305 1247 6332 7693 10243 3774 2621 2697
"AT1G01550" 9936 5173 5840 3555 4593 4752 7070 9723 12249 4182 2635 3223
"AT1G01560" 5 5 4 27 12 15 16 48 70 22 2 15
"AT1G01570" 70 50 52 119 114 128 74 125 128 56 28 39
"AT1G01580" 90 319 358 10 19 16 22 44 69 494 78 309
"AT1G01590" 1 0 1 1 1 1 2 4 5 1 0 1
"AT1G01600" 1596 1290 1655 312 288 314 332 513 540 363 192 234
"AT1G01610" 3824 2084 2545 3584 3962 4088 5552 10117 11493 5414 2768 2944
"AT1G01620" 138273 79800 101453 14108 18725 21355 95860 141382 164319 56469 28757 36773
"AT1G01630" 3251 1649 2237 1643 2170 2412 3900 5706 6533 2421 1250 1449
"AT1G01640" 1321 850 988 422 335 437 223 403 518 339 182 251
"AT1G01650" 1624 1402 1553 1257 1209 1411 1274 1568 2165 1317 789 868
"AT1G01660" 123 64 52 38 50 58 163 226 290 36 20 25
"AT1G01670" 44 19 26 21 32 28 75 101 130 13 1 15
"AT1G01680" 4 4 3 3 8 3 8 11 25 3 1 1
"AT1G01690" 102 74 70 28 50 49 144 208 231 122 81 113
"AT1G01695" 0 0 0 1 2 1 6 2 6 5 3 4
"AT1G01700" 61 24 47 26 26 12 31 27 45 36 26 25
"AT1G01710" 1572 814 1100 508 671 697 1316 1812 2164 694 507 601
"AT1G01720" 3355 2317 2811 1676 1700 1901 2667 4289 5246 1901 1136 1417
"AT1G01725" 638 506 657 156 213 283 290 272 324 209 138 177
"AT1G01730" 1810 951 1071 345 509 581 1250 2007 2472 983 578 735
"AT1G01740" 91 53 71 71 77 73 117 163 220 107 77 102
"AT1G01750" 366 164 195 187 334 316 577 770 830 157 124 120
"AT1G01760" 107 68 103 30 45 60 76 104 129 103 85 118
"AT1G01770" 1719 1105 1441 533 544 529 1333 1555 2121 812 599 699
"AT1G01780" 3343 2020 2778 578 869 878 1717 2056 2499 700 434 538
"AT1G01790" 913 628 734 1379 1589 1608 5174 5378 6569 2821 2314 2401
"AT1G01800" 1969 1323 1617 1143 1501 1644 2377 3219 4100 1664 945 1170
"AT1G01810" 38 13 37 12 22 24 37 67 82 17 10 16
"AT1G01820" 2954 1682 2002 986 1332 1374 2554 3468 4512 1403 762 1086
"AT1G01830" 1578 886 1065 494 614 656 1268 1915 2090 618 351 432
"AT1G01840" 43 19 18 26 28 34 37 56 59 19 19 11
"AT1G01860" 237 136 154 158 204 218 376 486 519 282 222 227
"AT1G01870" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01880" 86 38 57 15 25 42 85 105 128 81 80 72
"AT1G01890" 0 0 0 0 1 0 0 0 0 0 0 0
"AT1G01900" 1461 1043 1368 386 411 415 642 1169 1180 1071 541 620
"AT1G01910" 1427 939 1260 1012 1275 1269 2631 3543 4089 1475 897 1127
"AT1G01920" 398 206 266 173 179 211 603 924 971 484 317 421
"AT1G01930" 779 506 583 364 463 491 796 1426 1596 515 350 432
"AT1G01940" 437 276 414 352 525 548 777 1143 1441 338 223 273
"AT1G01950" 1148 731 933 475 569 546 1293 1843 2103 1119 673 856
"AT1G01960" 5587 3891 4887 2083 2120 2168 6150 7744 8835 4933 3356 3996
"AT1G01970" 365 310 330 686 806 844 1144 1380 1755 876 653 687
"AT1G01980" 0 0 0 0 0 0 0 0 2 0 1 0
"AT1G01990" 1030 643 853 344 497 616 563 893 1236 803 500 640
"AT1G02000" 1359 950 1132 495 617 685 871 1673 1975 864 475 579
"AT1G02010" 689 447 545 212 267 254 559 596 761 522 406 469
"AT1G02020" 781 575 701 324 393 363 757 1199 1367 537 357 387
"AT1G02030" 48 28 53 72 80 82 47 59 73 36 19 28
"AT1G02040" 8 4 10 1 3 3 14 8 17 8 6 10
"AT1G02050" 272 210 213 95 84 85 399 713 811 364 220 286
"AT1G02060" 358 228 332 104 88 95 455 784 864 334 246 324
"AT1G02065" 4 6 4 2 2 0 12 41 44 19 18 17
"AT1G02070" 22 6 11 17 25 16 5 7 7 5 2 1
"AT1G02074" 10 0 3 1 0 0 5 10 8 0 0 0
"AT1G02080" 9512 5807 7083 4061 4184 4429 7850 7623 8437 5927 4165 5092
"AT1G02090" 1342 788 1007 1430 1597 1742 2041 2847 3460 1110 747 902
"AT1G02100" 3506 1992 2380 994 1182 1221 2452 3223 4425 1708 1122 1403
"AT1G02110" 1021 1012 1196 255 336 366 1273 2400 2763 2267 1402 1752
"AT1G02120" 5015 2682 3165 1804 2570 2666 4953 6922 8474 3337 2084 2439
