"GSM1496098" "GSM1496099" "GSM1496100" "GSM1496101" "GSM1496102" "GSM1496103"
"AT1G01010" 13 27 22 5 4 3
"AT1G01020" 34 69 49 33 37 23
"AT1G01030" 1 4 6 3 2 2
"AT1G01040" 56 114 93 69 78 57
"AT1G01046" 0 1 1 3 0 0
"AT1G01050" 84 154 101 61 56 34
"AT1G01060" 217 323 245 64 66 32
"AT1G01070" 49 66 51 35 27 18
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 22 36 27 16 7 10
"AT1G01090" 1235 1973 1441 855 676 689
"AT1G01100" 538 716 625 518 420 264
"AT1G01110" 5 5 3 3 2 3
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 137 323 202 100 123 86
"AT1G01130" 19 14 8 12 9 10
"AT1G01140" 90 115 73 66 60 76
"AT1G01150" 1 0 1 1 0 0
"AT1G01160" 81 142 133 96 109 74
"AT1G01170" 23 41 41 26 42 24
"AT1G01180" 0 0 1 3 5 1
"AT1G01183" 0 0 0 0 0 0
"AT1G01190" 1 2 1 2 3 0
"AT1G01200" 0 0 0 0 0 0
"AT1G01210" 7 13 15 9 16 6
"AT1G01220" 17 22 13 10 17 10
"AT1G01225" 75 85 58 38 40 29
"AT1G01230" 80 103 97 73 87 56
"AT1G01240" 79 191 174 107 100 77
"AT1G01250" 120 239 165 122 126 62
"AT1G01260" 71 114 81 88 90 54
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0
"AT1G01290" 33 44 32 35 25 13
"AT1G01300" 290 394 293 244 251 150
"AT1G01305" 0 6 7 5 6 0
"AT1G01310" 0 2 0 2 1 0
"AT1G01320" 77 135 113 58 50 58
"AT1G01340" 6 11 7 5 1 3
"AT1G01350" 36 81 69 52 55 35
"AT1G01355" 3 10 3 1 0 2
"AT1G01360" 27 86 51 28 30 16
"AT1G01370" 3 1 4 5 3 2
"AT1G01380" 4 8 9 0 2 1
"AT1G01390" 0 2 1 1 0 0
"AT1G01400" 0 0 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 5 5 5 1 1 2
"AT1G01430" 22 40 32 27 20 13
"AT1G01440" 21 35 25 19 28 18
"AT1G01448" 10 31 21 12 14 12
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 0 0 0 0 0 0
"AT1G01460" 0 1 0 0 1 0
"AT1G01470" 147 241 205 124 153 83
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 28 95 92 144 180 65
"AT1G01490" 253 488 407 358 309 209
"AT1G01500" 40 63 49 61 80 28
"AT1G01510" 70 116 112 53 43 35
"AT1G01520" 1 1 4 2 2 2
"AT1G01530" 0 0 0 0 0 0
"AT1G01540" 85 130 128 75 82 58
"AT1G01550" 298 698 524 348 388 241
"AT1G01560" 4 11 10 9 7 5
"AT1G01570" 2 6 3 2 5 4
"AT1G01580" 1 2 5 3 1 0
"AT1G01590" 0 0 0 0 0 0
"AT1G01600" 14 14 12 4 8 4
