"GSM1466934" "GSM1466935" "GSM1466936" "GSM1466937" "GSM1466938" "GSM1466939"
"AT1G01010" 4 12 15 3 17 23
"AT1G01020" 22 39 39 28 32 44
"AT1G01030" 11 5 9 11 4 2
"AT1G01040" 77 246 293 107 178 246
"AT1G01046" 2 0 0 1 1 0
"AT1G01050" 132 157 86 90 128 141
"AT1G01060" 99 3 175 35 0 184
"AT1G01070" 14 7 30 8 23 40
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 123 141 67 101 73 107
"AT1G01090" 394 309 229 246 128 309
"AT1G01100" 649 466 213 359 354 358
"AT1G01110" 12 12 1 2 3 19
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 501 307 232 435 172 306
"AT1G01130" 24 14 16 21 12 24
"AT1G01140" 422 861 1269 247 596 745
"AT1G01150" 1 0 0 0 0 0
"AT1G01160" 70 105 111 67 114 129
"AT1G01170" 318 204 209 167 122 301
"AT1G01180" 83 75 103 43 50 101
"AT1G01183" 0 0 0 0 0 0
"AT1G01190" 76 36 0 95 16 63
"AT1G01200" 3 1 0 6 6 5
"AT1G01210" 11 17 16 10 23 8
"AT1G01220" 43 94 54 77 78 98
"AT1G01225" 13 8 2 7 3 12
"AT1G01230" 112 98 57 67 97 86
"AT1G01240" 186 160 227 117 153 277
"AT1G01250" 50 20 17 44 9 24
"AT1G01260" 46 71 117 37 80 80
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 0 0 5 0 0
"AT1G01290" 17 21 62 18 37 44
"AT1G01300" 260 384 466 283 261 380
"AT1G01305" 0 0 0 0 0 0
"AT1G01310" 1 4 5 5 0 3
"AT1G01320" 607 869 794 596 628 694
"AT1G01340" 5 67 57 3 65 58
"AT1G01350" 39 41 31 33 37 43
"AT1G01355" 0 1 7 0 1 0
"AT1G01360" 56 34 54 25 31 34
"AT1G01370" 5 14 0 3 4 2
"AT1G01380" 6 0 1 7 3 0
"AT1G01390" 27 33 45 17 17 37
"AT1G01400" 0 1 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 38 29 63 20 21 34
"AT1G01430" 349 239 149 154 125 228
"AT1G01440" 45 74 56 40 83 73
"AT1G01448" 17 31 26 14 22 31
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 0 0 2 0 1 0
"AT1G01460" 0 0 3 0 1 0
"AT1G01470" 532 1350 3636 433 1364 1318
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 4 8 21 11 19 61
"AT1G01490" 353 299 482 154 230 525
"AT1G01500" 59 49 77 49 56 56
"AT1G01510" 69 86 50 48 73 73
"AT1G01520" 6 2 7 6 0 5
"AT1G01530" 0 0 0 0 0 1
"AT1G01540" 195 313 155 140 135 241
"AT1G01550" 685 730 1160 425 846 886
"AT1G01560" 66 682 339 70 1043 480
"AT1G01570" 27 17 19 35 13 20
"AT1G01580" 8 4 19 4 1 8
"AT1G01590" 0 1 3 0 0 2
"AT1G01600" 3 4 4 8 1 1
"AT1G01610" 219 152 95 245 105 159
"AT1G01620" 1911 1194 433 1023 600 1071
"AT1G01630" 195 157 95 132 138 136
"AT1G01640" 10 19 10 8 27 8
"AT1G01650" 81 260 388 87 239 240
"AT1G01660" 4 15 12 3 10 13
"AT1G01670" 10 27 15 6 17 18
"AT1G01680" 6 65 137 13 115 171
"AT1G01690" 8 18 10 5 10 9
"AT1G01695" 2 1 1 2 0 5
"AT1G01700" 9 16 8 8 4 3
"AT1G01710" 69 109 166 86 76 163
"AT1G01720" 271 343 951 160 535 697
"AT1G01725" 62 57 96 43 38 56
"AT1G01730" 66 100 148 49 77 135
"AT1G01740" 12 23 24 8 22 26
"AT1G01750" 2 3 3 4 2 4
"AT1G01760" 3 9 1 0 5 3
"AT1G01770" 33 95 70 49 76 70
"AT1G01780" 35 46 75 33 30 85
"AT1G01790" 253 350 311 210 179 249
"AT1G01800" 163 152 100 84 121 178
"AT1G01810" 5 3 2 0 1 0
"AT1G01820" 158 183 193 104 169 142
"AT1G01830" 103 123 134 111 102 171
"AT1G01840" 2 2 0 4 1 1
"AT1G01860" 21 30 13 17 13 31
"AT1G01870" 0 0 0 0 0 0
"AT1G01880" 7 10 1 4 5 10
"AT1G01890" 0 0 0 0 0 0
"AT1G01900" 86 43 14 84 27 44
"AT1G01910" 117 90 84 89 99 114
"AT1G01920" 29 66 34 35 47 53
"AT1G01930" 43 43 22 36 47 62
"AT1G01940" 29 39 50 17 28 39
"AT1G01950" 52 111 168 54 87 111
"AT1G01960" 106 220 182 126 235 197
"AT1G01970" 78 57 34 68 36 55
"AT1G01980" 0 0 9 0 0 0
"AT1G01990" 148 91 84 73 61 78
"AT1G02000" 48 40 35 35 22 64
"AT1G02010" 22 45 46 24 23 58
"AT1G02020" 48 39 51 27 37 43
"AT1G02030" 1 0 2 0 1 0
"AT1G02040" 1 0 0 0 0 1
"AT1G02050" 21 30 36 25 15 33
"AT1G02060" 11 17 18 18 14 14
"AT1G02065" 0 3 0 5 0 0
"AT1G02070" 1 0 0 0 0 0
"AT1G02074" 0 0 0 0 0 0
"AT1G02080" 124 377 302 184 357 300
"AT1G02090" 64 78 46 44 64 54
"AT1G02100" 81 160 176 63 110 150
"AT1G02110" 88 91 71 79 58 66
"AT1G02120" 174 360 293 153 386 349
"AT1G02130" 130 81 107 61 83 120
"AT1G02136" 0 0 0 0 0 0
"AT1G02140" 229 206 202 118 173 219
"AT1G02145" 46 78 76 48 67 100
"AT1G02150" 343 217 127 222 118 226
"AT1G02160" 89 82 70 52 51 88
"AT1G02170" 102 149 155 78 170 131
"AT1G02180" 9 10 4 5 10 16
"AT1G02190" 4 3 0 9 3 0
"AT1G02205" 310 65 14 486 27 78
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 5 13 20 0 28 48
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 3 7 3 3 21 10
"AT1G02250" 0 0 0 1 0 2
"AT1G02260" 40 124 63 40 70 53
"AT1G02270" 59 108 240 44 122 144
"AT1G02280" 196 116 44 141 69 89
"AT1G02290" 25 22 22 19 25 23
"AT1G02300" 47 144 186 71 99 156
"AT1G02305" 282 340 365 146 275 336
"AT1G02310" 1 3 41 1 9 12
"AT1G02320" 0 0 0 0 0 0
"AT1G02330" 46 51 54 41 40 53
"AT1G02335" 11 2 1 13 6 8
"AT1G02340" 32 16 46 7 4 32
