"GSM1416617" "GSM1416618" "GSM1416619" "GSM1416620"
"AT1G01010" 62 79 39 1
"AT1G01020" 80 20 53 361
"AT1G01030" 15 18 45 1
"AT1G01040" 401 299 458 110
"AT1G01046" 41 0 0 0
"AT1G01050" 503 478 408 574
"AT1G01060" 704 1408 1157 1067
"AT1G01070" 20 123 29 0
"AT1G01073" 0 0 0 0
"AT1G01080" 722 480 763 314
"AT1G01090" 1296 1603 1937 2008
"AT1G01100" 2144 2032 1761 1863
"AT1G01110" 0 0 108 1
"AT1G01115" 0 0 0 0
"AT1G01120" 441 863 672 1033
"AT1G01130" 0 1 0 0
"AT1G01140" 490 917 569 537
"AT1G01150" 0 0 14 0
"AT1G01160" 271 138 112 0
"AT1G01170" 278 645 531 276
"AT1G01180" 0 292 86 150
"AT1G01183" 0 0 0 0
"AT1G01190" 0 0 0 0
"AT1G01200" 9 0 0 0
"AT1G01210" 11 5 58 0
"AT1G01220" 212 344 388 161
"AT1G01225" 12 41 0 37
"AT1G01230" 112 197 48 619
"AT1G01240" 109 239 108 26
"AT1G01250" 0 0 0 0
"AT1G01260" 80 482 89 1
"AT1G01270" 0 0 0 0
"AT1G01280" 0 0 0 0
"AT1G01290" 242 59 147 90
"AT1G01300" 284 227 359 413
"AT1G01305" 0 0 0 0
"AT1G01310" 0 0 1 1
"AT1G01320" 4570 2973 4188 4368
"AT1G01340" 71 0 2 14
"AT1G01350" 98 152 285 31
"AT1G01355" 0 0 0 0
"AT1G01360" 181 81 147 1
"AT1G01370" 14 0 0 0
"AT1G01380" 0 9 0 0
"AT1G01390" 0 0 7 0
"AT1G01400" 0 0 0 0
"AT1G01410" 0 0 0 0
"AT1G01420" 142 0 72 161
"AT1G01430" 469 233 572 242
"AT1G01440" 129 31 204 82
"AT1G01448" 12 231 85 216
"AT1G01450" 0 0 0 0
"AT1G01453" 22 0 0 0
"AT1G01460" 0 0 0 0
"AT1G01470" 125 321 214 360
"AT1G01471" 0 0 0 0
"AT1G01480" 0 1 14 0
"AT1G01490" 540 870 614 813
"AT1G01500" 18 16 112 0
"AT1G01510" 265 208 227 376
"AT1G01520" 35 0 70 0
"AT1G01530" 0 0 0 0
"AT1G01540" 197 874 610 1280
"AT1G01550" 744 1373 640 671
"AT1G01560" 6 0 0 0
"AT1G01570" 0 151 0 33
"AT1G01580" 35 19 48 0
"AT1G01590" 9 27 8 2
"AT1G01600" 230 65 36 79
"AT1G01610" 424 559 414 191
"AT1G01620" 1289 3650 2428 1644
"AT1G01630" 306 476 423 224
"AT1G01640" 18 59 16 185
"AT1G01650" 309 119 18 71
"AT1G01660" 94 28 11 0
"AT1G01670" 0 0 0 0
"AT1G01680" 40 0 0 1
"AT1G01690" 113 32 0 73
"AT1G01695" 0 0 0 0
"AT1G01700" 0 0 0 0
"AT1G01710" 147 87 177 246
"AT1G01720" 270 250 297 140
"AT1G01725" 0 23 67 0
"AT1G01730" 66 233 203 1
"AT1G01740" 70 184 16 0
"AT1G01750" 34 7 52 51
"AT1G01760" 5 0 0 0
"AT1G01770" 229 237 218 23
"AT1G01780" 22 168 141 247
"AT1G01790" 669 1185 896 1190
"AT1G01800" 330 495 527 77
"AT1G01810" 0 0 5 0
"AT1G01820" 274 436 430 185
"AT1G01830" 204 492 294 5
"AT1G01840" 64 35 0 0
"AT1G01860" 200 76 181 19
"AT1G01870" 0 0 0 0
"AT1G01880" 0 0 12 25
"AT1G01890" 0 0 0 0
"AT1G01900" 19 0 60 43
"AT1G01910" 349 247 274 316
"AT1G01920" 145 61 110 36
"AT1G01930" 188 167 292 0
"AT1G01940" 98 46 59 15
"AT1G01950" 199 419 349 422
"AT1G01960" 974 770 952 684
"AT1G01970" 228 43 67 296
"AT1G01980" 0 0 0 0
"AT1G01990" 78 84 88 38
"AT1G02000" 258 294 93 486
"AT1G02010" 73 52 127 29
"AT1G02020" 164 55 225 142
"AT1G02030" 0 0 0 0
"AT1G02040" 0 0 0 0
"AT1G02050" 70 0 0 351
"AT1G02060" 26 0 0 0
"AT1G02065" 0 35 77 0
"AT1G02070" 0 0 0 0
"AT1G02074" 0 0 0 0
"AT1G02080" 581 1315 870 591
