"GSM897684" "GSM897685" "GSM897686" "GSM897687"
"AT1G01010" 579 165 454 143
"AT1G01020" 298 542 326 514
"AT1G01030" 309 152 308 161
"AT1G01040" 2380 2361 2479 2204
"AT1G01046" 39 27 21 41
"AT1G01050" 1280 1893 1413 2099
"AT1G01060" 3038 3692 5372 5847
"AT1G01070" 66 414 82 448
"AT1G01073" 0 0 0 0
"AT1G01080" 785 1200 797 1451
"AT1G01090" 8617 8188 8795 9121
"AT1G01100" 3599 13652 3783 15973
"AT1G01110" 148 420 221 462
"AT1G01115" 0 0 0 0
"AT1G01120" 7739 583 7203 692
"AT1G01130" 31 53 20 26
"AT1G01140" 2629 1675 3253 1703
"AT1G01150" 1 10 0 6
"AT1G01160" 808 1561 917 1648
"AT1G01170" 1076 2354 1409 1959
"AT1G01180" 672 184 840 200
"AT1G01183" 0 1 0 1
"AT1G01190" 44 143 32 109
"AT1G01200" 7 17 6 19
"AT1G01210" 129 269 187 274
"AT1G01220" 678 1298 551 1137
"AT1G01225" 68 124 69 133
"AT1G01230" 657 683 669 754
"AT1G01240" 1799 1421 1774 1284
"AT1G01250" 44 15 61 13
"AT1G01260" 525 827 559 1004
"AT1G01270" 0 0 0 0
"AT1G01280" 0 0 0 0
"AT1G01290" 245 405 261 406
"AT1G01300" 842 2437 906 2407
"AT1G01305" 0 0 0 1
"AT1G01310" 5 4 9 4
"AT1G01320" 13896 18294 12094 18007
"AT1G01340" 184 134 347 226
"AT1G01350" 404 721 492 783
"AT1G01355" 2 2 14 7
"AT1G01360" 401 338 551 393
"AT1G01370" 16 125 32 124
"AT1G01380" 9 72 4 59
"AT1G01390" 132 7 163 9
"AT1G01400" 2 0 0 0
"AT1G01410" 0 0 0 0
"AT1G01420" 413 121 494 122
"AT1G01430" 1677 1256 1694 1099
"AT1G01440" 725 712 812 638
"AT1G01448" 282 405 322 370
"AT1G01450" 0 1 0 0
"AT1G01453" 0 0 1 0
"AT1G01460" 1 1 0 0
"AT1G01470" 16794 2138 18565 1578
"AT1G01471" 0 0 0 0
"AT1G01480" 283 41 136 30
"AT1G01490" 2632 1829 2590 1829
"AT1G01500" 1090 654 1046 821
"AT1G01510" 1095 3346 1107 3496
"AT1G01520" 106 90 245 132
"AT1G01530" 0 0 1 0
"AT1G01540" 1091 2338 1488 2110
"AT1G01550" 5539 3456 5539 3337
"AT1G01560" 152 93 131 120
"AT1G01570" 59 76 74 103
"AT1G01580" 55 148 91 123
"AT1G01590" 10 2 7 3
"AT1G01600" 125 230 49 277
"AT1G01610" 6215 2958 4827 3064
"AT1G01620" 31345 26483 30558 25083
"AT1G01630" 1005 651 1080 763
"AT1G01640" 107 130 96 77
"AT1G01650" 1754 2212 1853 2309
"AT1G01660" 40 64 41 64
"AT1G01670" 68 179 68 145
"AT1G01680" 48 23 9 20
"AT1G01690" 52 216 46 232
"AT1G01695" 4 10 6 4
"AT1G01700" 46 114 52 117
"AT1G01710" 1117 1562 1264 1672
"AT1G01720" 4145 1337 4979 1550
"AT1G01725" 351 477 350 490
"AT1G01730" 1005 1080 1007 1143
"AT1G01740" 162 214 138 204
"AT1G01750" 39 81 49 61
"AT1G01760" 132 255 124 252
"AT1G01770" 1449 1705 1420 1458
"AT1G01780" 504 467 492 370
"AT1G01790" 3719 3827 3874 3321
"AT1G01800" 1321 2453 1612 2658
"AT1G01810" 4 4 2 6
"AT1G01820" 1767 2282 2087 2367
"AT1G01830" 997 761 910 678
"AT1G01840" 12 50 12 45
"AT1G01860" 298 390 229 415
"AT1G01870" 0 0 0 0
"AT1G01880" 68 140 51 144
"AT1G01890" 0 0 0 0
"AT1G01900" 658 476 163 375
