"GSM967453" "GSM967454" "GSM967455" "GSM967456"
"AT1G01010" 25 16 13 38
"AT1G01020" 65 72 34 52
"AT1G01030" 32 30 28 12
"AT1G01040" 253 290 229 288
"AT1G01046" 0 0 0 0
"AT1G01050" 207 417 265 340
"AT1G01060" 375 528 164 506
"AT1G01070" 58 41 12 23
"AT1G01073" 0 0 0 0
"AT1G01080" 420 697 249 247
"AT1G01090" 976 1843 809 894
"AT1G01100" 2598 3955 1803 2057
"AT1G01110" 6 20 6 22
"AT1G01115" 0 0 0 0
"AT1G01120" 391 1322 1339 240
"AT1G01130" 25 23 25 25
"AT1G01140" 503 647 1672 711
"AT1G01150" 0 0 0 0
"AT1G01160" 208 318 97 190
"AT1G01170" 699 839 475 417
"AT1G01180" 189 302 118 244
"AT1G01183" 0 0 0 0
"AT1G01190" 3 16 0 6
"AT1G01200" 2 12 1 5
"AT1G01210" 27 39 42 44
"AT1G01220" 122 178 79 86
"AT1G01225" 0 12 14 8
"AT1G01230" 145 284 192 152
"AT1G01240" 257 465 117 198
"AT1G01250" 69 78 32 28
"AT1G01260" 62 123 90 61
"AT1G01270" 15 43 29 13
"AT1G01280" 0 0 0 0
"AT1G01290" 48 61 49 79
"AT1G01300" 347 661 610 505
"AT1G01305" 0 0 0 0
"AT1G01310" 8 10 10 6
"AT1G01320" 2710 2523 1431 1847
"AT1G01340" 30 116 97 181
"AT1G01350" 82 89 66 71
"AT1G01355" 6 1 1 0
"AT1G01360" 68 151 70 74
"AT1G01370" 0 3 0 8
"AT1G01380" 11 1 1 3
"AT1G01390" 33 32 24 9
"AT1G01400" 11 19 25 7
"AT1G01410" 0 1 0 0
"AT1G01420" 159 188 114 220
"AT1G01430" 404 717 240 247
"AT1G01440" 79 143 67 128
"AT1G01448" 25 37 24 25
"AT1G01450" 0 0 0 0
"AT1G01453" 0 0 0 3
"AT1G01460" 0 3 4 2
"AT1G01470" 841 1101 3060 789
"AT1G01471" 0 0 0 0
"AT1G01480" 26 41 5 187
"AT1G01490" 4175 3695 1761 2663
"AT1G01500" 217 312 358 143
"AT1G01510" 132 176 94 104
"AT1G01520" 7 2 5 2
"AT1G01530" 0 0 3 9
"AT1G01540" 314 868 377 395
"AT1G01550" 812 1460 990 987
"AT1G01560" 10 20 86 193
"AT1G01570" 4 11 10 24
"AT1G01580" 5 2 0 4
"AT1G01590" 7 1 8 2
"AT1G01600" 0 8 1 8
"AT1G01610" 320 607 177 312
"AT1G01620" 2293 5084 1673 1297
"AT1G01630" 121 536 220 346
"AT1G01640" 20 85 57 119
"AT1G01650" 131 342 308 420
"AT1G01660" 21 41 3 45
"AT1G01670" 19 20 21 32
"AT1G01680" 8 9 0 123
"AT1G01690" 7 24 3 12
"AT1G01695" 0 0 0 3
"AT1G01700" 7 11 3 8
"AT1G01710" 156 180 108 166
"AT1G01720" 603 546 490 510
"AT1G01725" 73 85 84 59
"AT1G01730" 291 466 245 354
"AT1G01740" 14 28 2 28
"AT1G01750" 10 8 1 9
"AT1G01760" 6 10 6 2
"AT1G01770" 81 88 29 57
"AT1G01780" 164 143 45 129
"AT1G01790" 441 888 477 471
"AT1G01800" 445 700 365 504
"AT1G01810" 2 3 0 0
"AT1G01820" 433 520 320 425
"AT1G01830" 255 523 175 551
"AT1G01840" 13 24 19 17
"AT1G01860" 39 65 18 39
"AT1G01870" 9 14 6 7
"AT1G01880" 14 4 11 9
"AT1G01890" 1 3 3 1
