"GSM1009304" "GSM1009305" "GSM1009306" "GSM941528" "GSM941529" "GSM941530" "GSM941531" "GSM941532" "GSM941533" "GSM941534" "GSM941535" "GSM941536"
"AT1G01010" 59 59 90 33 34 43 56 19 34 11 46 43
"AT1G01020" 752 808 819 275 341 400 312 233 267 210 318 331
"AT1G01030" 56 45 86 37 34 85 26 31 61 23 40 200
"AT1G01040" 1026 1114 1175 1320 607 1013 1519 387 707 1036 551 851
"AT1G01046" 6 6 5 3 5 8 9 0 5 4 1 10
"AT1G01050" 834 1036 1080 365 309 571 365 239 337 317 316 442
"AT1G01060" 98 33 47 31 21 53 29 24 27 44 20 25
"AT1G01070" 97 86 100 32 32 54 33 46 52 32 30 27
"AT1G01073" 0 0 3 1 0 2 0 1 0 0 0 0
"AT1G01080" 1879 2212 1870 665 924 918 739 673 836 603 791 901
"AT1G01090" 3027 4032 3350 1194 1545 2087 1438 1202 1518 1112 1421 1846
"AT1G01100" 15802 17709 16301 4148 8551 7359 5421 6472 6176 4287 7541 6318
"AT1G01110" 133 181 214 111 132 194 112 84 90 80 106 134
"AT1G01115" 0 0 1 2 0 1 0 1 0 0 0 3
"AT1G01120" 1059 1120 720 394 417 572 463 291 320 620 437 482
"AT1G01130" 43 45 33 13 11 33 15 13 14 28 13 9
"AT1G01140" 2976 2244 2582 1275 1218 1663 1797 905 1319 1830 1042 1327
"AT1G01150" 19 27 29 16 9 6 7 13 8 4 3 13
"AT1G01160" 477 567 498 297 207 348 336 194 209 250 236 278
"AT1G01170" 4329 4702 5077 1629 1669 2032 1808 1293 1353 1429 1667 1613
"AT1G01180" 180 230 215 122 231 212 112 99 106 72 202 100
"AT1G01183" 2 0 0 0 0 3 0 1 0 0 0 0
"AT1G01190" 55 101 123 57 24 73 52 38 46 52 39 69
"AT1G01200" 38 28 45 15 26 16 15 18 33 16 16 19
"AT1G01210" 293 411 418 146 170 243 169 128 145 122 164 200
"AT1G01220" 569 622 587 326 311 373 329 238 266 270 259 313
"AT1G01225" 90 183 160 63 60 95 64 33 58 53 58 69
"AT1G01230" 760 1130 1010 338 519 478 355 321 278 189 450 439
"AT1G01240" 897 1160 1137 541 621 556 661 332 324 360 524 486
"AT1G01250" 33 34 44 9 10 11 4 19 21 22 11 16
"AT1G01260" 566 641 759 595 370 615 719 170 238 403 315 395
"AT1G01270" 0 6 0 1 0 2 0 4 3 0 0 0
"AT1G01280" 13 10 15 8 15 19 9 16 12 2 7 16
"AT1G01290" 447 502 601 359 194 345 388 145 262 313 183 262
"AT1G01300" 515 767 495 271 469 732 253 358 521 162 472 788
"AT1G01305" 8 0 6 4 0 4 4 2 5 0 1 8
"AT1G01310" 3 1 4 4 7 12 5 7 5 2 3 15
"AT1G01320" 6190 6579 6631 6029 3073 6626 6662 3307 6042 8325 2621 5663
"AT1G01340" 91 47 59 62 41 70 66 27 26 15 43 48
"AT1G01350" 649 750 776 680 317 666 605 205 371 358 293 522
"AT1G01355" 9 9 10 5 7 16 2 3 0 6 9 1
"AT1G01360" 558 560 510 212 262 209 309 131 113 125 219 207
"AT1G01370" 323 387 421 152 173 156 137 129 131 155 171 126
"AT1G01380" 51 98 65 29 41 53 17 27 18 27 19 27
"AT1G01390" 23 60 54 38 20 46 18 13 30 25 30 48
"AT1G01400" 8 8 19 12 5 7 4 4 6 3 7 16
"AT1G01410" 7 3 9 2 5 5 5 0 6 4 8 4
"AT1G01420" 76 111 133 58 48 64 45 36 27 27 54 96
"AT1G01430" 753 1149 994 521 491 545 445 397 346 394 398 414
"AT1G01440" 395 439 383 349 176 324 406 109 184 273 139 259
"AT1G01448" 222 290 275 115 88 115 66 48 56 47 88 117
"AT1G01450" 0 0 0 0 0 0 1 2 0 0 0 0
"AT1G01453" 10 10 8 6 8 17 7 13 16 0 13 13
"AT1G01460" 16 7 17 9 14 3 17 14 5 1 14 5
"AT1G01470" 5053 8615 6876 1699 3897 3334 2110 2552 1733 1077 3948 4440
"AT1G01471" 7 0 1 1 3 2 3 0 3 2 0 0
"AT1G01480" 22 16 22 12 8 20 14 18 4 12 11 29
"AT1G01490" 2630 2593 3178 1576 1431 1689 1895 797 898 1108 1107 1113
"AT1G01500" 453 595 698 299 193 418 315 182 267 186 203 422
"AT1G01510" 839 972 1197 876 484 800 970 332 524 634 444 631
"AT1G01520" 25 7 20 8 2 8 14 3 4 14 0 4
"AT1G01530" 5 6 12 9 3 9 10 0 3 1 2 10
"AT1G01540" 3615 4013 3382 1598 1765 1684 2125 904 1079 1444 1345 1162
"AT1G01550" 2945 2840 2661 1266 1247 1578 1634 845 812 1166 1143 1226
"AT1G01560" 224 179 132 37 71 393 65 40 49 43 83 102
"AT1G01570" 51 16 32 35 9 36 28 14 18 19 33 41
"AT1G01580" 42 32 44 27 28 45 19 22 35 16 72 24
"AT1G01590" 27 26 23 6 6 25 17 12 10 9 11 4
"AT1G01600" 211 186 213 57 86 136 70 105 107 94 98 120
"AT1G01610" 564 916 778 247 405 421 274 401 265 217 486 459
"AT1G01620" 6604 8544 7215 4311 4310 5144 5599 2239 2750 3973 2891 2681
"AT1G01630" 1150 1396 1320 514 462 704 594 334 584 453 439 561
"AT1G01640" 18 19 22 6 20 22 15 10 12 0 10 20
"AT1G01650" 726 711 734 308 342 381 324 176 255 158 304 513
"AT1G01660" 61 58 54 44 41 40 60 25 22 36 31 31
"AT1G01670" 144 105 122 66 55 55 82 48 29 41 39 41
"AT1G01680" 68 30 39 15 25 21 37 22 6 19 41 2
"AT1G01690" 272 337 327 236 121 271 258 127 196 174 130 197
"AT1G01695" 58 36 60 14 18 30 28 24 17 30 20 21
"AT1G01700" 57 53 64 50 42 71 43 34 29 40 27 68
"AT1G01710" 928 1049 1064 865 407 640 1071 284 430 811 345 544
"AT1G01720" 278 213 304 127 84 212 234 97 117 132 97 256
"AT1G01725" 532 604 600 262 389 268 251 156 125 152 302 238
"AT1G01730" 621 870 927 306 452 426 376 283 203 237 466 432
"AT1G01740" 161 178 180 123 25 162 114 41 55 99 39 116
"AT1G01750" 36 54 42 27 36 49 19 30 13 15 29 22
"AT1G01760" 81 75 105 73 28 62 70 14 28 41 22 32
"AT1G01770" 308 273 416 318 160 312 266 115 179 226 105 229
"AT1G01780" 275 332 403 105 123 160 109 109 131 95 145 136
"AT1G01790" 3141 3865 3222 2268 1815 2453 3044 1156 1899 2278 1236 1915
"AT1G01800" 865 900 970 408 420 532 515 268 402 317 335 408
"AT1G01810" 18 37 29 8 11 18 14 12 5 4 13 11
"AT1G01820" 2073 2789 2752 989 1415 1341 1116 760 722 658 1226 1051
"AT1G01830" 350 356 351 304 268 332 399 202 267 292 240 256
"AT1G01840" 101 162 130 22 54 70 26 52 62 43 30 40
"AT1G01860" 309 375 385 418 117 289 380 109 206 291 123 245
"AT1G01870" 2 0 0 2 0 2 1 0 0 0 1 0
"AT1G01880" 83 94 109 40 30 74 55 25 51 37 32 85
"AT1G01890" 0 0 0 0 0 0 1 0 0 0 0 0
"AT1G01900" 142 246 209 69 98 186 76 103 132 45 104 188
"AT1G01910" 1245 1788 1654 712 715 1166 870 517 798 501 613 940
"AT1G01920" 619 715 707 415 308 318 436 210 219 290 298 277
"AT1G01930" 495 607 580 416 354 514 492 199 341 318 281 390
"AT1G01940" 489 679 671 286 380 429 375 237 280 293 384 341
"AT1G01950" 446 413 364 183 152 333 301 104 313 248 123 248
"AT1G01960" 941 1139 1054 547 456 967 674 257 616 423 359 845
