"GSM1655653" "GSM1655654" "GSM1655655" "GSM1655656" "GSM1655657" "GSM1655658" "GSM1655659" "GSM1655660" "GSM1655661" "GSM1655662" "GSM1655663" "GSM1655664"
"AT1G01010" 221 201 313 583 590 773 600 689 713 870 590 818
"AT1G01020" 339 376 404 302 258 426 195 260 287 224 258 240
"AT1G01030" 25 27 40 58 69 95 30 39 45 20 69 37
"AT1G01040" 6175 6381 9039 10022 12952 13251 7541 9385 9956 6871 12952 7307
"AT1G01046" 111 157 160 159 205 230 128 126 196 77 205 91
"AT1G01050" 3884 4112 5197 2490 2428 3803 1888 2413 2250 2970 2428 2707
"AT1G01060" 2542 2787 2739 7019 6665 12456 3109 6095 5669 3342 6665 3577
"AT1G01070" 528 435 661 543 428 858 729 674 780 873 428 906
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 868 1061 1287 712 608 866 387 500 494 564 608 519
"AT1G01090" 13141 15542 21348 10119 8539 12758 9959 11882 12179 10570 8539 9191
"AT1G01100" 2537 3066 3828 1900 1921 2841 1754 2458 2404 2214 1921 2731
"AT1G01110" 453 479 753 206 180 273 70 132 63 35 180 50
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 3140 1701 3463 3184 2636 5012 2408 2857 2816 1484 2636 852
"AT1G01130" 77 80 132 58 82 63 49 80 64 59 82 47
"AT1G01140" 3699 4321 4820 21864 24074 29133 23658 25802 28963 22415 24074 20428
"AT1G01150" 0 0 0 3 0 0 0 0 0 1 0 0
"AT1G01160" 2452 2142 3005 2549 2524 3001 2636 3125 2507 2135 2524 2373
"AT1G01170" 3140 3518 3937 2057 2025 2799 1654 2421 1972 1999 2025 2148
"AT1G01180" 2338 2206 2828 3498 3048 3827 2621 3740 2975 3056 3048 3290
"AT1G01183" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01190" 5 6 10 1 2 2 0 3 3 3 2 9
"AT1G01200" 1 13 6 2 0 0 1 0 0 1 0 0
"AT1G01210" 147 158 190 255 263 337 201 245 278 198 263 199
"AT1G01220" 914 1061 1416 1446 1422 1963 1232 1302 1572 1385 1422 1481
"AT1G01225" 12 26 32 27 18 31 6 17 14 19 18 15
"AT1G01230" 1610 1543 2051 1425 1263 2143 1173 1412 1462 1724 1263 1542
"AT1G01240" 3936 3882 5812 3269 2702 4902 3344 3933 5433 8590 2702 6294
"AT1G01250" 139 163 181 161 146 233 55 32 42 9 146 9
"AT1G01260" 1915 1800 2900 2769 3308 4004 3022 4263 4560 2820 3308 3047
"AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0 0 0 1 0 0 0
"AT1G01290" 616 519 716 678 705 1000 536 687 684 564 705 494
"AT1G01300" 1776 2084 2740 5785 9249 5915 2965 5465 4307 2152 9249 1695
"AT1G01305" 0 0 0 2 0 1 0 0 0 0 0 0
"AT1G01310" 18 9 20 92 18 76 34 85 147 11 18 19
"AT1G01320" 22627 22309 34696 44609 44007 56470 38987 45553 52476 59932 44007 46759
"AT1G01340" 403 329 383 2438 3011 3105 2648 3603 4043 5200 3011 3753
"AT1G01350" 631 718 956 832 742 1098 773 897 858 944 742 905
"AT1G01355" 111 73 133 220 243 251 345 333 417 438 243 380
"AT1G01360" 877 793 1067 941 906 1337 792 1032 979 947 906 1111
"AT1G01370" 4 16 29 7 8 7 8 10 15 43 8 22
"AT1G01380" 22 27 29 39 41 67 18 35 11 14 41 11
"AT1G01390" 165 105 195 687 709 573 443 857 520 325 709 323
"AT1G01400" 0 1 2 0 0 3 0 1 1 1 0 0
"AT1G01410" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 343 441 547 475 415 990 560 423 443 242 415 444
"AT1G01430" 3860 4048 5623 1934 1337 2902 875 1069 856 995 1337 1143
"AT1G01440" 2172 1911 2850 4077 4202 4937 3743 4905 5347 4870 4202 4488
"AT1G01448" 695 655 886 715 676 838 502 702 683 643 676 698
"AT1G01450" 2 1 1 2 0 2 2 1 1 1 0 3
"AT1G01453" 20 14 25 154 91 240 265 271 359 777 91 471
"AT1G01460" 3 0 3 36 7 30 8 26 54 4 7 2
"AT1G01470" 5965 5391 6713 23519 35966 29024 32257 45498 43875 15534 35966 14726
"AT1G01471" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 5 12 4 70 58 37 434 193 834 2846 58 1243
"AT1G01490" 7981 7503 11460 8136 7260 10463 5710 8115 7697 9112 7260 9062
"AT1G01500" 923 1049 1294 1170 915 1748 926 1106 1210 1426 915 1314
"AT1G01510" 1397 1871 2439 959 930 1339 764 971 951 1069 930 1240
"AT1G01520" 7 11 7 47 47 80 34 36 36 36 47 25
