"GSM1224479" "GSM1224480" "GSM1224481" "GSM1224482" "GSM1224483" "GSM1224484" "GSM1224485" "GSM1224486"
"AT1G01010" 50 51 20 12 139 72 123 103
"AT1G01020" 37 50 11 7 112 107 65 63
"AT1G01030" 46 25 22 6 63 55 60 82
"AT1G01040" 175 99 56 23 502 216 181 135
"AT1G01046" 2 1 0 0 7 4 0 2
"AT1G01050" 308 155 197 73 1113 622 880 397
"AT1G01060" 1186 469 987 241 3337 1306 3165 1509
"AT1G01070" 40 17 32 13 112 38 103 44
"AT1G01073" 0 0 0 0 0 0 0 0
"AT1G01080" 779 502 426 217 1625 924 1627 1091
"AT1G01090" 3438 1710 2533 1182 4439 2408 4490 3433
"AT1G01100" 2025 1367 2159 593 4634 2594 4500 1868
"AT1G01110" 35 53 43 49 72 41 74 91
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 1486 476 1162 731 3108 1612 4085 4732
"AT1G01130" 31 13 50 36 24 26 63 55
"AT1G01140" 561 500 424 470 1126 983 1200 1613
"AT1G01150" 2 1 0 1 8 0 5 4
"AT1G01160" 126 92 51 36 253 223 239 183
"AT1G01170" 642 607 613 424 1188 997 1529 1359
"AT1G01180" 343 332 405 592 700 605 912 1080
"AT1G01183" 1 1 0 0 3 0 0 0
"AT1G01190" 37 12 10 28 52 30 50 70
"AT1G01200" 16 4 7 5 40 12 31 12
"AT1G01210" 72 66 41 21 175 100 93 68
"AT1G01220" 240 85 94 74 464 162 276 234
"AT1G01225" 27 10 22 34 57 27 70 56
"AT1G01230" 466 325 409 455 652 486 859 924
"AT1G01240" 280 140 297 143 229 96 248 160
"AT1G01250" 11 2 19 14 32 9 23 29
"AT1G01260" 293 154 194 145 308 155 213 200
"AT1G01270" 16 23 14 5 36 40 45 21
"AT1G01280" 0 0 0 0 0 0 0 0
"AT1G01290" 103 73 111 72 288 149 343 235
"AT1G01300" 1103 546 1018 1076 1272 947 1492 2274
"AT1G01305" 0 0 0 0 0 0 0 0
"AT1G01310" 3 0 0 0 2 0 2 0
"AT1G01320" 1726 710 555 612 7150 3478 4555 5807
"AT1G01340" 65 39 18 8 158 92 108 61
"AT1G01350" 109 108 92 39 246 141 327 193
"AT1G01355" 0 0 0 0 0 0 1 0
"AT1G01360" 119 82 92 129 265 228 262 294
"AT1G01370" 33 36 23 12 39 30 35 25
"AT1G01380" 10 3 7 5 39 34 52 34
"AT1G01390" 19 8 20 18 59 15 61 52
"AT1G01400" 0 0 1 0 0 0 0 0
"AT1G01410" 0 0 0 0 0 0 0 0
"AT1G01420" 95 43 74 63 167 77 150 136
"AT1G01430" 1800 1050 1520 1745 2857 1957 3761 4824
"AT1G01440" 306 201 226 306 374 306 393 581
"AT1G01448" 19 20 7 8 67 76 30 32
"AT1G01450" 0 0 0 0 0 0 0 0
"AT1G01453" 10 0 0 0 25 8 1 0
"AT1G01460" 0 0 0 0 0 0 0 0
"AT1G01470" 714 527 944 873 1037 801 1585 1841
"AT1G01471" 0 0 0 0 0 0 0 0
"AT1G01480" 16 21 14 14 63 33 53 49
"AT1G01490" 720 408 694 269 1262 611 1272 893
"AT1G01500" 447 252 420 238 231 132 252 202
"AT1G01510" 715 461 421 274 917 588 934 648
"AT1G01520" 1 1 7 7 26 23 20 32
"AT1G01530" 1 0 0 0 0 0 0 1
"AT1G01540" 1621 1456 894 390 2124 1478 2255 1446
"AT1G01550" 2041 2330 1493 5009 3878 4208 3586 7717
"AT1G01560" 7 25 8 14 21 16 26 22
"AT1G01570" 37 20 10 12 48 29 35 34
"AT1G01580" 82 16 2 0 654 163 44 35
"AT1G01590" 1 1 0 3 14 14 11 21
"AT1G01600" 205 44 35 32 331 78 141 77
"AT1G01610" 839 392 854 666 1285 624 1595 1837
"AT1G01620" 8134 5437 8719 14074 10372 7161 13500 19389
"AT1G01630" 568 346 650 245 1170 666 1514 1253
"AT1G01640" 52 25 41 7 72 38 62 34
"AT1G01650" 192 87 92 135 267 185 244 259
"AT1G01660" 13 3 0 1 29 13 1 1
"AT1G01670" 1 3 2 1 8 13 2 6
"AT1G01680" 5 2 3 0 3 1 1 4
"AT1G01690" 25 25 13 6 68 36 33 34
"AT1G01695" 3 0 0 1 1 0 0 0
"AT1G01700" 20 7 6 9 19 17 21 24
"AT1G01710" 298 254 176 186 441 302 386 429
"AT1G01720" 279 346 273 568 554 767 590 1037
"AT1G01725" 32 14 13 22 108 95 88 70
"AT1G01730" 340 156 338 174 410 258 535 373
"AT1G01740" 40 18 22 11 57 33 55 33
"AT1G01750" 177 96 32 15 331 132 50 40
"AT1G01760" 40 28 6 2 65 67 47 23
"AT1G01770" 196 181 66 35 285 250 183 166
"AT1G01780" 99 41 50 18 204 104 77 72
"AT1G01790" 990 783 395 651 2935 2211 2305 3221
"AT1G01800" 523 370 368 243 985 678 995 694
"AT1G01810" 2 1 3 1 9 3 13 3
"AT1G01820" 474 349 274 156 967 681 1048 935
"AT1G01830" 179 80 151 106 408 257 522 526
"AT1G01840" 9 5 16 6 24 9 20 20
"AT1G01860" 76 39 40 42 102 61 118 104
"AT1G01870" 1 1 0 1 5 1 0 0
"AT1G01880" 27 21 10 10 33 29 33 48
"AT1G01890" 2 0 0 0 0 0 0 0
"AT1G01900" 134 77 119 141 290 141 302 383
"AT1G01910" 389 238 189 135 707 398 602 414
"AT1G01920" 184 138 82 44 221 137 203 109
"AT1G01930" 199 151 144 75 315 196 274 278
"AT1G01940" 99 94 95 33 222 152 254 198
"AT1G01950" 279 168 167 108 603 356 546 573
"AT1G01960" 1468 440 449 372 1752 766 1308 1440
"AT1G01970" 289 164 252 146 601 311 730 402
"AT1G01980" 4 0 0 0 1 1 0 0
"AT1G01990" 138 78 53 52 322 234 239 125
"AT1G02000" 164 73 118 119 253 168 296 219
"AT1G02010" 26 30 9 6 101 68 56 31
"AT1G02020" 139 58 61 66 224 130 212 161
"AT1G02030" 3 1 2 0 8 1 3 2
"AT1G02040" 1 0 0 0 1 0 1 1
"AT1G02050" 81 41 21 11 110 50 65 54
"AT1G02060" 97 30 17 11 146 76 67 60
"AT1G02065" 13 3 5 1 21 8 12 2
"AT1G02070" 1 0 1 0 0 2 2 1
"AT1G02074" 0 1 0 0 0 0 0 0
"AT1G02080" 758 405 267 348 1385 941 831 1146
"AT1G02090" 260 161 210 156 514 251 464 338
"AT1G02100" 248 191 76 65 476 374 312 241
"AT1G02110" 283 176 182 93 486 317 455 325
"AT1G02120" 439 218 274 137 1059 497 901 633
"AT1G02130" 377 226 401 365 786 505 925 745
"AT1G02136" 0 0 0 0 0 0 0 0
"AT1G02140" 1808 1246 1801 1002 2994 2200 4670 3083
"AT1G02145" 123 96 47 49 232 129 169 143
"AT1G02150" 1515 930 937 424 2147 1173 2093 988
"AT1G02160" 90 50 91 62 205 155 180 134
"AT1G02170" 293 209 244 196 459 286 406 353
"AT1G02180" 68 39 42 34 91 79 116 134
"AT1G02190" 3 1 0 0 7 1 2 0
"AT1G02205" 338 79 24 29 745 160 203 119
"AT1G02210" 0 0 0 0 0 0 0 0
"AT1G02220" 19 31 22 15 37 20 50 31
"AT1G02228" 0 0 0 0 0 0 0 0
"AT1G02230" 3 3 4 3 4 2 3 3
"AT1G02250" 0 0 0 1 2 1 0 0
"AT1G02260" 114 63 31 33 216 148 149 126
"AT1G02270" 134 86 74 86 262 169 257 299
"AT1G02280" 801 607 455 142 1938 1220 1443 542
"AT1G02290" 159 77 131 41 217 115 255 185
"AT1G02300" 135 84 32 29 244 143 144 115
"AT1G02305" 1028 636 444 326 2275 1379 1765 1172
"AT1G02310" 17 0 1 5 13 7 6 1
"AT1G02320" 0 0 0 0 0 1 0 0
"AT1G02330" 178 115 130 58 347 159 349 340
"AT1G02335" 116 62 65 105 251 139 226 260
"AT1G02340" 104 80 68 86 53 60 47 59
"AT1G02350" 10 11 6 3 14 15 6 6
"AT1G02360" 202 300 30 177 430 470 65 281
"AT1G02370" 72 43 51 79 183 106 169 178
"AT1G02380" 35 152 25 81 37 140 32 151
"AT1G02390" 6 10 7 17 10 25 10 41
