"GSM1076098" "GSM1076099" "GSM1076100" "GSM1076101" "GSM1076102" "GSM1076103" "GSM1076104" "GSM1076105"
"AT1G01010" 6576 761 1824 633 10462 1994 1597 719
"AT1G01020" 2502 2470 2174 1000 2555 2031 2255 1388
"AT1G01030" 367 1098 1441 328 590 1828 1478 344
"AT1G01040" 12933 12314 14648 12281 13083 10901 15162 10987
"AT1G01046" 163 153 149 121 152 143 130 58
"AT1G01050" 16543 7850 14427 14349 12561 8729 13506 9373
"AT1G01060" 693 10285 33829 6022 255 4857 7547 1608
"AT1G01070" 4159 1636 1796 153 1149 1903 1750 2014
"AT1G01073" 0 0 0 0 0 0 0 0
"AT1G01080" 1234 16228 9671 10025 947 11807 9599 4136
"AT1G01090" 25648 37796 38324 31296 18293 28697 39289 65592
"AT1G01100" 43706 27765 53591 31956 28826 19159 50220 26631
"AT1G01110" 2715 935 2936 494 1963 751 3134 464
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 7998 10493 17823 38693 12489 22880 16829 19575
"AT1G01130" 321 227 708 561 271 354 603 687
"AT1G01140" 728 16278 11049 16282 1580 33135 11513 15777
"AT1G01150" 18 38 388 14 4 15 202 34
"AT1G01160" 5344 4745 6902 5571 5003 4594 7951 7016
"AT1G01170" 2002 8320 6355 5070 1456 8518 6196 4670
"AT1G01180" 3315 2415 298 1485 2249 2477 372 1173
"AT1G01183" 8 0 3 4 6 4 4 3
"AT1G01190" 8306 262 67 30 4411 115 92 28
"AT1G01200" 694 86 370 377 445 60 264 36
"AT1G01210" 1629 1130 1957 1325 1218 1072 1551 822
"AT1G01220" 6637 6255 7365 6890 4996 5161 8152 4448
"AT1G01225" 885 541 1060 1079 791 397 841 2719
"AT1G01230" 6789 4003 3985 5817 6914 4739 4640 6659
"AT1G01240" 6409 10529 6409 7603 7781 13983 9003 11327
"AT1G01250" 0 401 2603 3194 0 389 930 2984
"AT1G01260" 5791 4016 5813 4134 6636 6013 5553 5716
"AT1G01270" 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 4618 6 0 2 3005 10
"AT1G01290" 2567 2254 3560 2910 2147 1952 3458 2377
"AT1G01300" 10157 8636 24872 16959 10098 9124 26063 13034
"AT1G01305" 2 1 474 61 1 7 656 84
"AT1G01310" 11 3 5973 610 22 55 7441 284
"AT1G01320" 8658 100368 75636 45794 5744 75732 68403 29994
"AT1G01340" 5873 631 667 193 7244 809 479 1051
"AT1G01350" 5580 3853 4940 4226 5481 4559 5628 4652
"AT1G01355" 7 27 114 65 3 17 71 73
"AT1G01360" 4219 1880 2964 2521 4798 4088 3504 2552
"AT1G01370" 967 687 1924 997 643 410 1682 683
"AT1G01380" 211 114 85 62 269 142 65 102
"AT1G01390" 31 554 144 99 39 238 29 117
"AT1G01400" 0 1 184 0 0 0 87 1
