"GSM1023753" "GSM1023754" "GSM1023755" "GSM1023756" "GSM1023757" "GSM1023758"
"AT1G01010" 206 312 203 225 166 122
"AT1G01020" 184 313 228 164 119 103
"AT1G01030" 68 107 107 96 29 31
"AT1G01040" 1230 1818 1097 1045 593 484
"AT1G01046" 14 16 16 13 9 6
"AT1G01050" 987 1341 1155 1027 798 695
"AT1G01060" 3678 6035 4357 4362 1528 1251
"AT1G01070" 245 288 214 181 69 66
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 1837 2651 1746 1501 1194 1023
"AT1G01090" 4064 6067 4355 3841 2672 2210
"AT1G01100" 2337 3180 2253 1841 1306 1149
"AT1G01110" 71 98 60 50 64 46
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 2557 4081 1788 1795 1711 1396
"AT1G01130" 19 33 16 12 13 14
"AT1G01140" 958 1528 992 895 550 452
"AT1G01150" 5 2 5 1 2 2
"AT1G01160" 289 458 256 290 195 165
"AT1G01170" 505 706 520 525 279 239
"AT1G01180" 156 246 165 161 121 99
"AT1G01183" 0 1 1 2 0 0
"AT1G01190" 68 99 38 27 55 33
"AT1G01200" 37 47 32 31 37 23
"AT1G01210" 74 153 88 61 73 52
"AT1G01220" 497 732 521 482 377 304
"AT1G01225" 89 114 93 79 55 37
"AT1G01230" 404 588 374 359 238 193
"AT1G01240" 504 680 469 391 105 85
"AT1G01250" 7 15 2 3 8 9
"AT1G01260" 261 369 248 270 144 137
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 0 0 1 0 0
"AT1G01290" 220 326 224 210 125 78
"AT1G01300" 1073 1395 977 968 879 741
"AT1G01305" 0 0 0 0 0 0
"AT1G01310" 1 1 0 0 0 1
"AT1G01320" 6177 9404 6732 6279 5377 4470
"AT1G01340" 143 184 114 118 57 48
"AT1G01350" 205 329 219 191 141 128
"AT1G01355" 5 7 2 5 1 1
"AT1G01360" 187 276 150 156 133 131
"AT1G01370" 66 74 66 69 34 25
"AT1G01380" 23 46 50 41 18 13
"AT1G01390" 101 125 179 232 119 94
"AT1G01400" 0 1 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 135 255 122 113 181 140
"AT1G01430" 1467 2091 1352 1331 884 778
"AT1G01440" 342 409 332 354 172 157
"AT1G01448" 93 133 121 103 52 47
"AT1G01450" 1 0 0 1 1 1
"AT1G01453" 23 33 45 27 25 13
"AT1G01460" 0 0 0 2 0 0
"AT1G01470" 400 676 388 373 430 361
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 36 63 48 36 29 31
"AT1G01490" 954 1427 926 838 635 573
"AT1G01500" 188 254 114 102 124 79
"AT1G01510" 591 874 611 530 380 274
"AT1G01520" 68 100 70 59 61 65
"AT1G01530" 0 0 0 0 1 0
"AT1G01540" 1217 1866 1260 1143 824 670
"AT1G01550" 2352 3740 2449 2257 1538 1321
"AT1G01560" 3 5 2 5 3 4
"AT1G01570" 43 48 59 44 36 24
"AT1G01580" 977 1505 93 45 553 427
"AT1G01590" 29 45 35 24 43 30
"AT1G01600" 67 120 51 56 54 40
"AT1G01610" 1777 2852 1788 1687 1159 1049
"AT1G01620" 6361 8903 4854 4152 4729 4021
"AT1G01630" 897 1521 873 788 650 543
"AT1G01640" 50 89 68 66 50 37
"AT1G01650" 386 594 437 380 211 177
"AT1G01660" 70 81 79 63 18 17
"AT1G01670" 80 114 86 72 18 7
"AT1G01680" 2 3 1 2 0 0
"AT1G01690" 102 156 129 108 60 46
"AT1G01695" 3 2 5 2 6 1
"AT1G01700" 27 38 20 14 14 16
"AT1G01710" 497 803 598 486 251 216
"AT1G01720" 355 521 526 471 324 251
"AT1G01725" 64 84 78 41 40 29
"AT1G01730" 220 311 217 195 149 133
"AT1G01740" 116 155 91 74 50 48
"AT1G01750" 220 376 396 306 205 198
"AT1G01760" 64 103 67 71 37 30
"AT1G01770" 375 539 395 384 134 163
"AT1G01780" 262 356 400 340 187 155
"AT1G01790" 4058 6052 4370 3999 3988 3308
"AT1G01800" 899 1269 928 780 689 553
"AT1G01810" 8 5 4 7 1 4
"AT1G01820" 530 763 502 461 413 384
"AT1G01830" 195 330 222 219 192 151
"AT1G01840" 13 21 10 6 13 11
"AT1G01860" 234 344 260 215 129 91
"AT1G01870" 0 0 0 0 0 0
"AT1G01880" 43 54 49 39 27 29
"AT1G01890" 0 0 0 0 0 0
"AT1G01900" 160 215 146 161 147 116
"AT1G01910" 737 1075 688 556 453 373
"AT1G01920" 228 357 198 195 123 109
"AT1G01930" 254 376 285 256 148 137
"AT1G01940" 166 242 145 133 122 96
"AT1G01950" 442 633 506 402 287 261
"AT1G01960" 2030 3032 1993 1805 1159 946
"AT1G01970" 620 863 715 677 477 362
"AT1G01980" 4 3 3 1 0 0
"AT1G01990" 147 202 135 109 142 113
"AT1G02000" 229 302 177 207 169 141
"AT1G02010" 201 300 239 212 149 127
"AT1G02020" 197 271 182 171 167 126
"AT1G02030" 7 12 15 15 12 10
"AT1G02040" 1 2 1 1 0 1
"AT1G02050" 92 142 88 85 54 41
"AT1G02060" 84 130 105 96 50 49
"AT1G02065" 21 12 4 3 4 4
"AT1G02070" 1 1 0 0 1 0
"AT1G02074" 0 0 0 0 0 0
"AT1G02080" 2715 3892 3086 2737 1511 1241
"AT1G02090" 504 651 507 469 318 254
"AT1G02100" 465 614 458 456 295 231
"AT1G02110" 328 530 332 301 200 154
"AT1G02120" 1172 1742 1055 1008 692 565
"AT1G02130" 590 883 659 578 419 338
"AT1G02136" 0 0 0 0 0 0
"AT1G02140" 1352 2009 1215 1093 943 831
"AT1G02145" 351 527 380 364 197 161
"AT1G02150" 1774 2610 1859 1671 1054 875
"AT1G02160" 165 217 152 136 85 94
"AT1G02170" 489 644 462 437 280 202
"AT1G02180" 38 62 59 57 48 35
"AT1G02190" 5 7 5 3 2 5
"AT1G02205" 473 811 367 324 199 172
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 23 24 19 12 77 67
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 16 17 21 21 14 14
"AT1G02250" 0 3 1 1 0 1
"AT1G02260" 69 120 94 83 165 131
"AT1G02270" 246 359 149 152 150 160
"AT1G02280" 1337 2049 1641 1474 674 553
"AT1G02290" 170 238 178 136 94 91
"AT1G02300" 701 1074 634 543 144 157
"AT1G02305" 1065 1524 1280 1189 834 752
"AT1G02310" 17 42 33 31 11 8
"AT1G02320" 0 0 0 0 0 0
"AT1G02330" 232 314 255 199 186 152
"AT1G02335" 404 574 364 341 231 189
"AT1G02340" 54 100 81 88 45 43
"AT1G02350" 29 34 16 15 11 5
"AT1G02360" 286 477 320 362 184 204
"AT1G02370" 92 133 79 51 62 62
"AT1G02380" 43 69 47 34 17 24
"AT1G02390" 13 13 31 20 14 18
"AT1G02391" 0 0 0 0 0 0
"AT1G02400" 137 201 196 175 85 64
"AT1G02405" 2 1 0 0 5 1
"AT1G02410" 315 466 364 279 185 172
"AT1G02420" 46 93 52 70 50 35
"AT1G02430" 20 27 41 19 10 10
"AT1G02440" 2 1 5 4 1 2
"AT1G02450" 1 3 3 2 0 0
"AT1G02460" 28 40 26 37 17 15
"AT1G02470" 8 12 11 16 5 8
"AT1G02475" 821 1282 703 692 577 493
"AT1G02480" 0 0 0 0 0 0
"AT1G02490" 0 0 1 0 0 1
