"GSM1077432" "GSM1077433" "GSM1077434" "GSM1077435"
"AT1G01010" 47 49 16 23
"AT1G01020" 6 6 4 2
"AT1G01030" 2 1 2 0
"AT1G01040" 63 63 66 45
"AT1G01046" 1 0 0 0
"AT1G01050" 28 31 35 23
"AT1G01060" 115 120 85 40
"AT1G01070" 3 2 5 0
"AT1G01073" 0 0 0 0
"AT1G01080" 2 2 0 2
"AT1G01090" 135 161 125 99
"AT1G01100" 815 951 820 658
"AT1G01110" 11 17 4 5
"AT1G01115" 0 0 0 0
"AT1G01120" 136 129 74 62
"AT1G01130" 2 1 3 0
"AT1G01140" 2 2 1 2
"AT1G01150" 0 0 0 0
"AT1G01160" 31 24 23 17
"AT1G01170" 3 3 1 2
"AT1G01180" 28 21 13 9
"AT1G01183" 0 0 0 0
"AT1G01190" 19 39 17 8
"AT1G01200" 7 7 4 2
"AT1G01210" 22 17 18 16
"AT1G01220" 21 31 11 11
"AT1G01225" 3 4 8 2
"AT1G01230" 24 17 10 6
"AT1G01240" 13 16 3 3
"AT1G01250" 0 1 0 0
"AT1G01260" 36 29 22 20
"AT1G01270" 8 12 5 5
"AT1G01280" 0 0 0 0
"AT1G01290" 12 8 18 10
"AT1G01300" 32 52 21 26
"AT1G01305" 0 0 0 0
"AT1G01310" 0 0 1 0
"AT1G01320" 18 22 15 11
"AT1G01340" 54 63 38 19
"AT1G01350" 18 18 11 7
"AT1G01355" 0 0 0 0
"AT1G01360" 46 44 22 14
"AT1G01370" 0 0 1 0
"AT1G01380" 13 26 17 8
"AT1G01390" 2 0 0 1
"AT1G01400" 0 0 0 0
"AT1G01410" 0 0 0 0
"AT1G01420" 17 18 10 10
"AT1G01430" 18 20 20 8
"AT1G01440" 31 36 18 20
"AT1G01448" 1 0 1 0
"AT1G01450" 0 0 0 0
"AT1G01453" 6 4 3 3
"AT1G01460" 0 0 0 0
"AT1G01470" 18 22 9 12
"AT1G01471" 0 0 0 0
"AT1G01480" 4 10 2 1
"AT1G01490" 104 95 175 126
"AT1G01500" 16 24 21 25
"AT1G01510" 57 85 36 43
"AT1G01520" 3 0 0 0
"AT1G01530" 0 0 1 0
"AT1G01540" 62 72 69 45
"AT1G01550" 166 219 161 119
"AT1G01560" 2 2 2 1
"AT1G01570" 5 4 3 0
"AT1G01580" 9 5 1 1
"AT1G01590" 0 0 0 0
"AT1G01600" 30 20 9 13
"AT1G01610" 68 84 29 30
"AT1G01620" 207 327 136 160
"AT1G01630" 46 36 30 34
"AT1G01640" 19 13 9 4
"AT1G01650" 27 32 27 20
"AT1G01660" 5 2 6 3
"AT1G01670" 0 0 2 0
"AT1G01680" 0 0 0 0
"AT1G01690" 0 5 5 1
"AT1G01695" 0 0 0 0
"AT1G01700" 1 0 0 0
"AT1G01710" 16 37 16 5
"AT1G01720" 75 62 53 54
"AT1G01725" 6 5 7 6
"AT1G01730" 27 32 25 18
"AT1G01740" 4 5 0 0
"AT1G01750" 39 38 26 27
"AT1G01760" 1 3 0 0
"AT1G01770" 11 12 7 8
"AT1G01780" 14 19 12 6
"AT1G01790" 22 22 9 5
"AT1G01800" 103 106 64 65
"AT1G01810" 0 2 0 1
"AT1G01820" 50 43 34 34
"AT1G01830" 29 35 33 20
"AT1G01840" 2 2 1 2
"AT1G01860" 2 1 1 0
"AT1G01870" 0 7 2 3
"AT1G01880" 3 1 2 0
"AT1G01890" 0 0 1 0
"AT1G01900" 1 3 1 0
"AT1G01910" 64 70 42 39
"AT1G01920" 16 19 22 14
"AT1G01930" 16 19 14 10
"AT1G01940" 19 16 6 12
"AT1G01950" 35 35 29 20
"AT1G01960" 105 165 67 68
"AT1G01970" 8 14 1 1
"AT1G01980" 0 0 0 0
"AT1G01990" 22 34 8 9
"AT1G02000" 22 30 16 23
"AT1G02010" 4 8 3 5
"AT1G02020" 11 7 8 8
"AT1G02030" 0 2 11 6
"AT1G02040" 0 0 4 2
"AT1G02050" 5 13 9 6
"AT1G02060" 6 4 6 3
"AT1G02065" 0 0 0 0
"AT1G02070" 1 2 2 2
"AT1G02074" 0 0 0 0
"AT1G02080" 107 108 73 47
"AT1G02090" 42 81 68 45
"AT1G02100" 53 47 23 19
"AT1G02110" 22 32 15 18
"AT1G02120" 110 138 113 55
"AT1G02130" 20 27 13 11
"AT1G02136" 0 0 0 0
"AT1G02140" 120 166 97 78
"AT1G02145" 10 16 11 8
"AT1G02150" 24 24 16 21
"AT1G02160" 21 13 8 8
"AT1G02170" 50 60 40 34
"AT1G02180" 3 2 2 1
"AT1G02190" 0 0 0 0
"AT1G02205" 0 1 0 2
"AT1G02210" 0 0 0 0
"AT1G02220" 51 42 33 24
"AT1G02228" 0 0 1 0
"AT1G02230" 2 2 1 0
"AT1G02250" 2 1 0 0
"AT1G02260" 15 17 14 11
"AT1G02270" 7 10 12 14
"AT1G02280" 12 12 10 5
"AT1G02290" 5 6 5 2
"AT1G02300" 6 4 0 0
"AT1G02305" 77 93 44 33
"AT1G02310" 3 2 2 0
"AT1G02320" 0 0 0 0
"AT1G02330" 29 30 31 22
"AT1G02335" 8 5 2 5
"AT1G02340" 10 12 9 1
"AT1G02350" 0 0 0 0
"AT1G02360" 47 59 26 18
"AT1G02370" 7 11 15 6
"AT1G02380" 5 4 3 1
"AT1G02390" 6 11 3 2
"AT1G02391" 0 0 0 0
"AT1G02400" 23 29 9 13
"AT1G02405" 1 0 0 0
"AT1G02410" 18 9 14 10
"AT1G02420" 2 4 2 2
"AT1G02430" 3 3 1 1
"AT1G02440" 1 1 3 0
"AT1G02450" 2 0 5 0
"AT1G02460" 1 0 1 0
"AT1G02470" 1 2 1 0
"AT1G02475" 0 2 0 1
"AT1G02480" 0 1 0 0
"AT1G02490" 0 1 1 0
"AT1G02500" 707 905 486 595
"AT1G02510" 0 0 0 0
"AT1G02520" 48 53 34 31
"AT1G02530" 4 2 1 1
"AT1G02540" 0 0 0 0
"AT1G02550" 0 0 0 0
"AT1G02560" 21 27 8 10
"AT1G02570" 6 3 6 3
"AT1G02575" 1 1 0 0
"AT1G02580" 0 1 0 1
"AT1G02590" 0 0 0 0
"AT1G02600" 1 0 0 0
"AT1G02610" 2 2 3 1
"AT1G02620" 0 0 0 0
"AT1G02630" 0 0 0 0
"AT1G02640" 14 20 15 5
"AT1G02650" 0 0 0 1
"AT1G02660" 10 6 5 8
"AT1G02670" 2 1 0 0
"AT1G02680" 9 8 4 8
"AT1G02681" 0 0 0 0
"AT1G02690" 23 25 24 13
"AT1G02700" 1 2 0 0
"AT1G02710" 0 1 0 0
"AT1G02720" 8 10 5 3
"AT1G02730" 32 39 25 18
"AT1G02740" 16 10 20 16
"AT1G02750" 19 28 17 11
"AT1G02760" 2 1 0 1
"AT1G02770" 0 0 0 0
"AT1G02780" 1309 1727 1415 944
"AT1G02790" 0 0 0 0
"AT1G02800" 0 0 0 0
"AT1G02810" 50 60 22 18
"AT1G02813" 1 0 0 0
"AT1G02816" 19 12 13 13
"AT1G02820" 0 1 0 0
"AT1G02830" 0 0 0 0
"AT1G02840" 172 229 155 140
"AT1G02850" 50 51 20 29
"AT1G02860" 27 21 28 10
"AT1G02870" 15 30 21 20
"AT1G02880" 12 14 14 16
"AT1G02890" 162 203 108 104
"AT1G02900" 145 147 170 119
"AT1G02910" 15 9 14 10
"AT1G02920" 19 12 10 4
"AT1G02930" 15 14 8 6
"AT1G02940" 0 0 0 0
"AT1G02950" 5 3 3 5
"AT1G02952" 0 0 0 0
"AT1G02960" 11 3 9 5
"AT1G02965" 0 0 0 0
"AT1G02970" 3 1 1 4
"AT1G02980" 2 0 1 1
"AT1G02990" 33 32 19 16
"AT1G03000" 18 25 6 9
"AT1G03010" 6 5 5 3
"AT1G03020" 0 0 0 0
"AT1G03022" 0 0 0 0
"AT1G03030" 13 14 12 9
"AT1G03040" 95 92 68 50
"AT1G03050" 0 1 0 0
"AT1G03055" 0 0 0 0
"AT1G03060" 119 139 107 73
"AT1G03070" 1 5 1 1
"AT1G03080" 223 200 280 177
"AT1G03090" 12 16 15 14
"AT1G03100" 5 2 5 5
"AT1G03103" 0 0 0 0
"AT1G03106" 0 0 1 0
"AT1G03110" 10 16 9 11
"AT1G03120" 1 1 0 1
"AT1G03130" 2 2 2 3
"AT1G03140" 108 116 101 59
"AT1G03150" 9 10 9 4
"AT1G03160" 7 13 5 6
"AT1G03170" 3 3 1 0
"AT1G03180" 1 1 1 1
"AT1G03190" 15 19 10 6
"AT1G03200" 1 0 1 0
"AT1G03210" 40 42 36 16
"AT1G03220" 149 296 253 375
"AT1G03230" 28 53 31 37
"AT1G03240" 0 0 0 0
"AT1G03250" 20 19 13 17
"AT1G03260" 10 8 5 3
"AT1G03270" 2 3 4 0
"AT1G03280" 66 85 52 36
"AT1G03290" 73 62 42 29
"AT1G03300" 3 1 2 2
"AT1G03310" 7 8 10 6
"AT1G03320" 0 0 0 0
"AT1G03330" 36 50 38 28
"AT1G03340" 3 7 5 5
"AT1G03350" 105 129 109 61
"AT1G03360" 22 32 29 26
"AT1G03365" 20 25 18 18
"AT1G03370" 54 53 47 18
"AT1G03380" 54 50 28 28
"AT1G03390" 0 0 1 0
"AT1G03400" 8 7 2 6
"AT1G03410" 2 2 3 1
