"GSM912634" "GSM912635" "GSM912636" "GSM912637" "GSM912638" "GSM912639" "GSM912640" "GSM912641"
"AT1G01010" 699 415 476 470 361 352 368 171
"AT1G01020" 648 359 382 359 582 486 606 306
"AT1G01030" 233 148 131 130 213 195 244 109
"AT1G01040" 2497 1401 2223 2128 2092 2053 2752 1531
"AT1G01046" 52 34 51 71 39 34 79 35
"AT1G01050" 3014 1794 1695 1518 1994 1717 2057 1053
"AT1G01060" 1603 937 1160 1013 801 740 878 480
"AT1G01070" 362 217 246 264 86 111 126 60
"AT1G01073" 0 0 0 0 0 0 0 0
"AT1G01080" 2114 1238 1512 1381 2729 2554 2227 1215
"AT1G01090" 6151 3546 4716 4375 5137 4698 5564 3212
"AT1G01100" 4329 2714 2141 2041 3525 3552 2860 1577
"AT1G01110" 211 152 145 149 81 71 83 57
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 1285 846 4948 4767 618 530 977 571
"AT1G01130" 43 20 36 31 20 18 26 10
"AT1G01140" 2343 1341 1339 1286 1391 1360 1409 867
"AT1G01150" 6 7 5 2 2 1 2 2
"AT1G01160" 1218 699 790 679 751 753 914 527
"AT1G01170" 2479 1527 1618 1448 1475 1501 2075 1139
"AT1G01180" 570 361 754 621 302 316 467 274
"AT1G01183" 1 1 1 1 1 1 0 1
"AT1G01190" 26 30 32 28 9 6 10 15
"AT1G01200" 50 29 63 40 18 22 11 5
"AT1G01210" 287 174 156 142 298 292 252 125
"AT1G01220" 731 412 523 537 643 596 583 299
"AT1G01225" 36 30 45 41 48 54 49 31
"AT1G01230" 1054 634 843 845 526 515 710 369
"AT1G01240" 1094 687 1043 873 611 588 768 405
"AT1G01250" 8 7 2 3 2 6 5 1
"AT1G01260" 941 562 665 590 470 441 519 284
"AT1G01270" 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0 0 0
"AT1G01290" 651 377 398 316 381 369 406 224
"AT1G01300" 2528 1546 1435 1418 1637 1644 1624 983
"AT1G01305" 0 0 0 0 0 0 0 0
"AT1G01310" 2 0 2 3 1 0 0 0
"AT1G01320" 15131 8218 10024 10322 17583 17158 14614 8296
"AT1G01340" 789 460 551 530 587 510 932 531
"AT1G01350" 633 418 447 464 404 409 513 266
"AT1G01355" 16 3 8 8 5 5 3 4
"AT1G01360" 644 378 535 493 291 341 422 210
"AT1G01370" 31 24 30 40 29 40 18 17
"AT1G01380" 61 40 43 30 27 18 25 10
"AT1G01390" 1318 715 1204 1122 712 720 690 395
"AT1G01400" 0 1 0 1 0 0 0 1
"AT1G01410" 0 0 0 0 0 0 0 0
"AT1G01420" 212 141 222 249 179 185 214 104
"AT1G01430" 2457 1519 1640 1580 2044 1952 2444 1388
"AT1G01440" 896 523 808 709 590 557 790 377
"AT1G01448" 687 434 478 431 436 405 585 305
"AT1G01450" 3 1 3 2 3 1 1 0
"AT1G01453" 7 3 2 3 1 1 0 0
"AT1G01460" 0 0 0 0 0 0 0 0
"AT1G01470" 1315 835 643 564 386 383 275 155
"AT1G01471" 0 0 0 1 0 0 0 0
"AT1G01480" 26 17 37 51 7 9 30 19
"AT1G01490" 2169 1250 2441 2378 1493 1221 2144 1131
"AT1G01500" 316 221 268 249 242 250 234 115
"AT1G01510" 1991 1136 1131 1099 1244 1133 1484 819
"AT1G01520" 3 4 0 0 6 3 1 2
"AT1G01530" 0 0 0 0 1 1 0 0
"AT1G01540" 3774 2343 2356 2251 2229 2244 3356 1832
"AT1G01550" 5377 3192 5496 5050 3626 3304 4568 2455
"AT1G01560" 5 3 5 5 12 9 25 17
"AT1G01570" 60 26 54 47 43 46 31 38
"AT1G01580" 45 29 49 43 367 341 233 123
"AT1G01590" 5 1 1 1 10 6 18 10
"AT1G01600" 105 66 466 448 21 19 17 11
"AT1G01610" 1255 763 1076 1087 1079 995 1168 658
"AT1G01620" 15157 9421 20835 18981 5647 5442 12379 7219
"AT1G01630" 819 551 801 740 487 459 477 250
"AT1G01640" 495 300 391 379 183 144 203 122
"AT1G01650" 1994 1184 1255 1155 883 914 1065 560
"AT1G01660" 17 9 8 7 14 11 7 1
"AT1G01670" 33 21 12 13 17 17 13 7
"AT1G01680" 2 2 6 8 0 0 9 4
"AT1G01690" 88 58 88 66 56 61 57 34
"AT1G01695" 6 5 3 3 3 1 4 2
"AT1G01700" 71 30 53 50 55 43 54 29
"AT1G01710" 1046 637 865 804 727 677 791 479
"AT1G01720" 2222 1356 1349 1290 998 990 1219 699
"AT1G01725" 455 289 176 181 304 271 393 213
"AT1G01730" 1013 586 608 542 596 525 693 403
"AT1G01740" 144 102 87 88 125 109 117 58
"AT1G01750" 72 52 23 30 55 67 29 18
"AT1G01760" 192 100 147 153 162 156 183 96
"AT1G01770" 2601 1545 2331 2228 1213 1101 1710 906
"AT1G01780" 1301 827 1221 1059 510 471 659 359
"AT1G01790" 1794 1043 1560 1454 2866 2772 2247 1267
"AT1G01800" 1702 979 1458 1395 1002 943 1282 706
"AT1G01810" 8 1 11 6 5 4 3 4
"AT1G01820" 2634 1521 2242 1914 1626 1528 2157 1269
"AT1G01830" 655 401 504 500 244 250 264 170
"AT1G01840" 7 6 8 5 15 5 3 9
"AT1G01860" 377 223 274 234 380 384 375 214
"AT1G01870" 0 0 0 0 0 0 0 0
"AT1G01880" 31 24 41 41 17 22 40 21
"AT1G01890" 0 0 0 0 0 0 0 0
"AT1G01900" 49 36 99 91 41 37 53 36
"AT1G01910" 1295 766 896 845 904 878 925 495
"AT1G01920" 729 412 335 344 638 602 483 299
"AT1G01930" 713 447 513 437 513 494 571 329
"AT1G01940" 210 133 185 155 165 178 160 96
"AT1G01950" 1445 811 940 957 729 712 750 429
"AT1G01960" 5755 3208 3655 3622 3496 3402 4140 2328
"AT1G01970" 996 579 675 651 1139 1016 1045 592
"AT1G01980" 0 1 0 2 2 0 1 0
"AT1G01990" 739 434 510 482 555 536 590 355
"AT1G02000" 247 130 260 229 180 168 224 114
"AT1G02010" 898 555 688 612 425 443 773 479
"AT1G02020" 506 286 424 380 323 353 396 188
"AT1G02030" 5 3 13 5 4 2 3 1
"AT1G02040" 4 1 10 6 2 0 2 1
"AT1G02050" 487 308 254 284 503 465 451 263
"AT1G02060" 544 333 328 318 497 529 482 288
"AT1G02065" 0 3 2 0 1 5 0 0
"AT1G02070" 60 39 13 6 3 4 3 2
"AT1G02074" 2 0 5 3 2 0 0 0
"AT1G02080" 6406 3567 4513 4590 3987 3993 4539 2671
"AT1G02090" 821 494 579 552 680 690 589 318
"AT1G02100" 2938 1839 2032 1838 1921 1810 2341 1299
"AT1G02110" 1085 676 729 754 973 981 865 539
"AT1G02120" 2851 1712 2303 2295 2241 2160 2571 1424
"AT1G02130" 1077 692 1085 917 752 673 821 438
"AT1G02136" 0 0 0 0 0 0 0 0
"AT1G02140" 2688 1547 2011 1944 1982 1880 2176 1144
"AT1G02145" 926 490 596 596 703 678 739 385
"AT1G02150" 5646 3412 4313 3979 4959 4730 5648 3372
"AT1G02160" 530 306 315 284 347 332 360 211
"AT1G02170" 971 594 757 679 597 547 697 424
"AT1G02180" 111 64 82 64 94 79 72 49
"AT1G02190" 9 8 8 6 0 0 0 1
"AT1G02205" 998 570 1181 1156 33 46 28 18
"AT1G02210" 0 0 0 0 0 0 0 0
"AT1G02220" 1027 614 891 843 466 434 423 236
"AT1G02228" 0 0 0 0 0 0 0 0
"AT1G02230" 54 35 35 38 26 16 11 12
"AT1G02250" 4 1 5 4 0 0 3 3
"AT1G02260" 1192 623 886 822 859 796 927 526
"AT1G02270" 619 360 510 456 438 434 453 226
"AT1G02280" 9288 5542 6810 6267 7397 7104 8284 4380
"AT1G02290" 408 221 217 241 264 265 256 151
"AT1G02300" 979 605 1274 1217 934 914 1365 715
"AT1G02305" 7077 4240 5588 5028 3184 3124 5150 2835
"AT1G02310" 4 4 7 7 3 2 10 3
"AT1G02320" 0 1 0 0 0 0 1 0
"AT1G02330" 878 536 823 800 617 581 588 335
"AT1G02335" 180 103 147 139 83 66 66 27
"AT1G02340" 2810 1710 1367 1259 55 53 71 49
"AT1G02350" 26 11 17 21 11 13 6 3
"AT1G02360" 275 159 384 367 149 145 375 153
"AT1G02370" 145 92 86 83 262 196 160 88
"AT1G02380" 77 48 26 38 43 45 40 35
"AT1G02390" 12 6 14 8 10 10 6 6
"AT1G02391" 0 0 0 0 0 0 0 0
"AT1G02400" 187 115 323 278 93 119 103 75
"AT1G02405" 1 0 0 2 2 0 1 0
"AT1G02410" 450 266 303 321 301 270 378 176
"AT1G02420" 149 73 108 101 139 158 138 68
"AT1G02430" 37 31 36 38 44 24 29 25
"AT1G02440" 4 4 0 2 4 1 0 2
"AT1G02450" 0 0 0 0 0 0 1 0
"AT1G02460" 139 97 122 110 47 28 27 21
"AT1G02470" 49 31 127 116 64 54 88 45
"AT1G02475" 666 400 468 453 966 939 769 331
"AT1G02480" 0 0 0 0 0 0 0 0
"AT1G02490" 0 0 0 0 0 0 0 0
"AT1G02500" 13550 8105 9896 9506 10841 9462 9830 5523
"AT1G02510" 0 0 0 1 0 0 0 0
"AT1G02520" 750 422 543 510 517 449 924 463
"AT1G02530" 13 2 5 12 11 8 14 6
"AT1G02540" 0 0 0 0 0 0 0 0
"AT1G02550" 0 0 0 0 0 0 0 0
"AT1G02560" 4061 2368 2462 2388 4908 4800 3656 1989
"AT1G02570" 9 5 0 0 1 1 0 0
"AT1G02575" 3 4 0 2 2 4 1 5
"AT1G02580" 52 32 44 34 36 44 58 27
"AT1G02590" 0 0 0 0 0 0 0 0
"AT1G02600" 0 0 0 0 0 0 0 0
"AT1G02610" 514 318 340 351 202 211 431 200
"AT1G02620" 242 119 74 61 135 149 55 37
"AT1G02630" 15 9 7 24 2 1 4 5
"AT1G02640" 7052 4380 3661 3615 5386 5445 4618 2742
"AT1G02650" 12 13 81 69 32 26 57 22
"AT1G02660" 755 420 1449 1461 446 432 1213 659
"AT1G02670" 17 9 48 69 18 25 21 7
"AT1G02680" 382 261 232 232 271 235 302 196
"AT1G02681" 0 0 0 0 0 0 0 0
