"GSM797869" "GSM797870" "GSM797871" "GSM797874" "GSM797873" "GSM797872"
"AT1G01010" 492 644 969 755 763 417
"AT1G01020" 224 243 208 172 182 93
"AT1G01030" 129 108 100 71 84 73
"AT1G01040" 1160 951 1117 971 977 712
"AT1G01046" 21 14 9 3 10 3
"AT1G01050" 2230 2382 2240 1922 1940 1163
"AT1G01060" 782 909 1495 1758 1730 1064
"AT1G01070" 279 398 424 317 343 181
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 1150 1560 1282 1164 1105 870
"AT1G01090" 4647 5824 5759 5038 5044 3594
"AT1G01100" 6232 6645 5639 4655 4861 3278
"AT1G01110" 277 259 215 239 235 140
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 10689 15950 17667 15525 15451 11883
"AT1G01130" 84 117 74 92 62 65
"AT1G01140" 1497 2079 3335 2649 2930 1511
"AT1G01150" 3 2 1 1 3 4
"AT1G01160" 576 622 618 546 569 399
"AT1G01170" 794 1108 822 755 793 676
"AT1G01180" 668 876 1078 1106 1308 854
"AT1G01183" 0 1 1 0 4 0
"AT1G01190" 2 12 2 10 5 2
"AT1G01200" 293 337 291 266 276 197
"AT1G01210" 182 278 214 157 181 129
"AT1G01220" 785 889 809 645 675 434
"AT1G01225" 59 81 68 78 85 67
"AT1G01230" 1022 1369 1378 1080 1026 802
"AT1G01240" 357 477 417 450 513 309
"AT1G01250" 5 8 6 9 5 7
"AT1G01260" 652 745 788 617 679 480
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0
"AT1G01290" 343 352 413 283 319 183
"AT1G01300" 5089 5199 4339 3682 3694 2842
"AT1G01305" 0 0 1 0 0 1
"AT1G01310" 3 4 6 4 3 2
"AT1G01320" 10406 8209 7948 7302 6859 5195
"AT1G01340" 380 192 279 179 210 100
"AT1G01350" 599 587 641 537 588 336
"AT1G01355" 6 3 4 4 5 9
"AT1G01360" 363 527 505 476 526 294
"AT1G01370" 74 119 69 73 54 70
"AT1G01380" 154 386 265 134 149 111
"AT1G01390" 712 872 669 715 663 661
"AT1G01400" 0 1 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 169 199 221 204 201 143
"AT1G01430" 2517 2970 3645 3011 3020 2044
"AT1G01440" 691 707 854 728 864 496
"AT1G01448" 194 173 174 145 153 107
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 17 88 11 14 13 6
"AT1G01460" 0 0 0 0 0 0
"AT1G01470" 1970 2898 2548 3576 3481 1486
