"GSM1173202" "GSM1173203" "GSM1173204" "GSM1173205" "GSM1173206" "GSM1173207"
"AT1G01010" 71 108 1039 793 297 318
"AT1G01020" 194 229 361 336 245 265
"AT1G01030" 30 37 740 587 24 44
"AT1G01040" 829 967 3539 3653 1912 2638
"AT1G01046" 12 15 28 47 20 33
"AT1G01050" 1189 1454 1186 1244 1770 1476
"AT1G01060" 42 55 27 33 259 498
"AT1G01070" 13 42 188 425 880 680
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 2847 2972 1579 1532 638 704
"AT1G01090" 3681 4092 5266 5456 3994 4271
"AT1G01100" 2867 2612 1842 1645 1318 1133
"AT1G01110" 48 40 20 27 12 14
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 2086 4089 19930 24984 15620 17578
"AT1G01130" 19 13 12 12 23 12
"AT1G01140" 1164 1581 2222 2565 3789 3930
"AT1G01150" 1 2 0 0 0 1
"AT1G01160" 320 381 660 721 1323 1151
"AT1G01170" 1083 1330 764 828 902 855
"AT1G01180" 244 408 162 220 273 294
"AT1G01183" 0 0 0 0 1 0
"AT1G01190" 156 60 50 54 3 2
"AT1G01200" 9 9 5 5 0 0
"AT1G01210" 174 150 134 172 186 177
"AT1G01220" 883 1028 748 815 721 984
"AT1G01225" 63 85 48 41 53 49
"AT1G01230" 512 749 1320 1281 1210 1120
"AT1G01240" 673 1181 4630 6019 9911 10812
"AT1G01250" 41 90 265 307 782 877
"AT1G01260" 280 365 313 415 463 527
"AT1G01270" 0 0 0 1 0 0
"AT1G01280" 3 7 0 1 2 1
"AT1G01290" 341 467 323 295 774 754
"AT1G01300" 1363 1263 907 743 229 284
"AT1G01305" 0 0 0 0 0 0
"AT1G01310" 0 0 2 7 3 5
"AT1G01320" 11437 11133 10051 14656 15876 20460
"AT1G01340" 126 80 93 136 70 59
"AT1G01350" 306 326 620 693 612 603
"AT1G01355" 4 17 23 24 40 20
"AT1G01360" 163 253 968 1143 741 737
"AT1G01370" 53 50 24 23 10 6
"AT1G01380" 4 7 13 14 8 8
"AT1G01390" 35 51 18 32 71 46
"AT1G01400" 0 0 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 152 205 54 61 197 155
"AT1G01430" 1279 1991 540 498 1100 1023
"AT1G01440" 491 551 415 606 1133 1266
"AT1G01448" 117 153 116 110 243 194
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 0 0 1 0 20 4
"AT1G01460" 0 1 0 0 1 0
"AT1G01470" 726 1154 42139 50542 54328 50907
"AT1G01471" 0 0 1 2 0 0
"AT1G01480" 1 4 1652 2292 2791 3882
"AT1G01490" 482 815 2019 2530 2638 2644
"AT1G01500" 526 634 1250 1434 1333 1326
"AT1G01510" 531 572 519 474 500 630
"AT1G01520" 5 11 35 63 517 742
"AT1G01530" 2 1 0 0 1 1
"AT1G01540" 1163 1566 1573 1459 1109 1522
"AT1G01550" 2668 3843 6725 7737 9950 9402
"AT1G01560" 279 235 206 265 139 100
"AT1G01570" 28 25 327 432 297 407
"AT1G01580" 33 44 569 814 2196 2774
