"GSM1390693" "GSM1390694" "GSM1390695" "GSM1390696" "GSM1390697" "GSM1390698"
"AT1G01010" 102 67 93 75 75 119
"AT1G01020" 104 180 182 133 191 158
"AT1G01030" 81 103 124 64 100 95
"AT1G01040" 739 877 1151 735 822 967
"AT1G01046" 8 14 5 7 16 7
"AT1G01050" 606 847 907 577 1011 1169
"AT1G01060" 2299 2621 2375 1668 2298 1621
"AT1G01070" 81 99 77 73 79 136
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 1228 1604 1671 853 1199 1306
"AT1G01090" 5334 5604 7419 5692 7992 7328
"AT1G01100" 8122 8014 12926 5205 9157 7255
"AT1G01110" 128 138 169 123 141 167
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 2544 2388 2741 1923 2229 2777
"AT1G01130" 20 27 44 33 45 35
"AT1G01140" 937 1005 1274 922 1086 1245
"AT1G01150" 0 1 3 2 0 2
"AT1G01160" 588 574 744 439 654 665
"AT1G01170" 394 576 770 505 717 803
"AT1G01180" 404 274 496 413 369 387
"AT1G01183" 0 0 0 0 0 0
"AT1G01190" 118 103 80 22 15 29
"AT1G01200" 65 38 61 36 49 63
"AT1G01210" 138 189 221 82 143 126
"AT1G01220" 470 557 679 439 530 763
"AT1G01225" 37 45 83 40 42 52
"AT1G01230" 243 331 499 330 377 534
"AT1G01240" 237 201 335 281 334 399
"AT1G01250" 102 50 114 67 56 103
"AT1G01260" 302 282 265 243 254 328
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0
"AT1G01290" 185 160 203 131 166 215
"AT1G01300" 3462 2616 3811 2247 2886 2759
"AT1G01305" 0 0 1 1 0 0
"AT1G01310" 1 1 2 0 1 0
"AT1G01320" 6482 7903 9041 5020 6957 8734
"AT1G01340" 87 84 115 118 135 132
"AT1G01350" 271 192 276 239 273 320
"AT1G01355" 0 0 2 1 0 3
"AT1G01360" 145 122 216 133 188 207
"AT1G01370" 54 52 85 51 48 67
"AT1G01380" 19 26 26 15 9 28
"AT1G01390" 61 64 127 120 238 189
"AT1G01400" 0 0 1 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 175 218 307 158 255 268
"AT1G01430" 2120 2125 2786 1865 2467 2783
"AT1G01440" 358 337 416 330 350 415
"AT1G01448" 85 103 115 99 125 141
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 47 8 17 37 40 25
"AT1G01460" 0 0 0 0 0 0
"AT1G01470" 1065 717 1029 726 803 878
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 12 23 19 21 26 25
"AT1G01490" 1362 1271 1608 1091 1518 1436
"AT1G01500" 311 344 540 263 239 363
"AT1G01510" 741 781 1108 835 956 1190
"AT1G01520" 29 23 19 21 14 24
"AT1G01530" 0 0 0 0 0 0
"AT1G01540" 1567 1436 1930 1689 1806 2016
"AT1G01550" 1473 1582 1997 1581 1850 2392
"AT1G01560" 7 1 4 4 10 5
"AT1G01570" 53 28 57 48 52 54
"AT1G01580" 387 332 396 88 65 132
"AT1G01590" 0 4 3 3 0 4
"AT1G01600" 83 80 141 95 111 126
"AT1G01610" 2393 1945 2653 1727 2020 2204
"AT1G01620" 17930 14188 20821 18630 22454 19809
"AT1G01630" 807 938 1165 650 699 1128
"AT1G01640" 56 37 68 77 59 96
"AT1G01650" 496 589 785 709 1050 1063
"AT1G01660" 14 12 21 34 31 45
"AT1G01670" 6 10 10 10 23 15
"AT1G01680" 1 3 1 15 0 0
"AT1G01690" 53 70 107 58 88 89
"AT1G01695" 1 4 4 1 1 2
"AT1G01700" 18 23 24 16 25 27
"AT1G01710" 446 449 597 377 435 542
"AT1G01720" 846 603 896 1130 1366 1375
"AT1G01725" 72 77 150 78 148 110
"AT1G01730" 474 354 552 417 632 644
"AT1G01740" 52 74 111 36 23 62
"AT1G01750" 83 85 69 143 104 111
"AT1G01760" 45 54 66 35 42 76
"AT1G01770" 330 354 453 370 559 511
"AT1G01780" 313 167 338 299 368 356
"AT1G01790" 2679 3210 3839 1794 1785 2833
"AT1G01800" 671 684 868 657 940 1166
"AT1G01810" 8 7 7 7 11 11
"AT1G01820" 422 596 792 496 593 829
"AT1G01830" 404 309 493 373 460 459
"AT1G01840" 27 14 27 19 21 13
"AT1G01860" 172 130 231 95 109 186
"AT1G01870" 0 0 0 0 0 0
"AT1G01880" 45 41 50 23 21 38
"AT1G01890" 0 0 0 0 0 0
"AT1G01900" 428 294 439 322 420 401
"AT1G01910" 742 717 1026 695 861 1146
"AT1G01920" 215 273 369 192 257 353
"AT1G01930" 213 231 304 238 230 272
"AT1G01940" 186 212 342 149 212 238
"AT1G01950" 429 444 671 452 554 634
"AT1G01960" 1579 1707 2478 1979 2141 2750
"AT1G01970" 318 451 545 352 491 624
"AT1G01980" 4 5 5 0 0 0
"AT1G01990" 462 469 672 441 569 518
"AT1G02000" 375 334 404 302 294 379
"AT1G02010" 121 150 215 173 197 264
"AT1G02020" 475 432 607 342 490 455
"AT1G02030" 8 4 7 11 18 8
"AT1G02040" 0 0 1 0 0 1
"AT1G02050" 239 170 286 205 245 244
"AT1G02060" 147 138 169 133 184 180
"AT1G02065" 45 18 63 35 36 35
"AT1G02070" 11 1 2 0 0 3
"AT1G02074" 0 2 0 0 1 2
"AT1G02080" 1541 1657 2263 1659 1991 2639
"AT1G02090" 743 647 886 525 644 697
"AT1G02100" 465 489 520 395 488 571
"AT1G02110" 1317 993 1499 962 1259 1116
"AT1G02120" 1378 1474 2081 1419 1830 1850
"AT1G02130" 741 676 866 575 766 723
"AT1G02136" 0 2 1 0 0 0
"AT1G02140" 2113 2143 2623 1613 1943 2060
"AT1G02145" 233 266 293 229 282 319
"AT1G02150" 2736 2854 3682 2098 3354 2992
"AT1G02160" 347 343 451 252 283 274
"AT1G02170" 678 630 889 678 935 899
"AT1G02180" 124 111 140 68 51 84
"AT1G02190" 9 11 26 6 9 6
"AT1G02205" 422 336 584 135 254 292
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 31 15 38 38 50 80
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 4 1 5 2 1 2
"AT1G02250" 0 1 0 0 0 1
"AT1G02260" 275 220 409 260 244 364
"AT1G02270" 144 183 218 159 277 318
"AT1G02280" 1021 1119 1394 790 1184 1281
"AT1G02290" 159 118 137 105 137 196
"AT1G02300" 187 246 423 200 203 328
"AT1G02305" 980 1077 1453 1061 1590 1843
"AT1G02310" 2 7 13 4 8 7
"AT1G02320" 0 0 0 0 0 0
"AT1G02330" 285 317 341 268 360 397
"AT1G02335" 213 94 158 143 115 157
"AT1G02340" 116 60 117 71 49 68
"AT1G02350" 14 26 43 13 29 26
"AT1G02360" 223 100 115 164 215 221
"AT1G02370" 104 121 144 75 60 108
"AT1G02380" 29 27 19 19 19 36
"AT1G02390" 12 14 8 16 13 11
"AT1G02391" 0 0 0 0 0 0
"AT1G02400" 57 44 102 102 156 139
"AT1G02405" 6 0 10 3 1 5
"AT1G02410" 219 236 282 140 233 252
"AT1G02420" 48 67 70 51 43 75
"AT1G02430" 12 12 18 18 21 32
"AT1G02440" 0 0 0 2 2 1
"AT1G02450" 2 1 2 0 0 1
"AT1G02460" 16 24 28 18 51 18
"AT1G02470" 12 8 10 20 42 26
"AT1G02475" 472 573 609 454 683 811
"AT1G02480" 0 0 0 0 0 0
"AT1G02490" 1 1 2 1 1 1
"AT1G02500" 10903 8530 12526 13397 18110 16836
"AT1G02510" 0 0 0 0 0 0
"AT1G02520" 123 60 71 142 143 133
"AT1G02530" 7 2 2 4 4 6
"AT1G02540" 0 0 0 0 0 0
"AT1G02550" 0 0 0 0 0 0
"AT1G02560" 3101 4286 5484 2977 4642 5086
"AT1G02570" 22 8 8 23 10 18
"AT1G02575" 3 1 1 4 4 5
"AT1G02580" 2 0 2 3 1 2
"AT1G02590" 0 0 0 0 0 0
"AT1G02600" 0 0 0 0 0 0
"AT1G02610" 31 13 28 73 73 53
"AT1G02620" 3 4 6 13 2 10
"AT1G02630" 4 4 2 1 3 1
"AT1G02640" 1242 890 1633 2178 2891 2391
"AT1G02650" 63 51 53 64 85 71
"AT1G02660" 325 277 474 518 587 667
"AT1G02670" 18 42 65 26 24 52
"AT1G02680" 108 126 168 119 165 145
"AT1G02681" 0 0 0 0 0 0
"AT1G02690" 343 347 436 284 300 407
"AT1G02700" 68 53 53 85 68 81
"AT1G02710" 225 182 244 122 175 140
"AT1G02720" 273 204 257 193 197 259
"AT1G02730" 1051 1074 1513 887 830 1159
"AT1G02740" 73 97 124 74 71 101
"AT1G02750" 110 139 130 88 149 159
"AT1G02760" 0 0 0 0 0 0
"AT1G02770" 11 12 20 26 33 20
"AT1G02780" 14901 15880 21316 10074 16066 14628
"AT1G02790" 0 0 0 0 0 0
"AT1G02800" 85 63 121 35 52 63
"AT1G02810" 269 77 92 109 109 113
"AT1G02813" 3 0 1 1 0 1
"AT1G02816" 225 222 250 323 441 426
"AT1G02820" 86 110 114 110 83 86
"AT1G02830" 0 0 0 1 1 0
"AT1G02840" 2852 2702 3820 2785 3282 3143
"AT1G02850" 364 282 411 848 1099 1226
"AT1G02860" 123 129 156 140 173 231
"AT1G02870" 229 356 455 166 269 318
"AT1G02880" 130 146 159 134 143 183
"AT1G02890" 1190 1108 1588 1263 1415 2016
"AT1G02900" 299 131 211 195 236 226
"AT1G02910" 981 1076 1331 746 1365 1288
"AT1G02920" 119 103 153 139 250 343
"AT1G02930" 291 239 356 502 1092 1274
"AT1G02940" 1 2 2 4 5 8
"AT1G02950" 92 82 113 41 22 71
"AT1G02952" 0 0 0 0 0 0
"AT1G02960" 163 188 221 183 227 251
"AT1G02965" 6 0 0 0 0 0
"AT1G02970" 40 76 97 49 49 70
"AT1G02980" 0 0 1 1 0 1
"AT1G02990" 217 270 309 197 309 316
"AT1G03000" 424 433 597 375 426 600
"AT1G03010" 6 4 9 19 22 14
"AT1G03020" 32 37 65 21 13 15
"AT1G03022" 0 0 0 0 0 0
"AT1G03030" 192 202 251 202 307 380
"AT1G03040" 659 643 861 553 706 807
"AT1G03050" 1 0 0 0 0 1
"AT1G03055" 27 36 30 25 28 39
"AT1G03060" 1031 1052 1388 1085 1373 1530
"AT1G03070" 42 26 11 24 11 15
"AT1G03080" 980 881 1159 1004 1190 1375
"AT1G03090" 767 760 1334 2846 3013 3610
"AT1G03100" 67 56 64 30 78 57
"AT1G03103" 1 0 0 0 0 0
"AT1G03106" 8 0 6 6 2 11
"AT1G03110" 313 269 326 180 173 291
"AT1G03120" 37 17 26 26 34 24
"AT1G03130" 20000 17955 22655 14489 14055 11853
"AT1G03140" 666 586 972 700 1115 894
"AT1G03150" 124 155 221 135 236 222
"AT1G03160" 671 791 1046 615 807 1008
"AT1G03170" 2 9 12 2 5 3
"AT1G03180" 31 37 43 27 30 49
"AT1G03190" 237 169 260 135 157 254
"AT1G03200" 2 6 3 4 5 8
"AT1G03210" 227 187 284 246 343 384
"AT1G03220" 3648 2252 3455 3132 3860 4136
"AT1G03230" 1532 994 1539 1594 1934 1793
"AT1G03240" 0 1 1 0 0 0
"AT1G03250" 337 405 484 313 330 382
"AT1G03260" 195 207 255 189 210 247
"AT1G03270" 59 57 64 26 69 53
"AT1G03280" 637 609 868 573 798 863
"AT1G03290" 266 185 193 226 272 275
"AT1G03300" 99 95 165 83 54 137
"AT1G03310" 629 710 800 489 551 895
"AT1G03320" 5 1 18 7 7 3
"AT1G03330" 263 307 317 208 262 324
"AT1G03340" 33 20 31 16 39 18
"AT1G03350" 611 710 822 676 848 955
"AT1G03360" 246 269 348 190 188 306
"AT1G03365" 219 264 316 245 198 316
"AT1G03370" 442 418 510 490 528 678
"AT1G03380" 596 528 821 878 766 1172
"AT1G03390" 0 0 0 0 2 2
"AT1G03400" 250 215 283 168 200 222
"AT1G03410" 157 124 193 139 121 215
"AT1G03420" 0 0 0 0 0 0
"AT1G03430" 135 121 132 126 170 157
"AT1G03440" 653 601 755 566 600 770
"AT1G03445" 9 11 7 6 3 5
"AT1G03457" 152 178 229 192 287 299
"AT1G03470" 86 89 126 90 132 139
"AT1G03475" 3426 4195 5165 2568 3781 4375
"AT1G03490" 8 0 1 0 0 1
"AT1G03495" 160 170 189 111 113 181
"AT1G03502" 0 0 0 0 1 0
"AT1G03506" 9 2 0 2 1 4
"AT1G03510" 33 30 46 18 21 40
"AT1G03515" 0 0 0 0 0 0
"AT1G03520" 197 185 254 205 348 248
"AT1G03530" 462 572 690 339 449 494
"AT1G03540" 35 63 71 23 23 56
"AT1G03545" 1 3 4 2 0 1
"AT1G03550" 33 36 59 50 67 70
"AT1G03560" 142 188 209 161 228 229
"AT1G03570" 0 0 0 0 0 0
"AT1G03580" 17 27 35 23 29 74
"AT1G03590" 447 483 598 632 772 983
"AT1G03600" 9552 8576 10921 8071 10511 8339
"AT1G03610" 306 372 542 444 518 616
"AT1G03620" 12 13 40 10 24 33
"AT1G03630" 2437 2887 3438 1043 1527 2039
"AT1G03640" 0 0 0 0 0 0
"AT1G03650" 38 73 81 46 58 51
"AT1G03660" 1 11 9 2 7 16
"AT1G03670" 0 0 0 0 0 0
"AT1G03680" 5755 6524 7762 4212 6577 6540
"AT1G03687" 234 234 310 230 387 335
"AT1G03700" 7 8 10 16 3 5
"AT1G03710" 3 4 12 3 6 6
"AT1G03720" 0 0 0 0 0 0
"AT1G03730" 152 92 179 139 137 147
"AT1G03740" 385 376 471 435 378 590
"AT1G03743" 0 0 0 0 1 0
"AT1G03746" 0 0 0 1 0 0
"AT1G03750" 91 76 79 99 131 117
"AT1G03760" 75 103 171 75 107 123
"AT1G03770" 72 79 109 80 78 103
"AT1G03780" 273 218 298 161 182 210
"AT1G03790" 66 51 51 101 142 116
"AT1G03800" 20 21 17 16 22 23
"AT1G03810" 0 0 0 0 0 0
"AT1G03820" 141 120 129 53 41 66
"AT1G03830" 223 270 280 186 170 231
"AT1G03840" 87 28 47 47 33 40
"AT1G03850" 207 152 207 256 278 351
"AT1G03860" 1084 1362 1811 890 1652 1587
"AT1G03870" 10587 10323 12014 8402 11621 10574
"AT1G03880" 2 0 0 1 1 0
"AT1G03890" 0 0 0 0 0 0
"AT1G03900" 1556 1185 1766 1580 2016 2081
"AT1G03905" 31 53 68 45 49 99
"AT1G03910" 867 793 1172 888 1063 1246
"AT1G03920" 39 45 59 27 68 48
"AT1G03930" 681 661 822 480 689 759
"AT1G03935" 16 7 4 6 7 6
"AT1G03940" 108 125 153 87 109 158
"AT1G03950" 116 124 186 112 143 161
"AT1G03960" 110 125 178 127 135 171
"AT1G03970" 110 52 84 80 101 112
"AT1G03980" 7 17 5 2 1 13
"AT1G03982" 0 0 0 0 0 0
"AT1G03990" 52 70 79 65 50 78
"AT1G04000" 454 263 421 290 370 363
"AT1G04010" 111 108 163 124 137 176
"AT1G04020" 143 241 281 174 169 238
"AT1G04030" 62 102 112 78 99 114
"AT1G04040" 2189 2727 3417 2005 2627 3508
"AT1G04050" 92 81 99 61 68 78
"AT1G04070" 235 170 197 163 293 171
"AT1G04080" 2420 2336 3686 1908 2847 3036
"AT1G04090" 49 31 24 23 76 29
"AT1G04100" 85 59 55 62 74 79
"AT1G04110" 102 134 155 133 154 193
"AT1G04120" 1141 996 1198 1134 1406 1706
"AT1G04130" 89 117 137 71 83 109
"AT1G04140" 1728 1674 2437 1893 2579 2872
"AT1G04150" 12 10 17 7 1 9
"AT1G04160" 169 183 234 132 127 217
"AT1G04170" 1502 1870 2507 1302 1760 2221
"AT1G04171" 0 0 0 0 0 0
"AT1G04180" 54 21 20 13 26 12
"AT1G04190" 308 353 467 270 321 467
"AT1G04200" 368 318 404 238 364 438
"AT1G04210" 675 775 933 715 824 965
"AT1G04220" 181 109 122 132 138 162
"AT1G04230" 133 125 154 108 216 180
"AT1G04240" 400 560 479 313 421 417
"AT1G04250" 1455 1102 1474 918 1201 1087
"AT1G04260" 372 350 532 327 548 488
"AT1G04270" 5664 6113 7677 4961 5878 5940
"AT1G04280" 901 734 1264 1100 1248 1269
