"Gene","Rank"
"AT5G11640",320
"AT3G07890",321
"AT1G44810",322
"AT5G13850",323
"AT4G23040",324
"AT2G15430",325
"AT2G35530",326
"AT5G67530",327
"AT2G43190",328
"AT5G06260",329
"AT3G58460",330
"AT2G19950",331
"AT1G79650",332
"AT2G03120",333
"AT4G39920",334
"AT3G15410",335
"AT1G03560",336
"AT1G17370",337
"AT1G17270",338
"AT4G39690",339
"AT3G59630",340
"AT3G21175",341
"AT3G11950",342
"AT3G53440",343
"AT3G46820",344
"AT1G54170",345
"AT1G17110",346
"AT1G50430",347
"AT1G80790",348
"AT4G31980",349
"AT5G40810",350
"AT5G44150",351
"AT1G10290",352
"AT5G41870",353
"AT1G26370",354
"AT2G40730",355
"AT1G65650",356
"AT5G01270",357
"AT3G22590",358
"AT1G45000",359
"AT5G41950",360
"AT3G60410",361
"AT3G27930",362
"AT2G27285",363
"AT3G05700",364
"AT3G58970",365
"AT5G06950",366
"AT1G43900",367
"AT2G24640",368
"AT3G10730",369
"AT1G67140",370
"AT1G26170",371
"AT4G36195",372
"AT3G10915",373
"AT4G14965",374
"AT5G19485",375
"AT3G54440",376
"AT1G08350",377
"AT5G08335",378
"AT1G50940",379
"AT3G58130",380
"AT5G22120",381
"AT3G56760",382
"AT3G54360",383
"AT3G07950",384
"AT1G51590",385
"AT2G21230",386
"AT1G53000",387
"AT3G02065",388
"AT3G49850",389
"AT1G67960",390
"AT5G45030",391
"AT1G52360",392
"AT3G25540",393
"AT2G20990",394
"AT3G01150",395
"AT5G23710",396
"AT2G42080",397
"AT5G07300",398
"AT2G04880",399
"AT5G53930",400
"AT1G80020",401
"AT5G17250",402
"AT3G18380",403
"AT1G60780",404
"AT4G14340",405
"AT5G56930",406
"AT1G05860",407
"AT1G05180",408
"AT4G01650",409
"AT1G60070",410
"AT5G63870",411
"AT2G36360",412
"AT2G22370",413
"AT4G33780",414
"AT4G35140",415
"AT2G30880",416
"AT2G32760",417
"AT1G28060",418
"AT1G63770",419
"AT2G20495",420
"AT2G28480",421
"AT2G20280",422
"AT5G43010",423
"AT4G02680",424
"AT1G15490",425
"AT3G07610",426
"AT2G13100",427
"AT4G13970",428
"AT3G59660",429
"AT3G22990",430
"AT3G10330",431
"AT5G52630",432
"AT4G25320",433
"AT1G53050",434
"AT5G66720",435
"AT3G06250",436
"AT1G67890",437
"AT2G36485",438
"AT4G13070",439
"AT3G17850",440
"AT1G75560",441
"AT1G27900",442
"AT3G52760",443
"AT4G22670",444
"AT5G20930",445
"AT1G13320",446
"AT3G14800",447
"AT4G00290",448
"AT4G08980",449
"AT1G09330",450
"AT5G55130",451
"AT2G15730",452
"AT5G51430",453
"AT4G26410",454
"AT4G23660",455
"AT2G42590",456
"AT1G04750",457
"AT2G10950",458
"AT5G17410",459
"AT5G26990",460
"AT1G79940",461
"AT1G77440",462
"AT3G14172",463
"AT1G71800",464
"AT1G68370",465
"AT2G38950",466
"AT1G22830",467
"AT4G39820",468
"AT5G35430",469
"AT2G28060",470
"AT5G07970",471
"AT4G21060",472
"AT5G17510",473
"AT5G51230",474
"AT1G59890",475
"AT1G55830",476
"AT3G06620",477
"AT4G21580",478
"AT1G04910",479
"AT1G64090",480
"AT4G24740",481
"AT5G11380",482
"AT2G27600",483
"AT1G09870",484
"AT1G75840",485
"AT3G20020",486
"AT1G55870",487
"AT1G16460",488
"AT1G60670",489
"AT2G47900",490
"AT1G48040",491
"AT2G41520",492
"AT1G67170",493
"AT4G11920",494
"AT1G70480",495
"AT1G52630",496
"AT2G45640",497
"AT5G23390",498
"AT2G31510",499
"AT4G25610",500
"AT4G14920",501
"AT5G09350",502
"AT3G51850",503
"AT1G54150",504
"AT5G67580",505
"AT2G16800",506
"AT2G25580",507
"AT4G00990",508
"AT3G50860",509
"AT5G55900",510
"AT1G21370",511
"AT3G17880",512
"AT2G06510",513
"AT3G18140",514
"AT2G11000",515
"AT5G65000",516
"AT5G11810",517
"AT5G59160",518
"AT3G12130",519
"AT5G11500",520
"AT3G02760",521
"AT3G21160",522
"AT1G60220",523
"AT2G18630",524
"AT5G19840",525
"AT5G53340",526
"AT5G64200",527
"AT2G21600",528
"AT4G03200",529
"AT2G35740",530
"AT1G71350",531
"AT2G19470",532
"AT3G28430",533
"AT1G11930",534
"AT4G25230",535
"AT2G44440",536
"AT1G55270",537
"AT3G20560",538
"AT1G51720",539
"AT2G20830",540
"AT5G21274",541
"AT2G20900",542
"AT2G19180",543
"AT1G16970",544
"AT5G43130",545
"AT1G29220",546
"AT1G31220",547
"AT3G04780",548
"AT2G31650",549
"AT5G14480",550
"AT1G62640",551
"AT1G34020",552
"AT5G59710",553
"AT1G26190",554
"AT1G58230",555
"AT1G16900",556
"AT4G22150",557
"AT5G24500",558
"AT3G19570",559
"AT4G10330",560
"AT3G10380",561
"AT1G73720",562
"AT2G35720",563
"AT3G19980",564
"AT2G26680",565
"AT4G24560",566
"AT5G52530",567
"AT5G48520",568
"AT1G47330",569
"AT3G12940",570
"AT3G61540",571
"AT5G51370",572
"AT4G20280",573
"AT1G28120",574
"AT5G65560",575
"AT2G42700",576
"AT4G24390",577
"AT4G01100",578
"AT5G49820",579
"AT5G06580",580
"AT3G61960",581
"AT3G48150",582
"AT1G01800",583
"AT5G56650",584
"AT4G08540",585
"AT1G74230",586
"AT5G58190",587
"AT4G00270",588
"AT2G24500",589
"AT5G13680",590
"AT2G34250",591
"AT4G30600",592
