"Gene","Rank"
"AT1G30540",320
"AT2G34410",321
"AT1G70770",322
"AT3G06540",323
"AT2G17540",324
"AT1G01350",325
"AT1G68185",326
"AT4G28470",327
"AT1G48970",328
"AT3G22470",329
"AT2G42240",330
"AT1G16210",331
"AT3G16110",332
"AT3G09180",333
"AT1G72340",334
"AT2G03050",335
"AT2G28480",336
"AT1G29150",337
"AT1G51390",338
"AT1G03190",339
"AT5G38560",340
"AT5G57950",341
"AT4G30920",342
"AT5G53180",343
"AT3G59600",344
"AT1G33290",345
"AT5G11350",346
"AT3G60410",347
"AT4G06599",348
"AT2G17530",349
"AT3G02090",350
"AT1G03330",351
"AT3G62970",352
"AT2G02380",353
"AT5G51880",354
"AT5G56450",355
"AT3G58130",356
"AT2G38660",357
"AT2G32170",358
"AT1G68100",359
"AT4G25880",360
"AT2G39940",361
"AT1G50710",362
"AT2G16950",363
"AT4G19150",364
"AT3G28690",365
"AT1G63170",366
"AT3G04080",367
"AT5G08120",368
"AT1G72310",369
"AT1G10430",370
"AT1G26110",371
"AT2G31290",372
"AT3G26935",373
"AT2G23370",374
"AT5G53470",375
"AT3G56110",376
"AT4G20310",377
"AT1G74320",378
"AT5G27710",379
"AT5G59460",380
"AT2G43070",381
"AT3G45400",382
"AT3G11290",383
"AT5G20880",384
"AT1G71800",385
"AT4G35240",386
"AT4G02730",387
"AT2G20860",388
"AT3G47940",389
"AT5G20570",390
"AT3G58090",391
"AT3G26920",392
"AT1G74510",393
"AT3G46180",394
"AT1G65410",395
"AT4G37020",396
"AT5G13020",397
"AT2G37680",398
"AT5G42970",399
"AT5G66090",400
"AT5G40650",401
"AT3G19870",402
"AT4G04720",403
"AT3G59990",404
"AT3G15160",405
"AT1G80670",406
"AT1G05940",407
"AT2G32040",408
"AT5G04420",409
"AT4G26000",410
"AT1G80230",411
"AT1G74960",412
"AT3G46200",413
"AT1G15730",414
"AT1G17760",415
"AT3G02600",416
"AT4G01100",417
"AT1G04910",418
"AT5G43600",419
"AT2G35360",420
"AT3G59920",421
"AT2G26770",422
"AT4G26570",423
"AT1G70570",424
"AT3G07170",425
"AT3G52640",426
"AT1G32610",427
"AT5G08530",428
"AT3G58530",429
"AT2G27090",430
"AT5G63910",431
"AT3G03100",432
"AT3G20740",433
"AT4G34110",434
"AT1G80700",435
"AT2G45023",436
"AT1G75340",437
"AT5G14260",438
"AT5G54430",439
"AT1G79010",440
"AT1G73430",441
"AT5G58920",442
"AT2G35100",443
"AT2G38695",444
"AT5G01430",445
"AT4G21800",446
"AT4G03000",447
"AT2G27800",448
"AT1G05180",449
"AT1G73730",450
"AT1G34320",451
"AT5G58003",452
"AT5G01310",453
"AT1G29990",454
"AT1G03000",455
"AT3G05510",456
"AT5G51340",457
"AT4G35040",458
"AT4G38220",459
"AT3G52030",460
"AT4G29660",461
"AT1G02410",462
"AT3G02555",463
"AT5G43670",464
"AT4G27650",465
"AT1G54340",466
"AT5G37850",467
"AT4G39240",468
"AT2G43980",469
"AT5G05670",470
"AT2G35610",471
"AT1G28120",472
"AT1G79690",473
"AT5G28900",474
"AT5G63520",475
"AT5G65260",476
"AT4G39820",477
"AT1G11915",478
"AT5G15460",479
"AT5G19910",480
"AT1G79020",481
"AT4G22320",482
"AT4G30480",483
"AT3G07180",484
"AT1G08000",485
"AT1G19025",486
"AT5G18190",487
"AT3G04605",488
"AT2G36740",489
"AT5G54890",490
"AT3G62830",491
"AT4G38930",492
