"develop.series" "wo.seed" "wo.pollen" "stressed.shoots" "stressed.roots" "hormones" "nutrients" "diurnal" "light.trt" "biotic.stress"
"38" "AT3G57890" "AT2G44525" "AT3G51100" "AT5G37180" "AT5G45300" "AT5G66090" "AT5G19660" "AT5G06430" "AT5G20650" "AT3G28320"
"39" "AT5G53485" "AT5G12370" "AT1G09010" "AT3G53690" "AT2G03050" "AT4G00660" "AT1G21830" "AT2G09910" "AT1G16180" "AT1G49110"
"40" "AT2G28390" "AT5G53440" "AT1G25420" "AT5G42660" "AT1G27240" "AT3G25220" "AT3G04460" "AT1G72530" "AT5G47120" "AT3G63100"
"41" "AT1G71820" "AT1G76850" "AT5G62590" "AT2G43040" "AT3G27180" "AT2G02560" "AT3G53090" "AT2G43840" "AT5G21090" "AT1G35370"
"42" "AT1G52730" "AT1G25420" "AT4G34270" "AT1G57830" "AT3G15740" "AT4G40045" "AT1G51745" "AT1G76820" "AT5G08290" "AT2G45320"
"43" "AT3G51100" "AT4G34270" "AT2G43105" "AT1G27240" "AT2G22890" "AT2G25170" "AT1G64630" "AT5G27200" "AT2G16510" "AT4G11770"
"44" "AT5G12370" "AT2G22040" "AT2G22040" "AT5G25640" "AT4G02900" "AT2G30710" "AT4G13630" "AT2G16970" "AT5G39510" "AT5G49500"
"45" "AT5G62590" "AT2G32170" "AT1G51720" "AT2G43690" "AT3G49740" "AT3G51780" "AT2G22530" "AT1G13400" "AT1G11650" "AT3G45460"
"46" "AT1G25420" "AT5G11490" "AT2G32170" "AT3G49740" "AT4G04500" "AT5G45360" "AT5G55670" "AT3G20900" "AT1G10670" "AT2G14850"
"47" "AT4G34270" "AT1G10430" "AT5G26760" "AT1G26610" "AT5G58280" "AT2G28290" "AT3G14800" "AT3G13210" "AT4G21790" "AT1G17790"
"48" "AT2G22040" "AT5G65940" "AT1G28490" "AT1G49700" "AT1G26230" "AT3G10220" "AT1G49350" "AT2G02150" "AT3G08610" "AT3G22620"
"49" "AT2G32170" "AT4G39240" "AT1G10430" "AT4G14730" "AT5G12240" "AT5G15460" "AT5G65050" "AT3G28780" "AT5G20500" "AT1G78960"
"50" "AT5G26760" "AT2G39840" "AT2G39840" "AT2G20110" "AT2G07030" "AT3G07565" "AT5G07710" "AT2G44810" "AT2G17390" "AT2G41930"
"51" "AT1G10430" "AT4G33380" "AT4G33380" "AT1G62460" "AT5G58890" "AT3G12870" "AT4G18600" "AT1G05100" "AT1G66240" "AT1G44930"
"52" "AT2G39840" "AT3G55480" "AT1G21630" "AT5G12240" "AT1G35710" "AT1G71790" "AT1G23980" "AT5G52020" "AT1G54080" "AT5G28520"
"53" "AT1G21630" "AT2G46180" "AT2G46180" "AT5G23270" "AT5G45540" "AT4G33380" "AT5G13470" "AT4G01500" "AT5G58950" "AT5G64590"
"54" "AT4G33380" "AT1G29040" "AT3G55480" "AT5G50970" "AT5G42450" "AT5G08450" "AT4G16320" "AT1G74220" "AT1G71090" "AT2G01810"
"55" "AT2G46180" "AT4G27120" "AT2G22720" "AT1G20900" "AT5G23800" "AT2G22370" "AT4G23040" "AT4G04460" "AT5G25100" "AT2G18610"
"56" "AT3G55480" "AT2G03690" "AT2G27910" "AT2G17140" "AT4G20100" "AT3G01460" "AT2G22640" "AT3G42850" "AT2G27600" "AT1G05400"
"57" "AT3G51640" "AT2G01220" "AT4G27120" "AT2G07030" "AT1G23240" "AT1G48110" "AT1G62930" "AT1G08080" "AT3G51040" "AT3G26110"
"58" "AT3G18480" "AT5G19150" "AT3G24350" "AT4G17690" "AT5G36150" "AT2G17800" "AT5G08440" "AT3G06640" "AT2G39780" "AT4G15590"
"59" "AT2G27910" "AT4G13730" "AT2G28060" "AT3G17630" "AT2G27375" "AT3G49870" "AT1G08710" "AT4G25060" "AT5G67590" "AT5G37150"
"60" "AT3G24350" "AT5G21040" "AT4G33650" "AT1G65910" "AT2G28605" "AT2G41060" "AT5G38070" "AT1G61700" "AT5G64500" "AT1G44890"
"61" "AT4G27120" "AT3G26730" "AT4G26640" "AT5G16100" "AT4G26830" "AT4G16180" "AT4G38590" "AT1G54840" "AT5G25760" "AT4G05140"
"62" "AT2G28060" "AT4G33650" "AT3G01150" "AT4G13600" "AT1G32270" "AT4G32130" "AT2G33460" "AT2G30640" "AT5G54430" "AT3G61720"
"63" "AT4G33650" "AT4G27630" "AT1G79975" "AT1G04050" "AT2G01870" "AT5G58920" "AT1G26760" "AT4G13230" "AT3G56490" "AT2G02490"
"64" "AT4G26640" "AT3G01150" "AT4G27630" "AT5G47340" "AT2G39620" "AT3G12590" "AT3G51940" "AT2G20100" "AT1G22450" "AT4G00650"
"65" "AT4G08220" "AT2G36240" "AT2G36240" "AT1G49790" "AT5G04680" "AT3G54190" "AT2G40720" "AT2G37820" "AT4G10140" "AT1G70540"
"66" "AT3G01150" "AT1G61670" "AT2G20390" "AT2G28590" "AT3G44240" "AT3G48860" "AT3G29130" "AT4G28120" "AT1G79975" "AT1G32480"
"67" "AT4G27630" "AT2G20390" "AT5G24710" "AT3G32260" "AT4G04110" "AT5G38380" "AT2G02150" "AT1G09400" "AT1G13320" "AT1G80740"
"68" "AT2G36240" "AT5G24710" "AT5G32470" "AT1G26590" "AT1G55030" "AT4G32730" "AT2G14050" "AT5G34770" "AT2G45640" "AT1G62930"
"69" "AT2G20390" "AT3G52760" "AT2G41960" "AT2G23945" "AT5G09500" "AT4G34660" "AT4G22960" "AT3G09530" "AT2G39750" "AT3G53690"
"70" "AT5G24710" "AT1G58050" "AT1G58050" "AT5G61700" "AT3G25010" "AT5G10810" "AT2G27320" "AT5G45080" "AT2G28390" "AT1G80970"
"71" "AT2G41960" "AT3G60480" "AT1G76940" "AT5G61730" "AT5G08070" "AT1G09730" "AT1G32430" "AT3G29140" "AT1G66740" "AT1G27080"
"72" "AT1G58050" "AT2G05170" "AT3G10330" "AT3G60570" "AT1G47770" "AT1G05270" "AT5G55840" "AT1G38950" "AT2G38850" "AT3G20880"
"73" "AT3G10330" "AT2G35320" "AT3G60480" "AT3G14225" "AT5G22970" "AT3G07740" "AT3G61970" "AT4G09880" "AT5G09570" "AT5G38400"
"74" "AT3G60480" "AT5G21010" "AT2G05170" "AT2G26130" "AT3G28230" "AT3G09860" "AT5G65570" "AT2G22600" "AT1G10800" "AT5G59590"
"75" "AT2G05170" "AT4G30900" "AT2G35320" "AT1G26700" "AT5G47340" "AT4G23950" "AT2G47310" "AT3G04420" "AT5G20200" "AT2G16120"
"76" "AT2G35320" "AT4G18230" "AT4G32560" "AT5G27630" "AT5G27800" "AT5G02080" "AT5G50970" "AT4G17483" "AT3G06180" "AT1G48880"
"77" "AT4G32560" "AT5G13050" "AT2G38950" "AT1G50530" "AT1G23670" "AT5G37380" "AT1G62460" "AT3G23850" "AT5G22700" "AT3G27650"
"78" "AT2G38950" "AT2G20790" "AT2G20790" "AT1G47770" "AT5G27630" "AT1G48550" "AT4G31020" "AT3G46930" "AT2G45500" "AT3G24240"
"79" "AT4G18230" "AT5G09740" "AT4G21090" "AT4G39420" "AT3G61120" "AT5G65050" "AT1G79580" "AT1G73120" "AT5G37230" "AT4G03050"
"80" "AT4G30900" "AT5G64813" "AT3G16090" "AT5G58890" "AT4G07920" "AT5G63290" "AT1G18610" "AT4G32230" "AT3G45060" "AT1G28500"
"81" "AT2G20790" "AT2G04340" "AT3G19870" "AT1G79580" "AT1G51520" "AT5G47690" "AT1G08020" "AT1G24000" "AT2G24640" "AT3G23190"
"82" "AT5G64813" "AT5G01270" "AT3G50430" "AT2G30120" "AT1G21020" "AT5G60930" "AT3G32260" "AT1G37150" "AT2G23160" "AT1G42220"
"83" "AT4G21090" "AT1G73440" "AT4G16320" "AT5G19890" "AT4G38070" "AT3G24140" "AT1G49790" "AT5G07850" "AT2G26020" "AT5G07750"
"84" "AT3G16090" "AT3G16090" "AT3G24820" "AT3G20460" "AT1G52550" "AT1G18190" "AT5G35830" "AT4G07960" "AT3G18240" "AT4G16970"
"85" "AT3G19870" "AT3G19870" "AT3G60310" "AT5G50270" "AT1G35513" "AT1G19480" "AT2G23945" "AT1G10300" "AT3G24515" "AT1G18560"
"86" "AT3G50430" "AT1G48760" "AT4G37480" "ORF105B" "AT1G50950" "AT3G54630" "AT1G26610" "AT1G19320" "AT2G22270" "AT5G07400"
"87" "AT5G13470" "AT1G13870" "AT3G61170" "AT1G11160" "AT5G44980" "AT5G50315" "AT2G26130" "AT2G25600" "AT1G24540" "AT1G35570"
"88" "AT1G57760" "AT4G00590" "AT5G55840" "AT2G07190" "AT5G39860" "AT1G21610" "AT1G12770" "AT3G26930" "AT4G11640" "AT5G63590"
"89" "AT3G24820" "AT3G24820" "AT3G32260" "AT5G22870" "AT1G53360" "AT2G32590" "AT4G28010" "AT5G38280" "AT2G30940" "AT1G75520"
"90" "AT3G60310" "AT3G60310" "AT4G17050" "AT5G27800" "AT1G04600" "AT3G14000" "AT2G04750" "AT2G18370" "AT3G61170" "AT1G10460"
"91" "AT4G37480" "AT4G37480" "AT2G07190" "AT2G35733" "AT3G57820" "AT3G20260" "AT2G47750" "AT5G06500" "AT4G14200" "AT5G45070"
"92" "AT5G55840" "AT5G55840" "AT5G03000" "AT2G25340" "AT2G39320" "AT2G25010" "AT1G47770" "AT2G40955" "AT3G29190" "AT1G32570"
"93" "AT3G32260" "AT3G32260" "AT1G50350" "AT3G19310" "AT1G51100" "AT4G00530" "AT3G28230" "AT5G28700" "AT1G62930" "AT3G20280"
"94" "AT4G17050" "AT4G17050" "AT5G35830" "AT4G15380" "AT1G02940" "AT4G26820" "AT5G27630" "AT2G19770" "AT3G21500" "AT3G59680"
"95" "AT3G44240" "AT2G07190" "AT3G44240" "AT1G55030" "AT3G54800" "AT1G27430" "AT1G35513" "AT1G23350" "AT1G74990" "AT5G04050"
"96" "AT4G17130" "AT4G13610" "AT4G17130" "AT4G38070" "AT3G50130" "AT2G34730" "AT3G61120" "AT4G00350" "AT2G30640" "AT1G48380"
"97" "AT1G53360" "AT4G17130" "AT5G12240" "AT1G35513" "AT2G07190" "AT4G17020" "AT3G18810" "AT3G27070" "AT2G11150" "AT1G50270"
"98" "AT1G49260" "AT1G53360" "AT4G38880" "AT4G22370" "AT3G01450" "AT1G18560" "AT4G38070" "AT4G19330" "ORF101B" "AT3G25190"
"99" "AT1G15600" "AT2G04750" "AT1G49260" "AT3G57820" "AT3G29300" "AT5G17510" "AT3G57820" "AT1G74620" "AT5G27330" "AT4G11950"
"100" "AT3G44410" "AT3G44410" "AT3G44410" "AT3G01450" "AT3G13240" "AT2G32340" "AT2G07190" "AT5G11210" "AT3G05470" "AT1G04610"
